origin,destination,flow,time
MWI.4.1_1,MWI.4.5_1,1221.0,0
MWI.4.1_1,MWI.4.6_1,16.0,0
MWI.4.1_1,MWI.4.3_1,16.0,0
MWI.4.1_1,MWI.2.7_1,1.0,0
MWI.4.1_1,MWI.4.4_1,2.0,0
MWI.4.1_1,MWI.4.2_1,2.0,0
MWI.4.1_1,MWI.2.8_1,1.0,0
MWI.4.1_1,MWI.2.1_1,4.0,0
MWI.4.1_1,MWI.2.3_1,1.0,0
MWI.4.1_1,MWI.15.3_1,1.0,0
MWI.4.2_1,MWI.2.8_1,5644.0,0
MWI.4.2_1,MWI.4.5_1,4427.0,0
MWI.4.2_1,MWI.4.1_1,63.0,0
MWI.4.2_1,MWI.4.6_1,729.0,0
MWI.4.2_1,MWI.2.7_1,259.0,0
MWI.4.2_1,MWI.2.3_1,531.0,0
MWI.4.2_1,MWI.2.6_1,126.0,0
MWI.4.2_1,MWI.4.3_1,231.0,0
MWI.4.2_1,MWI.28.2_1,207.0,0
MWI.4.2_1,MWI.28.7_1,100.0,0
MWI.4.2_1,MWI.2.1_1,192.0,0
MWI.4.2_1,MWI.2.4_1,11.0,0
MWI.4.2_1,MWI.4.4_1,7.0,0
MWI.4.2_1,MWI.28.4_1,7.0,0
MWI.4.2_1,MWI.28.9_1,9.0,0
MWI.4.2_1,MWI.15.3_1,6.0,0
MWI.4.2_1,MWI.2.5_1,5.0,0
MWI.4.2_1,MWI.4.7_1,4.0,0
MWI.4.2_1,MWI.18.5_1,2.0,0
MWI.4.2_1,MWI.27.6_1,5.0,0
MWI.4.2_1,MWI.28.6_1,3.0,0
MWI.4.2_1,MWI.2.9_1,5.0,0
MWI.4.2_1,MWI.28.8_1,5.0,0
MWI.4.2_1,MWI.27.8_1,7.0,0
MWI.4.2_1,MWI.15.7_1,4.0,0
MWI.4.2_1,MWI.27.1_1,1.0,0
MWI.4.2_1,MWI.28.5_1,4.0,0
MWI.4.2_1,MWI.12.11_1,4.0,0
MWI.4.2_1,MWI.15.8_1,2.0,0
MWI.4.2_1,MWI.18.3_1,2.0,0
MWI.4.2_1,MWI.1.3_1,9.0,0
MWI.4.2_1,MWI.24.2_1,8.0,0
MWI.4.2_1,MWI.27.10_1,1.0,0
MWI.4.2_1,MWI.12.5_1,1.0,0
MWI.4.2_1,MWI.27.4_1,1.0,0
MWI.4.2_1,MWI.15.5_1,1.0,0
MWI.4.2_1,MWI.12.4_1,1.0,0
MWI.4.2_1,MWI.27.9_1,2.0,0
MWI.4.2_1,MWI.3.10_1,1.0,0
MWI.4.2_1,MWI.15.6_1,2.0,0
MWI.4.2_1,MWI.24.3_1,2.0,0
MWI.4.2_1,MWI.27.7_1,3.0,0
MWI.4.2_1,MWI.3.9_1,1.0,0
MWI.4.2_1,MWI.1.2_1,2.0,0
MWI.4.2_1,MWI.12.13_1,1.0,0
MWI.4.2_1,MWI.22.8_1,2.0,0
MWI.4.2_1,MWI.3.5_1,1.0,0
MWI.4.2_1,MWI.21.7_1,1.0,0
MWI.4.2_1,MWI.22.6_1,1.0,0
MWI.4.2_1,MWI.13.8_1,1.0,0
MWI.4.2_1,MWI.12.14_1,1.0,0
MWI.4.2_1,MWI.13.9_1,1.0,0
MWI.4.2_1,MWI.13.13_1,1.0,0
MWI.4.2_1,MWI.21.2_1,1.0,0
MWI.4.2_1,MWI.6.6_1,1.0,0
MWI.4.2_1,MWI.6.8_1,2.0,0
MWI.4.2_1,MWI.6.9_1,2.0,0
MWI.4.2_1,MWI.6.7_1,1.0,0
MWI.4.2_1,MWI.11.13_1,1.0,0
MWI.4.2_1,MWI.13.11_1,1.0,0
MWI.4.2_1,MWI.11.8_1,1.0,0
MWI.4.2_1,MWI.11.15_1,2.0,0
MWI.4.2_1,MWI.7.5_1,2.0,0
MWI.4.2_1,MWI.11.11_1,2.0,0
MWI.4.2_1,MWI.7.6_1,2.0,0
