origin,destination,flow,time
MYS.1_1,MYS.6_1,8641.0,0
MYS.1_1,MYS.7_1,6622.0,0
MYS.1_1,MYS.8_1,5968.0,0
MYS.1_1,MYS.12_1,267.0,0
MYS.1_1,MYS.4_1,4412.0,0
MYS.1_1,MYS.15_1,7111.0,0
MYS.1_1,MYS.16_1,623.0,0
MYS.1_1,MYS.3_1,767.0,0
MYS.1_1,MYS.9_1,1030.0,0
MYS.1_1,MYS.11_1,550.0,0
MYS.1_1,MYS.2_1,607.0,0
MYS.1_1,MYS.10_1,66.0,0
MYS.1_1,MYS.14_1,610.0,0
MYS.1_1,MYS.5_1,19.0,0
MYS.1_1,MYS.13_1,712.0,0
MYS.2_1,MYS.11_1,10105.0,0
MYS.2_1,MYS.10_1,769.0,0
MYS.2_1,MYS.9_1,4534.0,0
MYS.2_1,MYS.3_1,1468.0,0
MYS.2_1,MYS.16_1,752.0,0
MYS.2_1,MYS.15_1,2250.0,0
MYS.2_1,MYS.8_1,267.0,0
MYS.2_1,MYS.4_1,308.0,0
MYS.2_1,MYS.12_1,13.0,0
MYS.2_1,MYS.7_1,118.0,0
MYS.2_1,MYS.6_1,92.0,0
MYS.2_1,MYS.1_1,369.0,0
MYS.2_1,MYS.14_1,194.0,0
MYS.2_1,MYS.5_1,5.0,0
MYS.2_1,MYS.13_1,218.0,0
MYS.3_1,MYS.16_1,6744.0,0
MYS.3_1,MYS.9_1,4588.0,0
MYS.3_1,MYS.2_1,1490.0,0
MYS.3_1,MYS.11_1,699.0,0
MYS.3_1,MYS.8_1,417.0,0
MYS.3_1,MYS.15_1,938.0,0
MYS.3_1,MYS.10_1,19.0,0
MYS.3_1,MYS.4_1,131.0,0
MYS.3_1,MYS.12_1,3.0,0
MYS.3_1,MYS.7_1,82.0,0
MYS.3_1,MYS.6_1,64.0,0
MYS.3_1,MYS.1_1,168.0,0
MYS.3_1,MYS.14_1,89.0,0
MYS.3_1,MYS.5_1,1.0,0
MYS.3_1,MYS.13_1,130.0,0
MYS.4_1,MYS.12_1,909.0,0
MYS.4_1,MYS.15_1,15138.0,0
MYS.4_1,MYS.7_1,581.0,0
MYS.4_1,MYS.6_1,363.0,0
MYS.4_1,MYS.8_1,490.0,0
MYS.4_1,MYS.9_1,515.0,0
MYS.4_1,MYS.1_1,554.0,0
MYS.4_1,MYS.3_1,147.0,0
MYS.4_1,MYS.16_1,100.0,0
MYS.4_1,MYS.11_1,123.0,0
MYS.4_1,MYS.2_1,140.0,0
MYS.4_1,MYS.10_1,7.0,0
MYS.4_1,MYS.14_1,158.0,0
MYS.4_1,MYS.5_1,3.0,0
MYS.4_1,MYS.13_1,176.0,0
MYS.5_1,MYS.13_1,712.0,0
MYS.5_1,MYS.14_1,4.0,0
MYS.5_1,MYS.16_1,2.0,0
MYS.5_1,MYS.1_1,4.0,0
MYS.5_1,MYS.3_1,1.0,0
MYS.5_1,MYS.7_1,1.0,0
MYS.6_1,MYS.7_1,5312.0,0
MYS.6_1,MYS.12_1,181.0,0
MYS.6_1,MYS.4_1,2023.0,0
MYS.6_1,MYS.1_1,1045.0,0
MYS.6_1,MYS.15_1,561.0,0
MYS.6_1,MYS.8_1,54.0,0
MYS.6_1,MYS.16_1,52.0,0
MYS.6_1,MYS.9_1,61.0,0
MYS.6_1,MYS.3_1,23.0,0
MYS.6_1,MYS.11_1,48.0,0
MYS.6_1,MYS.2_1,30.0,0
MYS.6_1,MYS.10_1,2.0,0
MYS.6_1,MYS.14_1,35.0,0
MYS.6_1,MYS.5_1,1.0,0
MYS.6_1,MYS.13_1,47.0,0
MYS.7_1,MYS.6_1,5298.0,0
MYS.7_1,MYS.12_1,286.0,0
MYS.7_1,MYS.4_1,2849.0,0
MYS.7_1,MYS.15_1,1976.0,0
MYS.7_1,MYS.8_1,149.0,0
MYS.7_1,MYS.1_1,264.0,0
MYS.7_1,MYS.16_1,58.0,0
MYS.7_1,MYS.9_1,98.0,0
MYS.7_1,MYS.3_1,45.0,0
MYS.7_1,MYS.11_1,52.0,0
MYS.7_1,MYS.2_1,38.0,0
MYS.7_1,MYS.10_1,5.0,0
MYS.7_1,MYS.14_1,53.0,0
MYS.7_1,MYS.5_1,2.0,0
MYS.7_1,MYS.13_1,55.0,0
MYS.8_1,MYS.7_1,6811.0,0
MYS.8_1,MYS.4_1,4084.0,0
MYS.8_1,MYS.15_1,3341.0,0
MYS.8_1,MYS.12_1,14.0,0
MYS.8_1,MYS.16_1,190.0,0
MYS.8_1,MYS.6_1,147.0,0
MYS.8_1,MYS.3_1,203.0,0
MYS.8_1,MYS.9_1,260.0,0
MYS.8_1,MYS.1_1,252.0,0
MYS.8_1,MYS.11_1,105.0,0
MYS.8_1,MYS.2_1,109.0,0
MYS.8_1,MYS.10_1,10.0,0
MYS.8_1,MYS.14_1,104.0,0
MYS.8_1,MYS.5_1,1.0,0
MYS.8_1,MYS.13_1,124.0,0
MYS.9_1,MYS.11_1,10932.0,0
MYS.9_1,MYS.3_1,4275.0,0
MYS.9_1,MYS.2_1,3253.0,0
MYS.9_1,MYS.15_1,3864.0,0
MYS.9_1,MYS.4_1,534.0,0
MYS.9_1,MYS.8_1,398.0,0
MYS.9_1,MYS.16_1,252.0,0
MYS.9_1,MYS.10_1,51.0,0
MYS.9_1,MYS.12_1,22.0,0
MYS.9_1,MYS.7_1,211.0,0
MYS.9_1,MYS.6_1,156.0,0
MYS.9_1,MYS.1_1,500.0,0
MYS.9_1,MYS.14_1,241.0,0
MYS.9_1,MYS.5_1,9.0,0
MYS.9_1,MYS.13_1,326.0,0
MYS.10_1,MYS.2_1,2168.0,0
MYS.10_1,MYS.11_1,100.0,0
MYS.10_1,MYS.9_1,59.0,0
