origin,destination,flow,time
NAM.1_1,NAM.3_1,2576.0,0
NAM.1_1,NAM.5_1,1666.0,0
NAM.1_1,NAM.8_1,76.0,0
NAM.1_1,NAM.2_1,116.0,0
NAM.1_1,NAM.12_1,62.0,0
NAM.1_1,NAM.11_1,67.0,0
NAM.1_1,NAM.6_1,31.0,0
NAM.1_1,NAM.10_1,33.0,0
NAM.1_1,NAM.4_1,43.0,0
NAM.1_1,NAM.9_1,31.0,0
NAM.1_1,NAM.7_1,23.0,0
NAM.1_1,NAM.13_1,11.0,0
NAM.2_1,NAM.5_1,8688.0,0
NAM.2_1,NAM.6_1,518.0,0
NAM.2_1,NAM.3_1,379.0,0
NAM.2_1,NAM.12_1,469.0,0
NAM.2_1,NAM.10_1,432.0,0
NAM.2_1,NAM.9_1,391.0,0
NAM.2_1,NAM.11_1,216.0,0
NAM.2_1,NAM.8_1,68.0,0
NAM.2_1,NAM.7_1,189.0,0
NAM.2_1,NAM.1_1,69.0,0
NAM.2_1,NAM.4_1,137.0,0
NAM.2_1,NAM.13_1,52.0,0
NAM.3_1,NAM.5_1,4454.0,0
NAM.3_1,NAM.1_1,127.0,0
NAM.3_1,NAM.2_1,195.0,0
NAM.3_1,NAM.8_1,62.0,0
NAM.3_1,NAM.12_1,75.0,0
NAM.3_1,NAM.11_1,64.0,0
NAM.3_1,NAM.6_1,22.0,0
NAM.3_1,NAM.10_1,46.0,0
NAM.3_1,NAM.4_1,35.0,0
NAM.3_1,NAM.9_1,34.0,0
NAM.3_1,NAM.7_1,23.0,0
NAM.3_1,NAM.13_1,9.0,0
NAM.4_1,NAM.12_1,5814.0,0
NAM.4_1,NAM.11_1,2954.0,0
NAM.4_1,NAM.7_1,1777.0,0
NAM.4_1,NAM.8_1,354.0,0
NAM.4_1,NAM.10_1,655.0,0
NAM.4_1,NAM.13_1,262.0,0
NAM.4_1,NAM.9_1,473.0,0
NAM.4_1,NAM.5_1,569.0,0
NAM.4_1,NAM.6_1,96.0,0
NAM.4_1,NAM.2_1,160.0,0
NAM.4_1,NAM.3_1,60.0,0
NAM.4_1,NAM.1_1,51.0,0
NAM.5_1,NAM.3_1,5133.0,0
NAM.5_1,NAM.2_1,7199.0,0
NAM.5_1,NAM.8_1,1720.0,0
NAM.5_1,NAM.12_1,2773.0,0
NAM.5_1,NAM.1_1,1161.0,0
NAM.5_1,NAM.11_1,2109.0,0
NAM.5_1,NAM.10_1,1531.0,0
NAM.5_1,NAM.6_1,644.0,0
NAM.5_1,NAM.9_1,1221.0,0
NAM.5_1,NAM.4_1,919.0,0
NAM.5_1,NAM.7_1,774.0,0
NAM.5_1,NAM.13_1,245.0,0
NAM.6_1,NAM.9_1,4437.0,0
NAM.6_1,NAM.10_1,557.0,0
NAM.6_1,NAM.11_1,314.0,0
NAM.6_1,NAM.7_1,207.0,0
NAM.6_1,NAM.2_1,117.0,0
NAM.6_1,NAM.12_1,57.0,0
NAM.6_1,NAM.5_1,104.0,0
NAM.6_1,NAM.4_1,42.0,0
NAM.6_1,NAM.8_1,10.0,0
NAM.6_1,NAM.3_1,14.0,0
NAM.6_1,NAM.1_1,11.0,0
