origin,destination,flow,time
NCL.1.1_1,NCL.1.3_1,624.0,0
NCL.1.1_1,NCL.1.2_1,529.0,0
NCL.1.1_1,NCL.3.13_1,318.0,0
NCL.1.1_1,NCL.3.14_1,208.0,0
NCL.1.1_1,NCL.2.2_1,154.0,0
NCL.1.1_1,NCL.3.1_1,138.0,0
NCL.1.1_1,NCL.3.3_1,477.0,0
NCL.1.1_1,NCL.3.10_1,96.0,0
NCL.1.1_1,NCL.3.8_1,39.0,0
NCL.1.1_1,NCL.2.7_1,2.0,0
NCL.1.1_1,NCL.3.6_1,3.0,0
NCL.1.1_1,NCL.3.9_1,49.0,0
NCL.1.1_1,NCL.3.5_1,1.0,0
NCL.1.1_1,NCL.2.11_1,1.0,0
NCL.1.1_1,NCL.3.11_1,1.0,0
NCL.1.1_1,NCL.2.16_1,1.0,0
NCL.1.1_1,NCL.2.13_1,1.0,0
NCL.1.1_1,NCL.2.6_1,4.0,0
NCL.1.1_1,NCL.2.3_1,1.0,0
NCL.1.1_1,NCL.2.12_1,2.0,0
NCL.1.1_1,NCL.2.9_1,1.0,0
NCL.1.2_1,NCL.1.1_1,870.0,0
NCL.1.2_1,NCL.3.5_1,71.0,0
NCL.1.2_1,NCL.3.14_1,54.0,0
NCL.1.2_1,NCL.3.8_1,181.0,0
NCL.1.2_1,NCL.3.3_1,40.0,0
NCL.1.2_1,NCL.3.9_1,26.0,0
NCL.1.2_1,NCL.3.10_1,1.0,0
NCL.1.2_1,NCL.2.10_1,1.0,0
NCL.1.2_1,NCL.2.9_1,1.0,0
NCL.1.3_1,NCL.1.1_1,589.0,0
NCL.1.3_1,NCL.2.2_1,47.0,0
NCL.1.3_1,NCL.2.7_1,9.0,0
NCL.1.3_1,NCL.3.13_1,27.0,0
NCL.1.3_1,NCL.2.4_1,26.0,0
NCL.1.3_1,NCL.3.12_1,5.0,0
NCL.1.3_1,NCL.2.11_1,6.0,0
NCL.1.3_1,NCL.3.4_1,4.0,0
NCL.1.3_1,NCL.3.6_1,23.0,0
NCL.1.3_1,NCL.2.16_1,5.0,0
NCL.1.3_1,NCL.2.10_1,8.0,0
NCL.1.3_1,NCL.3.7_1,2.0,0
NCL.1.3_1,NCL.3.1_1,10.0,0
NCL.1.3_1,NCL.3.2_1,7.0,0
NCL.1.3_1,NCL.3.10_1,12.0,0
NCL.1.3_1,NCL.3.14_1,2.0,0
NCL.1.3_1,NCL.3.3_1,5.0,0
NCL.1.3_1,NCL.3.9_1,4.0,0
NCL.1.3_1,NCL.3.8_1,1.0,0
NCL.2.1_1,NCL.2.14_1,221.0,0
NCL.2.1_1,NCL.2.8_1,77.0,0
NCL.2.1_1,NCL.2.9_1,7.0,0
NCL.2.1_1,NCL.2.12_1,7.0,0
NCL.2.1_1,NCL.2.5_1,1.0,0
NCL.2.1_1,NCL.2.3_1,3.0,0
NCL.2.1_1,NCL.2.18_1,2.0,0
NCL.2.1_1,NCL.2.6_1,2.0,0
NCL.2.1_1,NCL.2.16_1,1.0,0
NCL.2.1_1,NCL.2.10_1,1.0,0
NCL.2.1_1,NCL.2.13_1,1.0,0
NCL.2.1_1,NCL.2.4_1,1.0,0
