origin,destination,flow,time
NER.1.1_1,NER.1.3_1,68723.0,0
NER.1.1_1,NER.1.2_1,768.0,0
NER.1.1_1,NER.8.5_1,14061.0,0
NER.1.1_1,NER.8.1_1,3682.0,0
NER.1.1_1,NER.6.7_1,3648.0,0
NER.1.1_1,NER.4.2_1,1485.0,0
NER.1.1_1,NER.2.3_1,336.0,0
NER.1.1_1,NER.6.4_1,457.0,0
NER.1.1_1,NER.4.5_1,475.0,0
NER.1.1_1,NER.8.4_1,882.0,0
NER.1.1_1,NER.4.6_1,185.0,0
NER.1.1_1,NER.6.2_1,162.0,0
NER.1.1_1,NER.6.6_1,147.0,0
NER.1.1_1,NER.6.5_1,155.0,0
NER.1.1_1,NER.8.3_1,103.0,0
NER.1.1_1,NER.4.1_1,85.0,0
NER.1.1_1,NER.4.3_1,125.0,0
NER.1.1_1,NER.2.2_1,45.0,0
NER.1.1_1,NER.6.3_1,83.0,0
NER.1.1_1,NER.8.2_1,150.0,0
NER.1.1_1,NER.4.4_1,59.0,0
NER.1.1_1,NER.6.1_1,56.0,0
NER.1.1_1,NER.2.1_1,19.0,0
NER.1.1_1,NER.7.1_1,40.0,0
NER.1.1_1,NER.3.2_1,55.0,0
NER.1.1_1,NER.3.5_1,12.0,0
NER.1.1_1,NER.7.3_1,28.0,0
NER.1.1_1,NER.3.3_1,21.0,0
NER.1.1_1,NER.7.6_1,17.0,0
NER.1.1_1,NER.7.2_1,30.0,0
NER.1.1_1,NER.3.1_1,19.0,0
NER.1.1_1,NER.5.1_1,41.0,0
NER.1.1_1,NER.3.4_1,17.0,0
NER.1.1_1,NER.7.5_1,44.0,0
NER.1.1_1,NER.7.4_1,25.0,0
NER.3.3_1,NER.3.1_1,128790.0,0
NER.3.3_1,NER.3.4_1,53871.0,0
NER.3.3_1,NER.3.5_1,17285.0,0
NER.3.3_1,NER.7.2_1,25767.0,0
NER.3.3_1,NER.3.2_1,16326.0,0
NER.3.3_1,NER.5.1_1,12758.0,0
NER.3.3_1,NER.7.4_1,5113.0,0
NER.3.3_1,NER.7.1_1,3901.0,0
NER.3.3_1,NER.7.3_1,2349.0,0
NER.3.3_1,NER.6.1_1,3004.0,0
NER.3.3_1,NER.6.3_1,1750.0,0
NER.3.3_1,NER.7.6_1,1050.0,0
NER.3.3_1,NER.6.6_1,1493.0,0
NER.3.3_1,NER.7.5_1,1999.0,0
NER.3.3_1,NER.6.5_1,1389.0,0
NER.3.3_1,NER.6.2_1,943.0,0
NER.3.3_1,NER.6.4_1,752.0,0
NER.3.3_1,NER.4.3_1,1135.0,0
NER.3.3_1,NER.4.4_1,776.0,0
NER.3.3_1,NER.6.7_1,1010.0,0
NER.3.3_1,NER.4.2_1,712.0,0
NER.3.3_1,NER.4.1_1,397.0,0
NER.3.3_1,NER.4.5_1,478.0,0
NER.3.3_1,NER.4.6_1,385.0,0
NER.3.3_1,NER.8.3_1,292.0,0
NER.3.3_1,NER.8.5_1,351.0,0
NER.3.3_1,NER.8.4_1,919.0,0
NER.3.3_1,NER.8.2_1,538.0,0
NER.3.3_1,NER.1.3_1,155.0,0
NER.3.3_1,NER.8.1_1,172.0,0
NER.3.3_1,NER.2.2_1,97.0,0
NER.3.3_1,NER.1.1_1,63.0,0
NER.3.3_1,NER.2.1_1,87.0,0
NER.3.3_1,NER.2.3_1,86.0,0
NER.3.3_1,NER.1.2_1,4.0,0
NER.1.2_1,NER.1.1_1,8710.0,0
NER.1.2_1,NER.2.3_1,527.0,0
NER.1.2_1,NER.8.1_1,172.0,0
NER.1.2_1,NER.1.3_1,60.0,0
NER.1.2_1,NER.2.2_1,25.0,0
NER.1.2_1,NER.2.1_1,20.0,0
NER.1.2_1,NER.8.5_1,22.0,0
NER.1.2_1,NER.8.4_1,34.0,0
NER.1.2_1,NER.4.6_1,4.0,0
NER.1.2_1,NER.8.2_1,5.0,0
NER.1.2_1,NER.4.5_1,4.0,0
NER.1.2_1,NER.4.2_1,6.0,0
NER.1.2_1,NER.6.7_1,2.0,0
NER.1.2_1,NER.4.1_1,1.0,0
NER.1.2_1,NER.6.4_1,1.0,0
NER.1.2_1,NER.6.2_1,2.0,0
NER.1.2_1,NER.4.3_1,1.0,0
NER.1.2_1,NER.4.4_1,1.0,0
NER.1.2_1,NER.6.6_1,1.0,0
NER.1.2_1,NER.7.1_1,1.0,0
NER.1.2_1,NER.3.3_1,1.0,0
NER.1.3_1,NER.8.5_1,145383.0,0
NER.1.3_1,NER.6.7_1,47709.0,0
NER.1.3_1,NER.4.2_1,14436.0,0
NER.1.3_1,NER.1.1_1,1806.0,0
NER.1.3_1,NER.6.4_1,4041.0,0
NER.1.3_1,NER.4.5_1,4059.0,0
NER.1.3_1,NER.6.2_1,2639.0,0
NER.1.3_1,NER.4.6_1,2383.0,0
NER.1.3_1,NER.8.1_1,1500.0,0
NER.1.3_1,NER.6.6_1,1452.0,0
NER.1.3_1,NER.6.5_1,1612.0,0
NER.1.3_1,NER.8.4_1,2902.0,0
NER.1.3_1,NER.4.3_1,994.0,0
NER.1.3_1,NER.4.1_1,517.0,0
NER.1.3_1,NER.8.3_1,475.0,0
NER.1.3_1,NER.6.3_1,393.0,0
NER.1.3_1,NER.4.4_1,517.0,0
NER.1.3_1,NER.6.1_1,447.0,0
NER.1.3_1,NER.8.2_1,697.0,0
NER.1.3_1,NER.7.1_1,281.0,0
NER.1.3_1,NER.3.2_1,325.0,0
NER.1.3_1,NER.2.2_1,124.0,0
NER.1.3_1,NER.3.5_1,112.0,0
NER.1.3_1,NER.2.3_1,127.0,0
NER.1.3_1,NER.7.3_1,147.0,0
NER.1.3_1,NER.1.2_1,9.0,0
NER.1.3_1,NER.2.1_1,66.0,0
NER.1.3_1,NER.3.3_1,179.0,0
NER.1.3_1,NER.3.1_1,147.0,0
NER.1.3_1,NER.3.4_1,131.0,0
NER.1.3_1,NER.7.2_1,201.0,0
NER.1.3_1,NER.5.1_1,282.0,0
NER.1.3_1,NER.7.6_1,82.0,0
NER.1.3_1,NER.7.4_1,135.0,0
NER.1.3_1,NER.7.5_1,176.0,0
NER.2.1_1,NER.2.2_1,74469.0,0
NER.2.1_1,NER.8.1_1,32347.0,0
NER.2.1_1,NER.2.3_1,7987.0,0
NER.2.1_1,NER.8.2_1,13637.0,0
NER.2.1_1,NER.8.4_1,5645.0,0
NER.2.1_1,NER.8.3_1,837.0,0
NER.2.1_1,NER.8.5_1,821.0,0
NER.2.1_1,NER.4.6_1,594.0,0
NER.2.1_1,NER.4.1_1,434.0,0
NER.2.1_1,NER.4.5_1,412.0,0
NER.2.1_1,NER.4.4_1,400.0,0
NER.2.1_1,NER.4.2_1,461.0,0
