origin,destination,flow,time
NGA.11.9_1,NGA.14.1_1,1768.0,0
NGA.11.9_1,NGA.11.11_1,569.0,0
NGA.11.9_1,NGA.1.8_1,245.0,0
NGA.11.9_1,NGA.11.3_1,181.0,0
NGA.11.9_1,NGA.1.15_1,114.0,0
NGA.11.9_1,NGA.1.4_1,102.0,0
NGA.11.9_1,NGA.1.10_1,96.0,0
NGA.11.9_1,NGA.11.2_1,35.0,0
NGA.11.9_1,NGA.17.19_1,22.0,0
NGA.11.9_1,NGA.14.2_1,32.0,0
NGA.11.9_1,NGA.11.13_1,28.0,0
NGA.11.9_1,NGA.1.16_1,23.0,0
NGA.11.9_1,NGA.17.7_1,11.0,0
NGA.11.9_1,NGA.17.3_1,10.0,0
NGA.11.9_1,NGA.17.27_1,5.0,0
NGA.11.9_1,NGA.9.1_1,6.0,0
NGA.11.9_1,NGA.4.20_1,7.0,0
NGA.11.9_1,NGA.14.11_1,10.0,0
NGA.11.9_1,NGA.17.16_1,7.0,0
NGA.11.9_1,NGA.14.14_1,5.0,0
NGA.11.9_1,NGA.14.12_1,3.0,0
NGA.11.9_1,NGA.1.3_1,6.0,0
NGA.11.9_1,NGA.11.6_1,5.0,0
NGA.11.9_1,NGA.17.6_1,4.0,0
NGA.11.9_1,NGA.1.17_1,7.0,0
NGA.11.9_1,NGA.17.9_1,3.0,0
NGA.11.9_1,NGA.17.5_1,2.0,0
NGA.11.9_1,NGA.17.2_1,3.0,0
NGA.11.9_1,NGA.11.5_1,2.0,0
NGA.11.9_1,NGA.4.19_1,2.0,0
NGA.11.9_1,NGA.17.15_1,1.0,0
NGA.11.9_1,NGA.3.15_1,3.0,0
NGA.11.9_1,NGA.14.5_1,6.0,0
NGA.11.9_1,NGA.1.5_1,2.0,0
NGA.11.9_1,NGA.17.14_1,2.0,0
NGA.11.9_1,NGA.17.4_1,2.0,0
NGA.11.9_1,NGA.9.17_1,4.0,0
NGA.11.9_1,NGA.11.8_1,3.0,0
NGA.11.9_1,NGA.14.4_1,1.0,0
NGA.11.9_1,NGA.17.20_1,3.0,0
NGA.11.9_1,NGA.9.6_1,1.0,0
NGA.11.9_1,NGA.1.6_1,1.0,0
NGA.11.9_1,NGA.4.1_1,2.0,0
NGA.11.9_1,NGA.17.10_1,1.0,0
NGA.11.9_1,NGA.11.7_1,3.0,0
NGA.11.9_1,NGA.17.1_1,5.0,0
NGA.11.9_1,NGA.17.21_1,2.0,0
NGA.11.9_1,NGA.4.6_1,1.0,0
NGA.11.9_1,NGA.4.4_1,2.0,0
NGA.11.9_1,NGA.17.11_1,2.0,0
NGA.11.9_1,NGA.14.6_1,2.0,0
NGA.11.9_1,NGA.3.22_1,2.0,0
NGA.11.9_1,NGA.14.16_1,3.0,0
NGA.11.9_1,NGA.14.3_1,1.0,0
NGA.11.9_1,NGA.17.25_1,3.0,0
NGA.11.9_1,NGA.17.24_1,1.0,0
NGA.11.9_1,NGA.3.14_1,1.0,0
NGA.11.9_1,NGA.17.23_1,1.0,0
NGA.11.9_1,NGA.4.5_1,1.0,0
NGA.11.9_1,NGA.11.12_1,1.0,0
NGA.11.9_1,NGA.4.10_1,2.0,0
NGA.11.9_1,NGA.17.12_1,2.0,0
NGA.11.9_1,NGA.3.5_1,2.0,0
NGA.11.9_1,NGA.1.1_1,1.0,0
NGA.11.9_1,NGA.9.15_1,1.0,0
NGA.11.9_1,NGA.3.6_1,1.0,0
NGA.11.9_1,NGA.3.28_1,1.0,0
NGA.11.9_1,NGA.33.16_1,1.0,0
NGA.11.9_1,NGA.33.15_1,1.0,0
NGA.11.9_1,NGA.33.14_1,1.0,0
NGA.11.9_1,NGA.33.12_1,1.0,0
NGA.11.9_1,NGA.3.13_1,1.0,0
NGA.11.9_1,NGA.3.30_1,2.0,0
NGA.11.9_1,NGA.10.21_1,1.0,0
NGA.11.9_1,NGA.33.1_1,2.0,0
NGA.11.9_1,NGA.23.3_1,1.0,0
NGA.11.9_1,NGA.6.6_1,1.0,0
NGA.11.9_1,NGA.23.19_1,1.0,0
NGA.11.9_1,NGA.12.17_1,1.0,0
NGA.11.9_1,NGA.23.17_1,1.0,0
NGA.11.9_1,NGA.12.1_1,1.0,0
NGA.11.9_1,NGA.12.2_1,1.0,0
NGA.11.9_1,NGA.15.2_1,1.0,0
NGA.11.9_1,NGA.30.30_1,1.0,0
NGA.11.9_1,NGA.25.10_1,1.0,0
NGA.11.9_1,NGA.31.19_1,1.0,0
NGA.11.9_1,NGA.16.2_1,1.0,0
NGA.35.16_1,NGA.35.15_1,1567.0,0
NGA.35.16_1,NGA.2.12_1,770.0,0
NGA.35.16_1,NGA.35.10_1,222.0,0
NGA.35.16_1,NGA.35.7_1,235.0,0
