origin,destination,flow,time
NIC.1.1_1,NIC.1.4_1,2242.0,0
NIC.1.1_1,NIC.1.5_1,541.0,0
NIC.1.1_1,NIC.9.1_1,188.0,0
NIC.1.1_1,NIC.1.7_1,39.0,0
NIC.1.1_1,NIC.1.2_1,45.0,0
NIC.1.1_1,NIC.1.6_1,28.0,0
NIC.1.1_1,NIC.9.7_1,18.0,0
NIC.1.1_1,NIC.1.3_1,16.0,0
NIC.1.1_1,NIC.15.7_1,8.0,0
NIC.1.1_1,NIC.15.6_1,3.0,0
NIC.1.1_1,NIC.2.5_1,12.0,0
NIC.1.1_1,NIC.2.2_1,1.0,0
NIC.1.1_1,NIC.16.7_1,4.0,0
NIC.1.1_1,NIC.15.13_1,3.0,0
NIC.1.1_1,NIC.9.6_1,8.0,0
NIC.1.1_1,NIC.15.4_1,3.0,0
NIC.1.1_1,NIC.16.4_1,3.0,0
NIC.1.1_1,NIC.16.9_1,5.0,0
NIC.1.1_1,NIC.16.2_1,1.0,0
NIC.1.1_1,NIC.2.6_1,1.0,0
NIC.1.1_1,NIC.9.2_1,7.0,0
NIC.1.1_1,NIC.15.10_1,4.0,0
NIC.1.1_1,NIC.12.4_1,2.0,0
NIC.1.1_1,NIC.15.5_1,1.0,0
NIC.1.1_1,NIC.9.5_1,1.0,0
NIC.1.1_1,NIC.3.2_1,1.0,0
NIC.1.1_1,NIC.15.3_1,4.0,0
NIC.1.1_1,NIC.6.6_1,1.0,0
NIC.1.1_1,NIC.9.3_1,1.0,0
NIC.1.1_1,NIC.7.1_1,1.0,0
NIC.1.1_1,NIC.12.8_1,2.0,0
NIC.1.1_1,NIC.7.3_1,1.0,0
NIC.1.1_1,NIC.7.2_1,1.0,0
NIC.1.1_1,NIC.6.7_1,1.0,0
NIC.1.1_1,NIC.15.1_1,3.0,0
NIC.1.1_1,NIC.7.5_1,1.0,0
NIC.1.1_1,NIC.13.7_1,3.0,0
NIC.1.1_1,NIC.14.4_1,2.0,0
NIC.1.1_1,NIC.13.3_1,1.0,0
NIC.1.1_1,NIC.11.10_1,1.0,0
NIC.1.1_1,NIC.2.1_1,1.0,0
NIC.1.1_1,NIC.13.2_1,4.0,0
NIC.1.1_1,NIC.14.2_1,1.0,0
NIC.1.1_1,NIC.11.6_1,1.0,0
NIC.1.1_1,NIC.18.6_1,1.0,0
NIC.1.1_1,NIC.18.8_1,1.0,0
NIC.1.2_1,NIC.1.4_1,3677.0,0
NIC.1.2_1,NIC.2.5_1,1698.0,0
NIC.1.2_1,NIC.2.6_1,242.0,0
NIC.1.2_1,NIC.1.1_1,189.0,0
NIC.1.2_1,NIC.1.5_1,486.0,0
NIC.1.2_1,NIC.1.3_1,240.0,0
NIC.1.2_1,NIC.2.2_1,39.0,0
NIC.1.2_1,NIC.15.7_1,111.0,0
NIC.1.2_1,NIC.1.7_1,73.0,0
NIC.1.2_1,NIC.2.4_1,9.0,0
NIC.1.2_1,NIC.2.3_1,66.0,0
NIC.1.2_1,NIC.1.6_1,56.0,0
NIC.1.2_1,NIC.9.1_1,77.0,0
NIC.1.2_1,NIC.6.6_1,5.0,0
NIC.1.2_1,NIC.15.6_1,23.0,0
NIC.1.2_1,NIC.2.7_1,7.0,0
NIC.1.2_1,NIC.15.4_1,16.0,0
NIC.1.2_1,NIC.3.2_1,8.0,0
NIC.1.2_1,NIC.6.4_1,4.0,0
NIC.1.2_1,NIC.9.7_1,42.0,0
NIC.1.2_1,NIC.6.7_1,5.0,0
NIC.1.2_1,NIC.15.13_1,13.0,0
NIC.1.2_1,NIC.6.8_1,5.0,0
NIC.1.2_1,NIC.3.1_1,12.0,0
NIC.1.2_1,NIC.15.5_1,5.0,0
NIC.1.2_1,NIC.6.5_1,4.0,0
NIC.1.2_1,NIC.15.10_1,16.0,0
NIC.1.2_1,NIC.2.8_1,13.0,0
NIC.1.2_1,NIC.9.6_1,18.0,0
NIC.1.2_1,NIC.9.2_1,35.0,0
NIC.1.2_1,NIC.15.2_1,2.0,0
NIC.1.2_1,NIC.17.1_1,1.0,0
NIC.1.2_1,NIC.2.1_1,5.0,0
NIC.1.2_1,NIC.16.7_1,2.0,0
NIC.1.2_1,NIC.6.3_1,12.0,0
NIC.1.2_1,NIC.15.3_1,13.0,0
NIC.1.2_1,NIC.3.5_1,1.0,0
NIC.1.2_1,NIC.15.8_1,4.0,0
NIC.1.2_1,NIC.3.3_1,3.0,0
NIC.1.2_1,NIC.6.1_1,1.0,0
NIC.1.2_1,NIC.16.9_1,5.0,0
NIC.1.2_1,NIC.6.2_1,3.0,0
NIC.1.2_1,NIC.9.4_1,4.0,0
NIC.1.2_1,NIC.16.4_1,8.0,0
NIC.1.2_1,NIC.3.4_1,5.0,0
NIC.1.2_1,NIC.3.6_1,5.0,0
NIC.1.2_1,NIC.16.2_1,1.0,0
NIC.1.2_1,NIC.12.4_1,2.0,0
NIC.1.2_1,NIC.15.11_1,4.0,0
NIC.1.2_1,NIC.9.5_1,2.0,0
NIC.1.2_1,NIC.9.3_1,1.0,0
NIC.1.2_1,NIC.17.5_1,2.0,0
NIC.1.2_1,NIC.15.9_1,1.0,0
NIC.1.2_1,NIC.15.1_1,4.0,0
NIC.1.2_1,NIC.7.3_1,3.0,0
NIC.1.2_1,NIC.16.1_1,2.0,0
NIC.1.2_1,NIC.16.10_1,2.0,0
NIC.1.2_1,NIC.7.1_1,2.0,0
NIC.1.2_1,NIC.13.7_1,17.0,0
NIC.1.2_1,NIC.7.2_1,7.0,0
NIC.1.2_1,NIC.12.2_1,1.0,0
NIC.1.2_1,NIC.7.6_1,1.0,0
NIC.1.2_1,NIC.10.1_1,3.0,0
NIC.1.2_1,NIC.11.9_1,1.0,0
NIC.1.2_1,NIC.12.8_1,2.0,0
NIC.1.2_1,NIC.17.3_1,5.0,0
NIC.1.2_1,NIC.8.3_1,6.0,0
NIC.1.2_1,NIC.16.8_1,2.0,0
NIC.1.2_1,NIC.7.4_1,2.0,0
NIC.1.2_1,NIC.14.4_1,7.0,0
NIC.1.2_1,NIC.11.3_1,1.0,0
NIC.1.2_1,NIC.7.5_1,1.0,0
NIC.1.2_1,NIC.13.1_1,3.0,0
NIC.1.2_1,NIC.12.6_1,1.0,0
NIC.1.2_1,NIC.13.6_1,2.0,0
NIC.1.2_1,NIC.14.3_1,4.0,0
NIC.1.2_1,NIC.14.2_1,4.0,0
NIC.1.2_1,NIC.4.6_1,1.0,0
NIC.1.2_1,NIC.16.11_1,1.0,0
NIC.1.2_1,NIC.13.2_1,16.0,0
NIC.1.2_1,NIC.13.3_1,2.0,0
NIC.1.2_1,NIC.4.7_1,1.0,0
NIC.1.2_1,NIC.4.2_1,1.0,0
