origin,destination,flow,time
NLD.14.50_1,NLD.14.51_1,1205.0,0
NLD.14.50_1,NLD.14.4_1,746.0,0
NLD.14.50_1,NLD.14.36_1,392.0,0
NLD.14.50_1,NLD.14.59_1,91.0,0
NLD.14.50_1,NLD.14.9_1,76.0,0
NLD.14.50_1,NLD.14.63_1,163.0,0
NLD.14.50_1,NLD.14.18_1,112.0,0
NLD.14.50_1,NLD.14.52_1,16.0,0
NLD.14.50_1,NLD.14.31_1,31.0,0
NLD.14.50_1,NLD.14.60_1,23.0,0
NLD.14.50_1,NLD.14.28_1,10.0,0
NLD.14.50_1,NLD.14.48_1,7.0,0
NLD.14.50_1,NLD.14.91_1,22.0,0
NLD.14.50_1,NLD.14.79_1,5.0,0
NLD.14.50_1,NLD.14.73_1,14.0,0
NLD.14.50_1,NLD.14.42_1,5.0,0
NLD.14.50_1,NLD.14.27_1,24.0,0
NLD.14.50_1,NLD.14.8_1,19.0,0
NLD.14.50_1,NLD.14.72_1,1.0,0
NLD.14.50_1,NLD.14.88_1,4.0,0
NLD.14.50_1,NLD.14.23_1,9.0,0
NLD.14.50_1,NLD.14.10_1,5.0,0
NLD.14.50_1,NLD.14.29_1,1.0,0
NLD.14.50_1,NLD.14.82_1,3.0,0
NLD.14.50_1,NLD.14.1_1,2.0,0
NLD.14.50_1,NLD.14.14_1,3.0,0
NLD.14.50_1,NLD.14.13_1,5.0,0
NLD.14.50_1,NLD.14.62_1,3.0,0
NLD.14.50_1,NLD.14.5_1,3.0,0
NLD.14.50_1,NLD.11.23_1,1.0,0
NLD.14.50_1,NLD.14.16_1,1.0,0
NLD.14.50_1,NLD.14.70_1,2.0,0
NLD.14.50_1,NLD.14.75_1,1.0,0
NLD.14.50_1,NLD.11.18_1,2.0,0
NLD.14.50_1,NLD.14.15_1,1.0,0
NLD.14.50_1,NLD.14.58_1,2.0,0
NLD.14.50_1,NLD.14.89_1,9.0,0
NLD.14.50_1,NLD.14.26_1,1.0,0
NLD.14.50_1,NLD.14.65_1,1.0,0
NLD.14.50_1,NLD.14.87_1,1.0,0
NLD.14.50_1,NLD.14.21_1,1.0,0
NLD.14.50_1,NLD.14.67_1,8.0,0
NLD.14.50_1,NLD.14.74_1,1.0,0
NLD.14.50_1,NLD.14.66_1,2.0,0
NLD.14.50_1,NLD.14.37_1,1.0,0
NLD.14.50_1,NLD.14.20_1,1.0,0
NLD.14.50_1,NLD.14.38_1,1.0,0
NLD.14.50_1,NLD.14.68_1,1.0,0
NLD.14.50_1,NLD.14.2_1,3.0,0
NLD.14.50_1,NLD.11.22_1,1.0,0
NLD.14.50_1,NLD.14.56_1,1.0,0
NLD.14.50_1,NLD.11.27_1,2.0,0
NLD.14.50_1,NLD.14.3_1,1.0,0
NLD.14.50_1,NLD.8.22_1,1.0,0
NLD.14.50_1,NLD.9.4_1,1.0,0
NLD.14.50_1,NLD.8.62_1,1.0,0
NLD.14.50_1,NLD.4.4_1,1.0,0
NLD.14.50_1,NLD.9.33_1,1.0,0
NLD.14.51_1,NLD.14.50_1,1247.0,0
NLD.14.51_1,NLD.14.4_1,312.0,0
NLD.14.51_1,NLD.14.31_1,162.0,0
NLD.14.51_1,NLD.14.60_1,61.0,0
NLD.14.51_1,NLD.14.63_1,51.0,0
NLD.14.51_1,NLD.14.36_1,21.0,0
NLD.14.51_1,NLD.14.59_1,8.0,0
NLD.14.51_1,NLD.14.9_1,3.0,0
NLD.14.51_1,NLD.14.28_1,7.0,0
NLD.14.51_1,NLD.14.73_1,10.0,0
NLD.14.51_1,NLD.14.91_1,9.0,0
NLD.14.51_1,NLD.14.18_1,13.0,0
NLD.14.51_1,NLD.14.52_1,1.0,0
NLD.14.51_1,NLD.14.42_1,1.0,0
NLD.14.51_1,NLD.14.23_1,10.0,0
NLD.14.51_1,NLD.14.8_1,7.0,0
NLD.14.51_1,NLD.14.29_1,1.0,0
NLD.14.51_1,NLD.14.1_1,1.0,0
NLD.14.51_1,NLD.14.27_1,6.0,0
NLD.14.51_1,NLD.14.10_1,1.0,0
NLD.14.51_1,NLD.14.5_1,2.0,0
NLD.14.51_1,NLD.14.75_1,1.0,0
NLD.14.51_1,NLD.14.14_1,2.0,0
NLD.14.51_1,NLD.14.11_1,2.0,0
NLD.14.51_1,NLD.14.58_1,1.0,0
NLD.14.51_1,NLD.14.70_1,1.0,0
NLD.14.51_1,NLD.11.18_1,1.0,0
NLD.14.51_1,NLD.8.19_1,1.0,0
NLD.14.51_1,NLD.14.89_1,3.0,0
NLD.14.51_1,NLD.14.67_1,7.0,0
NLD.14.51_1,NLD.14.78_1,1.0,0
NLD.14.51_1,NLD.14.71_1,1.0,0
NLD.14.51_1,NLD.14.66_1,1.0,0
NLD.14.51_1,NLD.4.68_1,1.0,0
NLD.14.51_1,NLD.11.27_1,1.0,0
NLD.14.51_1,NLD.14.30_1,1.0,0
NLD.14.51_1,NLD.9.21_1,1.0,0
NLD.14.52_1,NLD.14.59_1,1107.0,0
NLD.14.52_1,NLD.14.48_1,397.0,0
NLD.14.52_1,NLD.14.18_1,613.0,0
NLD.14.52_1,NLD.14.36_1,63.0,0
NLD.14.52_1,NLD.14.88_1,42.0,0
NLD.14.52_1,NLD.14.50_1,17.0,0
NLD.14.52_1,NLD.14.10_1,22.0,0
NLD.14.52_1,NLD.14.27_1,30.0,0
NLD.14.52_1,NLD.14.14_1,15.0,0
NLD.14.52_1,NLD.14.82_1,7.0,0
NLD.14.52_1,NLD.14.9_1,2.0,0
NLD.14.52_1,NLD.14.51_1,2.0,0
NLD.14.52_1,NLD.14.63_1,7.0,0
NLD.14.52_1,NLD.14.11_1,2.0,0
NLD.14.52_1,NLD.14.79_1,3.0,0
NLD.14.52_1,NLD.14.4_1,3.0,0
NLD.14.52_1,NLD.14.16_1,2.0,0
NLD.14.52_1,NLD.14.62_1,3.0,0
NLD.14.52_1,NLD.14.89_1,12.0,0
NLD.14.52_1,NLD.14.31_1,6.0,0
NLD.14.52_1,NLD.14.8_1,1.0,0
NLD.14.52_1,NLD.14.61_1,1.0,0
NLD.14.52_1,NLD.14.65_1,1.0,0
NLD.14.52_1,NLD.14.42_1,1.0,0
NLD.14.52_1,NLD.14.91_1,2.0,0
NLD.14.52_1,NLD.14.70_1,1.0,0
NLD.14.52_1,NLD.14.21_1,5.0,0
NLD.14.52_1,NLD.14.7_1,4.0,0
NLD.14.52_1,NLD.14.13_1,1.0,0
NLD.14.52_1,NLD.14.67_1,4.0,0
NLD.14.52_1,NLD.14.78_1,2.0,0
NLD.14.52_1,NLD.14.81_1,1.0,0
NLD.14.52_1,NLD.14.24_1,1.0,0
NLD.14.52_1,NLD.14.2_1,1.0,0
NLD.14.52_1,NLD.14.43_1,1.0,0
NLD.14.52_1,NLD.11.8_1,1.0,0
NLD.14.52_1,NLD.11.33_1,1.0,0
NLD.14.52_1,NLD.9.4_1,1.0,0
NLD.14.52_1,NLD.4.3_1,1.0,0
NLD.14.53_1,NLD.14.41_1,1063.0,0
NLD.14.53_1,NLD.14.76_1,276.0,0
NLD.14.53_1,NLD.14.15_1,302.0,0
