origin,destination,flow,time
NOR.1.1_1,NOR.1.8_1,183.0,0
NOR.1.1_1,NOR.1.18_1,109.0,0
NOR.1.1_1,NOR.1.21_1,24.0,0
NOR.1.1_1,NOR.2.7_1,6.0,0
NOR.1.1_1,NOR.1.15_1,19.0,0
NOR.1.1_1,NOR.4.9_1,5.0,0
NOR.1.1_1,NOR.2.20_1,2.0,0
NOR.1.1_1,NOR.1.6_1,6.0,0
NOR.1.1_1,NOR.4.20_1,9.0,0
NOR.1.1_1,NOR.2.2_1,6.0,0
NOR.1.1_1,NOR.19.12_1,1.0,0
NOR.1.1_1,NOR.2.11_1,4.0,0
NOR.1.1_1,NOR.2.22_1,1.0,0
NOR.1.1_1,NOR.1.11_1,4.0,0
NOR.1.1_1,NOR.1.2_1,7.0,0
NOR.1.1_1,NOR.2.21_1,1.0,0
NOR.1.1_1,NOR.19.9_1,1.0,0
NOR.1.1_1,NOR.2.17_1,1.0,0
NOR.1.1_1,NOR.1.4_1,1.0,0
NOR.1.1_1,NOR.12.1_1,7.0,0
NOR.1.1_1,NOR.19.4_1,1.0,0
NOR.1.1_1,NOR.1.13_1,1.0,0
NOR.1.1_1,NOR.2.6_1,1.0,0
NOR.1.1_1,NOR.3.2_1,1.0,0
NOR.1.1_1,NOR.13.15_1,1.0,0
NOR.1.3_1,NOR.2.16_1,13.0,0
NOR.1.3_1,NOR.1.7_1,147.0,0
NOR.1.3_1,NOR.2.21_1,31.0,0
NOR.1.3_1,NOR.1.19_1,57.0,0
NOR.1.3_1,NOR.1.6_1,23.0,0
NOR.1.3_1,NOR.1.16_1,15.0,0
NOR.1.3_1,NOR.1.13_1,20.0,0
NOR.1.3_1,NOR.6.4_1,2.0,0
NOR.1.3_1,NOR.1.17_1,11.0,0
NOR.1.3_1,NOR.1.11_1,3.0,0
NOR.1.3_1,NOR.2.2_1,1.0,0
NOR.1.3_1,NOR.1.18_1,3.0,0
NOR.1.3_1,NOR.2.10_1,1.0,0
NOR.1.3_1,NOR.1.20_1,3.0,0
NOR.1.3_1,NOR.1.9_1,2.0,0
NOR.1.3_1,NOR.1.15_1,2.0,0
NOR.1.3_1,NOR.1.1_1,1.0,0
NOR.1.3_1,NOR.1.14_1,1.0,0
NOR.1.3_1,NOR.12.1_1,5.0,0
NOR.1.3_1,NOR.1.10_1,1.0,0
NOR.1.3_1,NOR.4.2_1,1.0,0
NOR.1.3_1,NOR.13.3_1,1.0,0
NOR.1.10_1,NOR.1.5_1,49.0,0
NOR.1.10_1,NOR.11.14_1,4.0,0
NOR.1.10_1,NOR.1.12_1,3.0,0
NOR.1.10_1,NOR.11.5_1,2.0,0
NOR.1.10_1,NOR.1.20_1,1.0,0
NOR.1.2_1,NOR.4.12_1,361.0,0
NOR.1.2_1,NOR.4.20_1,159.0,0
NOR.1.2_1,NOR.1.4_1,356.0,0
NOR.1.2_1,NOR.4.2_1,71.0,0
NOR.1.2_1,NOR.1.8_1,12.0,0
NOR.1.2_1,NOR.1.15_1,23.0,0
NOR.1.2_1,NOR.4.14_1,20.0,0
NOR.1.2_1,NOR.12.1_1,126.0,0
