origin,destination,flow,time
NPL.1_1,NPL.5_1,254451.0,0
NPL.1_1,NPL.2_1,257212.0,0
NPL.1_1,NPL.4_1,57620.0,0
NPL.1_1,NPL.3_1,55398.0,0
NPL.2_1,NPL.1_1,316231.0,0
NPL.2_1,NPL.5_1,31678.0,0
NPL.2_1,NPL.4_1,16556.0,0
NPL.2_1,NPL.3_1,16015.0,0
NPL.3_1,NPL.4_1,85738.0,0
NPL.3_1,NPL.5_1,40103.0,0
NPL.3_1,NPL.1_1,34987.0,0
NPL.3_1,NPL.2_1,7127.0,0
NPL.4_1,NPL.3_1,84215.0,0
NPL.4_1,NPL.5_1,27403.0,0
NPL.4_1,NPL.1_1,23383.0,0
NPL.4_1,NPL.2_1,4749.0,0
NPL.5_1,NPL.4_1,94050.0,0
NPL.5_1,NPL.1_1,85736.0,0
NPL.5_1,NPL.3_1,7006.0,0
NPL.5_1,NPL.2_1,10063.0,0
NPL.1_1,NPL.1_1,11868954.024359249,0
NPL.2_1,NPL.2_1,7229121.160116886,0
NPL.3_1,NPL.3_1,3191158.026180521,0
NPL.4_1,NPL.4_1,2655259.2187515404,0
NPL.5_1,NPL.5_1,3740248.0622197497,0
