origin,destination,flow,time
NZL.17.2_1,NZL.17.3_1,118.0,0
NZL.17.2_1,NZL.17.7_1,24.0,0
NZL.17.2_1,NZL.17.8_1,27.0,0
NZL.17.2_1,NZL.17.1_1,13.0,0
NZL.17.2_1,NZL.2.5_1,2.0,0
NZL.17.2_1,NZL.1.1_1,2.0,0
NZL.17.2_1,NZL.18.8_1,1.0,0
NZL.17.3_1,NZL.17.1_1,287.0,0
NZL.17.3_1,NZL.17.2_1,3.0,0
NZL.17.3_1,NZL.17.9_1,8.0,0
NZL.17.3_1,NZL.2.6_1,8.0,0
NZL.17.3_1,NZL.2.5_1,16.0,0
NZL.17.3_1,NZL.17.8_1,4.0,0
NZL.17.3_1,NZL.17.5_1,3.0,0
NZL.17.3_1,NZL.2.4_1,3.0,0
NZL.17.3_1,NZL.2.7_1,1.0,0
NZL.17.3_1,NZL.1.1_1,11.0,0
NZL.17.4_1,NZL.17.9_1,86.0,0
NZL.17.4_1,NZL.17.10_1,1.0,0
NZL.17.4_1,NZL.17.1_1,4.0,0
NZL.17.4_1,NZL.17.5_1,2.0,0
NZL.17.4_1,NZL.17.3_1,1.0,0
NZL.17.4_1,NZL.7.7_1,1.0,0
NZL.17.5_1,NZL.2.4_1,178.0,0
NZL.17.5_1,NZL.17.9_1,21.0,0
NZL.17.5_1,NZL.2.6_1,11.0,0
NZL.17.5_1,NZL.17.3_1,4.0,0
NZL.17.5_1,NZL.2.5_1,3.0,0
NZL.17.5_1,NZL.17.1_1,4.0,0
NZL.17.5_1,NZL.2.7_1,2.0,0
NZL.17.5_1,NZL.17.2_1,1.0,0
NZL.17.5_1,NZL.15.1_1,1.0,0
NZL.17.5_1,NZL.7.3_1,1.0,0
NZL.17.5_1,NZL.3.6_1,1.0,0
NZL.17.6_1,NZL.7.5_1,82.0,0
NZL.17.6_1,NZL.2.4_1,169.0,0
NZL.17.6_1,NZL.17.5_1,19.0,0
NZL.17.6_1,NZL.6.2_1,32.0,0
NZL.17.6_1,NZL.2.7_1,6.0,0
NZL.17.6_1,NZL.2.2_1,1.0,0
NZL.17.6_1,NZL.17.10_1,2.0,0
NZL.17.6_1,NZL.7.4_1,1.0,0
NZL.17.6_1,NZL.6.3_1,4.0,0
NZL.17.6_1,NZL.17.9_1,4.0,0
NZL.17.6_1,NZL.2.6_1,2.0,0
NZL.17.6_1,NZL.2.5_1,11.0,0
