origin,destination,flow,time
OMN.9.6_1,OMN.9.2_1,727.0,0
OMN.9.6_1,OMN.9.5_1,377.0,0
OMN.9.6_1,OMN.9.4_1,1607.0,0
OMN.9.6_1,OMN.9.7_1,93.0,0
OMN.9.6_1,OMN.9.3_1,75.0,0
OMN.9.6_1,OMN.6.1_1,150.0,0
OMN.9.6_1,OMN.8.2_1,2.0,0
OMN.9.6_1,OMN.1.1_1,33.0,0
OMN.9.6_1,OMN.5.2_1,36.0,0
OMN.9.6_1,OMN.1.3_1,18.0,0
OMN.9.6_1,OMN.7.1_1,7.0,0
OMN.9.6_1,OMN.7.4_1,33.0,0
OMN.9.6_1,OMN.1.6_1,13.0,0
OMN.9.6_1,OMN.5.1_1,7.0,0
OMN.9.6_1,OMN.1.2_1,5.0,0
OMN.9.6_1,OMN.1.7_1,13.0,0
OMN.9.6_1,OMN.8.1_1,11.0,0
OMN.9.6_1,OMN.1.5_1,9.0,0
OMN.9.6_1,OMN.7.5_1,3.0,0
OMN.9.6_1,OMN.5.3_1,6.0,0
OMN.9.6_1,OMN.4.1_1,4.0,0
OMN.9.6_1,OMN.3.1_1,9.0,0
OMN.9.6_1,OMN.1.8_1,1.0,0
OMN.9.6_1,OMN.7.2_1,3.0,0
OMN.9.6_1,OMN.2.1_1,9.0,0
OMN.9.6_1,OMN.3.5_1,3.0,0
OMN.9.6_1,OMN.1.4_1,13.0,0
OMN.9.6_1,OMN.3.3_1,2.0,0
OMN.9.6_1,OMN.8.3_1,2.0,0
OMN.9.6_1,OMN.11.5_1,5.0,0
OMN.9.6_1,OMN.2.4_1,3.0,0
OMN.9.6_1,OMN.3.4_1,7.0,0
OMN.9.6_1,OMN.11.1_1,9.0,0
OMN.9.6_1,OMN.11.2_1,2.0,0
OMN.9.6_1,OMN.2.6_1,2.0,0
OMN.9.6_1,OMN.4.2_1,1.0,0
OMN.9.6_1,OMN.2.5_1,2.0,0
OMN.9.6_1,OMN.10.4_1,1.0,0
