origin,destination,flow,time
PAK.5.8_1,PAK.5.7_1,562991.0,0
PAK.5.8_1,PAK.5.5_1,119838.0,0
PAK.5.8_1,PAK.4.1_1,71082.0,0
PAK.5.8_1,PAK.7.7_1,226117.0,0
PAK.5.8_1,PAK.5.3_1,3720.0,0
PAK.5.8_1,PAK.5.4_1,59261.0,0
PAK.5.8_1,PAK.3.1_1,33445.0,0
PAK.5.8_1,PAK.5.1_1,11623.0,0
PAK.5.8_1,PAK.5.6_1,31651.0,0
PAK.5.8_1,PAK.1.1_1,14467.0,0
PAK.5.8_1,PAK.7.8_1,26505.0,0
PAK.5.8_1,PAK.5.2_1,4571.0,0
PAK.5.8_1,PAK.7.4_1,33962.0,0
PAK.5.8_1,PAK.7.3_1,18073.0,0
PAK.5.8_1,PAK.6.1_1,951.0,0
PAK.5.8_1,PAK.7.5_1,17606.0,0
PAK.5.8_1,PAK.7.6_1,9890.0,0
PAK.5.8_1,PAK.2.6_1,543.0,0
PAK.5.8_1,PAK.7.2_1,4494.0,0
PAK.5.8_1,PAK.7.1_1,4140.0,0
PAK.5.8_1,PAK.2.5_1,178.0,0
PAK.5.8_1,PAK.2.3_1,370.0,0
PAK.5.8_1,PAK.8.3_1,2147.0,0
PAK.5.8_1,PAK.8.5_1,37.0,0
PAK.5.8_1,PAK.8.6_1,2354.0,0
PAK.5.8_1,PAK.2.4_1,479.0,0
PAK.5.8_1,PAK.2.1_1,459.0,0
PAK.5.8_1,PAK.8.4_1,1421.0,0
PAK.5.8_1,PAK.8.1_1,2545.0,0
PAK.5.8_1,PAK.8.2_1,3115.0,0
PAK.5.8_1,PAK.2.2_1,192.0,0
PAK.6.1_1,PAK.5.4_1,168499.0,0
PAK.6.1_1,PAK.1.1_1,10147.0,0
PAK.6.1_1,PAK.5.6_1,7163.0,0
PAK.6.1_1,PAK.5.7_1,2623.0,0
PAK.6.1_1,PAK.4.1_1,675.0,0
PAK.6.1_1,PAK.5.8_1,1823.0,0
PAK.6.1_1,PAK.7.7_1,1744.0,0
PAK.6.1_1,PAK.7.4_1,1563.0,0
PAK.6.1_1,PAK.5.5_1,109.0,0
PAK.6.1_1,PAK.5.3_1,20.0,0
PAK.6.1_1,PAK.7.8_1,397.0,0
PAK.6.1_1,PAK.3.1_1,175.0,0
PAK.6.1_1,PAK.5.1_1,73.0,0
PAK.6.1_1,PAK.7.5_1,588.0,0
PAK.6.1_1,PAK.7.3_1,259.0,0
PAK.6.1_1,PAK.5.2_1,24.0,0
PAK.6.1_1,PAK.7.6_1,228.0,0
PAK.6.1_1,PAK.7.2_1,116.0,0
PAK.6.1_1,PAK.2.6_1,9.0,0
PAK.6.1_1,PAK.7.1_1,77.0,0
PAK.6.1_1,PAK.2.5_1,4.0,0
PAK.6.1_1,PAK.2.3_1,11.0,0
PAK.6.1_1,PAK.8.3_1,48.0,0
PAK.6.1_1,PAK.8.5_1,2.0,0
PAK.6.1_1,PAK.8.6_1,51.0,0
PAK.6.1_1,PAK.2.4_1,16.0,0
PAK.6.1_1,PAK.2.1_1,11.0,0
PAK.6.1_1,PAK.8.4_1,35.0,0
PAK.6.1_1,PAK.8.1_1,79.0,0
PAK.6.1_1,PAK.8.2_1,48.0,0
PAK.6.1_1,PAK.2.2_1,4.0,0
PAK.7.1_1,PAK.7.6_1,1487015.0,0
PAK.7.1_1,PAK.7.2_1,242422.0,0
PAK.7.1_1,PAK.7.3_1,189240.0,0
PAK.7.1_1,PAK.2.5_1,5041.0,0
PAK.7.1_1,PAK.8.5_1,1169.0,0
PAK.7.1_1,PAK.8.6_1,61346.0,0
PAK.7.1_1,PAK.8.3_1,41461.0,0
PAK.7.1_1,PAK.2.6_1,6076.0,0
PAK.7.1_1,PAK.7.5_1,91374.0,0
PAK.7.1_1,PAK.5.2_1,5530.0,0
PAK.7.1_1,PAK.7.8_1,23525.0,0
PAK.7.1_1,PAK.2.3_1,2907.0,0
PAK.7.1_1,PAK.5.1_1,4589.0,0
PAK.7.1_1,PAK.8.4_1,12438.0,0
PAK.7.1_1,PAK.7.4_1,33717.0,0
PAK.7.1_1,PAK.5.3_1,450.0,0
PAK.7.1_1,PAK.7.7_1,15410.0,0
PAK.7.1_1,PAK.3.1_1,5796.0,0
PAK.7.1_1,PAK.5.5_1,2758.0,0
PAK.7.1_1,PAK.8.1_1,12119.0,0
PAK.7.1_1,PAK.4.1_1,1793.0,0
PAK.7.1_1,PAK.5.8_1,6588.0,0
PAK.7.1_1,PAK.2.1_1,1795.0,0
PAK.7.1_1,PAK.8.2_1,12960.0,0
PAK.7.1_1,PAK.5.7_1,3845.0,0
PAK.7.1_1,PAK.1.1_1,2796.0,0
PAK.7.1_1,PAK.5.4_1,4218.0,0
PAK.7.1_1,PAK.2.4_1,1386.0,0
PAK.7.1_1,PAK.5.6_1,4266.0,0
PAK.7.1_1,PAK.6.1_1,641.0,0
PAK.7.1_1,PAK.2.2_1,643.0,0
PAK.5.1_1,PAK.5.3_1,50125.0,0
PAK.5.1_1,PAK.3.1_1,223074.0,0
PAK.5.1_1,PAK.5.5_1,26125.0,0
PAK.5.1_1,PAK.5.2_1,14036.0,0
PAK.5.1_1,PAK.7.8_1,30953.0,0
PAK.5.1_1,PAK.5.8_1,9298.0,0
PAK.5.1_1,PAK.7.7_1,8282.0,0
PAK.5.1_1,PAK.5.7_1,2487.0,0
PAK.5.1_1,PAK.7.3_1,4755.0,0
PAK.5.1_1,PAK.4.1_1,382.0,0
PAK.5.1_1,PAK.2.6_1,224.0,0
PAK.5.1_1,PAK.7.2_1,1911.0,0
PAK.5.1_1,PAK.7.4_1,2160.0,0
PAK.5.1_1,PAK.7.6_1,1388.0,0
PAK.5.1_1,PAK.5.4_1,363.0,0
PAK.5.1_1,PAK.7.5_1,1138.0,0
PAK.5.1_1,PAK.1.1_1,121.0,0
PAK.5.1_1,PAK.5.6_1,245.0,0
PAK.5.1_1,PAK.2.5_1,23.0,0
PAK.5.1_1,PAK.7.1_1,389.0,0
PAK.5.1_1,PAK.2.3_1,34.0,0
PAK.5.1_1,PAK.6.1_1,31.0,0
PAK.5.1_1,PAK.8.3_1,215.0,0
PAK.5.1_1,PAK.8.5_1,1.0,0
PAK.5.1_1,PAK.8.6_1,201.0,0
PAK.5.1_1,PAK.2.4_1,48.0,0
PAK.5.1_1,PAK.2.1_1,55.0,0
PAK.5.1_1,PAK.8.4_1,130.0,0
PAK.5.1_1,PAK.8.1_1,214.0,0
PAK.5.1_1,PAK.8.2_1,289.0,0
PAK.5.1_1,PAK.2.2_1,21.0,0
PAK.5.7_1,PAK.5.8_1,558544.0,0
PAK.5.7_1,PAK.4.1_1,56003.0,0
PAK.5.7_1,PAK.5.4_1,113471.0,0
PAK.5.7_1,PAK.7.7_1,91033.0,0
PAK.5.7_1,PAK.5.5_1,11107.0,0
PAK.5.7_1,PAK.5.6_1,25647.0,0
PAK.5.7_1,PAK.1.1_1,11112.0,0
PAK.5.7_1,PAK.5.3_1,801.0,0
PAK.5.7_1,PAK.3.1_1,11446.0,0
PAK.5.7_1,PAK.5.1_1,4123.0,0
PAK.5.7_1,PAK.7.8_1,15144.0,0
PAK.5.7_1,PAK.7.4_1,20741.0,0
PAK.5.7_1,PAK.6.1_1,828.0,0
PAK.5.7_1,PAK.5.2_1,1423.0,0
PAK.5.7_1,PAK.7.3_1,9947.0,0
PAK.5.7_1,PAK.7.5_1,9754.0,0
PAK.5.7_1,PAK.7.6_1,5603.0,0
PAK.5.7_1,PAK.2.6_1,317.0,0
PAK.5.7_1,PAK.7.2_1,2541.0,0
PAK.5.7_1,PAK.7.1_1,2300.0,0
PAK.5.7_1,PAK.2.5_1,102.0,0
PAK.5.7_1,PAK.2.3_1,202.0,0
PAK.5.7_1,PAK.8.3_1,1281.0,0
PAK.5.7_1,PAK.8.5_1,25.0,0
