origin,destination,flow,time
PHL.3.3_1,PHL.2.7_1,229.0,0
PHL.3.3_1,PHL.3.9_1,144.0,0
PHL.3.3_1,PHL.3.1_1,124.0,0
PHL.3.3_1,PHL.2.1_1,54.0,0
PHL.3.3_1,PHL.2.2_1,76.0,0
PHL.3.3_1,PHL.3.4_1,3.0,0
PHL.3.3_1,PHL.3.12_1,3.0,0
PHL.3.3_1,PHL.3.6_1,4.0,0
PHL.3.3_1,PHL.2.10_1,3.0,0
PHL.3.3_1,PHL.2.8_1,2.0,0
PHL.3.3_1,PHL.3.8_1,8.0,0
PHL.3.3_1,PHL.2.4_1,1.0,0
PHL.3.3_1,PHL.16.6_1,1.0,0
PHL.3.3_1,PHL.49.8_1,1.0,0
PHL.3.3_1,PHL.75.16_1,1.0,0
PHL.3.3_1,PHL.49.6_1,1.0,0
PHL.3.3_1,PHL.2.3_1,5.0,0
PHL.3.3_1,PHL.75.15_1,1.0,0
PHL.3.3_1,PHL.16.13_1,3.0,0
PHL.3.3_1,PHL.16.14_1,1.0,0
PHL.3.3_1,PHL.3.7_1,1.0,0
PHL.3.3_1,PHL.75.1_1,2.0,0
PHL.3.3_1,PHL.3.14_1,1.0,0
PHL.3.3_1,PHL.3.2_1,1.0,0
PHL.3.3_1,PHL.75.19_1,1.0,0
PHL.3.3_1,PHL.75.13_1,2.0,0
PHL.3.3_1,PHL.16.15_1,1.0,0
PHL.3.3_1,PHL.49.13_1,1.0,0
PHL.3.3_1,PHL.49.11_1,1.0,0
PHL.3.3_1,PHL.3.10_1,2.0,0
PHL.3.3_1,PHL.75.9_1,2.0,0
PHL.3.3_1,PHL.74.4_1,1.0,0
PHL.3.3_1,PHL.16.1_1,1.0,0
PHL.3.3_1,PHL.16.18_1,1.0,0
PHL.3.3_1,PHL.49.21_1,1.0,0
PHL.3.3_1,PHL.16.17_1,1.0,0
PHL.3.3_1,PHL.27.3_1,1.0,0
PHL.3.3_1,PHL.28.2_1,1.0,0
PHL.3.3_1,PHL.27.7_1,1.0,0
PHL.3.3_1,PHL.28.1_1,1.0,0
PHL.3.3_1,PHL.68.5_1,1.0,0
PHL.3.3_1,PHL.51.29_1,1.0,0
PHL.3.10_1,PHL.3.13_1,164.0,0
PHL.3.10_1,PHL.26.7_1,57.0,0
PHL.3.10_1,PHL.3.2_1,6.0,0
PHL.3.10_1,PHL.26.2_1,11.0,0
PHL.3.10_1,PHL.29.3_1,2.0,0
PHL.3.10_1,PHL.3.14_1,2.0,0
PHL.3.10_1,PHL.3.7_1,3.0,0
PHL.3.10_1,PHL.26.8_1,2.0,0
PHL.3.10_1,PHL.26.1_1,2.0,0
PHL.3.10_1,PHL.75.12_1,1.0,0
PHL.3.10_1,PHL.27.5_1,2.0,0
PHL.3.10_1,PHL.27.10_1,1.0,0
PHL.1.20_1,PHL.1.4_1,17.0,0
PHL.1.20_1,PHL.1.3_1,27.0,0
PHL.1.20_1,PHL.1.16_1,3.0,0
