origin,destination,flow,time
PNG.19.2_1,PNG.21.4_1,716.0,0
PNG.19.2_1,PNG.19.4_1,409.0,0
PNG.19.2_1,PNG.19.1_1,42.0,0
PNG.19.2_1,PNG.19.3_1,39.0,0
PNG.19.2_1,PNG.21.2_1,46.0,0
PNG.19.2_1,PNG.7.5_1,24.0,0
PNG.19.2_1,PNG.10.1_1,38.0,0
PNG.19.2_1,PNG.7.1_1,10.0,0
PNG.19.2_1,PNG.21.1_1,7.0,0
PNG.19.2_1,PNG.21.3_1,11.0,0
PNG.19.2_1,PNG.19.5_1,2.0,0
PNG.19.2_1,PNG.10.3_1,5.0,0
PNG.19.2_1,PNG.9.1_1,7.0,0
PNG.19.2_1,PNG.7.4_1,1.0,0
PNG.19.2_1,PNG.7.2_1,1.0,0
PNG.19.2_1,PNG.3.2_1,1.0,0
PNG.19.2_1,PNG.3.4_1,5.0,0
PNG.19.2_1,PNG.9.3_1,3.0,0
PNG.19.2_1,PNG.3.3_1,3.0,0
PNG.19.2_1,PNG.7.3_1,3.0,0
PNG.19.2_1,PNG.3.6_1,1.0,0
PNG.19.2_1,PNG.8.2_1,1.0,0
PNG.19.2_1,PNG.6.2_1,3.0,0
PNG.19.2_1,PNG.5.2_1,1.0,0
PNG.19.2_1,PNG.6.3_1,1.0,0
PNG.19.2_1,PNG.11.2_1,1.0,0
PNG.19.2_1,PNG.14.6_1,1.0,0
PNG.19.2_1,PNG.5.1_1,1.0,0
PNG.19.2_1,PNG.5.4_1,2.0,0
PNG.19.2_1,PNG.14.4_1,1.0,0
PNG.19.2_1,PNG.14.1_1,1.0,0
PNG.19.2_1,PNG.2.3_1,1.0,0
PNG.19.2_1,PNG.15.1_1,2.0,0
PNG.19.2_1,PNG.12.1_1,1.0,0
PNG.19.2_1,PNG.4.2_1,1.0,0
PNG.19.2_1,PNG.16.2_1,1.0,0
PNG.19.3_1,PNG.19.1_1,755.0,0
PNG.19.3_1,PNG.19.2_1,445.0,0
PNG.19.3_1,PNG.21.4_1,226.0,0
PNG.19.3_1,PNG.19.4_1,282.0,0
PNG.19.3_1,PNG.10.1_1,177.0,0
PNG.19.3_1,PNG.21.2_1,47.0,0
PNG.19.3_1,PNG.8.2_1,13.0,0
PNG.19.3_1,PNG.19.5_1,39.0,0
PNG.19.3_1,PNG.3.3_1,13.0,0
PNG.19.3_1,PNG.3.2_1,13.0,0
PNG.19.3_1,PNG.7.5_1,18.0,0
PNG.19.3_1,PNG.21.1_1,9.0,0
PNG.19.3_1,PNG.10.3_1,3.0,0
PNG.19.3_1,PNG.7.1_1,4.0,0
PNG.19.3_1,PNG.21.3_1,10.0,0
PNG.19.3_1,PNG.3.4_1,8.0,0
PNG.19.3_1,PNG.9.1_1,18.0,0
PNG.19.3_1,PNG.3.6_1,7.0,0
PNG.19.3_1,PNG.3.1_1,3.0,0
PNG.19.3_1,PNG.10.2_1,2.0,0
PNG.19.3_1,PNG.3.5_1,2.0,0
PNG.19.3_1,PNG.6.5_1,4.0,0
PNG.19.3_1,PNG.9.3_1,4.0,0
PNG.19.3_1,PNG.7.4_1,2.0,0
PNG.19.3_1,PNG.6.2_1,2.0,0
PNG.19.3_1,PNG.7.3_1,7.0,0
PNG.19.3_1,PNG.6.7_1,1.0,0
PNG.19.3_1,PNG.6.8_1,5.0,0
PNG.19.3_1,PNG.6.3_1,2.0,0
PNG.19.3_1,PNG.6.6_1,1.0,0
PNG.19.3_1,PNG.11.3_1,1.0,0
PNG.19.3_1,PNG.22.1_1,3.0,0
PNG.19.3_1,PNG.9.2_1,1.0,0
PNG.19.3_1,PNG.6.4_1,1.0,0
PNG.19.3_1,PNG.5.2_1,2.0,0
PNG.19.3_1,PNG.11.4_1,1.0,0
PNG.19.3_1,PNG.8.1_1,2.0,0
PNG.19.3_1,PNG.11.1_1,2.0,0
PNG.19.3_1,PNG.14.3_1,1.0,0
PNG.19.3_1,PNG.5.4_1,2.0,0
PNG.19.3_1,PNG.14.2_1,1.0,0
PNG.19.3_1,PNG.18.4_1,1.0,0
PNG.19.3_1,PNG.15.1_1,5.0,0
PNG.19.3_1,PNG.20.1_1,3.0,0
PNG.19.3_1,PNG.20.2_1,1.0,0
PNG.19.3_1,PNG.13.1_1,1.0,0
PNG.19.3_1,PNG.1.2_1,1.0,0
PNG.21.2_1,PNG.21.4_1,977.0,0
PNG.21.2_1,PNG.21.1_1,630.0,0
PNG.21.2_1,PNG.21.3_1,331.0,0
PNG.21.2_1,PNG.10.1_1,368.0,0
PNG.21.2_1,PNG.7.5_1,68.0,0
PNG.21.2_1,PNG.10.3_1,45.0,0
PNG.21.2_1,PNG.19.2_1,24.0,0
PNG.21.2_1,PNG.10.2_1,36.0,0
PNG.21.2_1,PNG.19.1_1,18.0,0
PNG.21.2_1,PNG.19.4_1,49.0,0
PNG.21.2_1,PNG.3.4_1,30.0,0
PNG.21.2_1,PNG.7.2_1,7.0,0
PNG.21.2_1,PNG.3.2_1,17.0,0
PNG.21.2_1,PNG.19.3_1,8.0,0
PNG.21.2_1,PNG.3.5_1,4.0,0
PNG.21.2_1,PNG.3.6_1,9.0,0
PNG.21.2_1,PNG.7.1_1,8.0,0
PNG.21.2_1,PNG.7.4_1,6.0,0
PNG.21.2_1,PNG.3.3_1,8.0,0
PNG.21.2_1,PNG.3.1_1,1.0,0
PNG.21.2_1,PNG.6.1_1,2.0,0
PNG.21.2_1,PNG.11.6_1,6.0,0
PNG.21.2_1,PNG.11.3_1,7.0,0
PNG.21.2_1,PNG.6.2_1,7.0,0
PNG.21.2_1,PNG.7.3_1,17.0,0
PNG.21.2_1,PNG.6.5_1,4.0,0
PNG.21.2_1,PNG.9.1_1,9.0,0
PNG.21.2_1,PNG.6.8_1,3.0,0
PNG.21.2_1,PNG.9.3_1,3.0,0
PNG.21.2_1,PNG.19.5_1,5.0,0
PNG.21.2_1,PNG.5.2_1,4.0,0
PNG.21.2_1,PNG.11.2_1,3.0,0
PNG.21.2_1,PNG.8.2_1,1.0,0
PNG.21.2_1,PNG.6.3_1,4.0,0
PNG.21.2_1,PNG.6.7_1,3.0,0
