origin,destination,flow,time
PRT.14.8_1,PRT.14.15_1,864.0,0
PRT.14.8_1,PRT.14.11_1,182.0,0
PRT.14.8_1,PRT.14.1_1,98.0,0
PRT.14.8_1,PRT.14.3_1,78.0,0
PRT.14.8_1,PRT.8.4_1,112.0,0
PRT.14.8_1,PRT.14.6_1,12.0,0
PRT.14.8_1,PRT.14.14_1,57.0,0
PRT.14.8_1,PRT.8.3_1,15.0,0
PRT.14.8_1,PRT.14.2_1,3.0,0
PRT.14.8_1,PRT.14.7_1,19.0,0
PRT.14.8_1,PRT.8.2_1,1.0,0
PRT.14.8_1,PRT.14.13_1,5.0,0
PRT.14.8_1,PRT.8.14_1,2.0,0
PRT.14.8_1,PRT.14.10_1,2.0,0
PRT.14.8_1,PRT.14.5_1,1.0,0
PRT.14.8_1,PRT.14.9_1,1.0,0
PRT.14.8_1,PRT.14.12_1,1.0,0
PRT.14.8_1,PRT.14.4_1,2.0,0
PRT.14.8_1,PRT.8.10_1,2.0,0
PRT.14.8_1,PRT.8.1_1,2.0,0
PRT.14.8_1,PRT.16.1_1,10.0,0
PRT.14.8_1,PRT.8.5_1,4.0,0
PRT.14.8_1,PRT.16.13_1,1.0,0
PRT.14.8_1,PRT.16.8_1,1.0,0
PRT.14.8_1,PRT.16.9_1,1.0,0
PRT.14.8_1,PRT.8.11_1,2.0,0
PRT.14.8_1,PRT.16.3_1,1.0,0
PRT.14.8_1,PRT.16.12_1,1.0,0
PRT.14.8_1,PRT.16.10_1,2.0,0
PRT.14.8_1,PRT.6.9_1,1.0,0
PRT.14.8_1,PRT.11.7_1,1.0,0
PRT.14.8_1,PRT.12.16_1,1.0,0
PRT.14.8_1,PRT.17.6_1,1.0,0
PRT.14.8_1,PRT.11.9_1,2.0,0
PRT.14.8_1,PRT.11.15_1,1.0,0
PRT.14.8_1,PRT.12.7_1,1.0,0
PRT.14.9_1,PRT.16.13_1,1129.0,0
PRT.14.9_1,PRT.14.12_1,236.0,0
PRT.14.9_1,PRT.16.1_1,225.0,0
PRT.14.9_1,PRT.16.18_1,10.0,0
PRT.14.9_1,PRT.14.6_1,6.0,0
PRT.14.9_1,PRT.14.1_1,8.0,0
PRT.14.9_1,PRT.14.13_1,19.0,0
PRT.14.9_1,PRT.6.11_1,2.0,0
PRT.14.9_1,PRT.6.8_1,1.0,0
PRT.14.9_1,PRT.16.8_1,4.0,0
PRT.14.9_1,PRT.6.10_1,4.0,0
PRT.14.9_1,PRT.14.5_1,3.0,0
PRT.14.9_1,PRT.14.3_1,3.0,0
PRT.14.9_1,PRT.16.21_1,6.0,0
PRT.14.9_1,PRT.16.7_1,9.0,0
PRT.14.9_1,PRT.14.10_1,1.0,0
PRT.14.9_1,PRT.16.19_1,11.0,0
PRT.14.9_1,PRT.6.9_1,3.0,0
PRT.14.9_1,PRT.14.8_1,1.0,0
PRT.14.9_1,PRT.14.14_1,5.0,0
PRT.14.9_1,PRT.16.11_1,1.0,0
PRT.14.9_1,PRT.16.10_1,3.0,0
PRT.14.9_1,PRT.16.12_1,1.0,0
PRT.14.9_1,PRT.16.20_1,2.0,0
PRT.14.9_1,PRT.6.2_1,5.0,0
PRT.14.9_1,PRT.8.7_1,1.0,0
PRT.14.9_1,PRT.16.14_1,3.0,0
PRT.14.9_1,PRT.16.2_1,1.0,0
PRT.14.9_1,PRT.16.17_1,1.0,0
PRT.14.9_1,PRT.7.14_1,1.0,0
PRT.14.9_1,PRT.16.16_1,1.0,0
PRT.14.9_1,PRT.14.7_1,1.0,0
PRT.14.9_1,PRT.6.4_1,2.0,0
PRT.14.9_1,PRT.11.9_1,1.0,0
PRT.14.9_1,PRT.7.4_1,1.0,0
PRT.14.9_1,PRT.12.4_1,1.0,0
PRT.14.9_1,PRT.8.5_1,1.0,0
PRT.14.9_1,PRT.11.6_1,1.0,0
PRT.14.9_1,PRT.12.7_1,1.0,0
PRT.14.9_1,PRT.18.9_1,1.0,0
PRT.14.10_1,PRT.14.5_1,754.0,0
PRT.14.10_1,PRT.14.14_1,581.0,0
PRT.14.10_1,PRT.14.6_1,18.0,0
PRT.14.10_1,PRT.14.12_1,29.0,0
PRT.14.10_1,PRT.14.2_1,8.0,0
PRT.14.10_1,PRT.14.1_1,1.0,0
PRT.14.10_1,PRT.6.11_1,6.0,0
PRT.14.10_1,PRT.14.11_1,3.0,0
PRT.14.10_1,PRT.14.8_1,3.0,0
PRT.14.10_1,PRT.14.9_1,7.0,0
PRT.14.10_1,PRT.14.4_1,12.0,0
PRT.14.10_1,PRT.6.2_1,29.0,0
PRT.14.10_1,PRT.6.8_1,1.0,0
PRT.14.10_1,PRT.14.7_1,5.0,0
PRT.14.10_1,PRT.16.13_1,1.0,0
PRT.14.10_1,PRT.6.5_1,1.0,0
PRT.14.10_1,PRT.14.15_1,1.0,0
PRT.14.10_1,PRT.8.4_1,1.0,0
PRT.14.10_1,PRT.14.13_1,4.0,0
PRT.14.10_1,PRT.16.1_1,4.0,0
PRT.14.10_1,PRT.16.18_1,1.0,0
PRT.14.10_1,PRT.6.9_1,2.0,0
PRT.14.10_1,PRT.6.4_1,2.0,0
PRT.14.10_1,PRT.8.10_1,1.0,0
PRT.14.10_1,PRT.16.21_1,1.0,0
PRT.14.10_1,PRT.16.19_1,1.0,0
PRT.14.10_1,PRT.11.13_1,1.0,0
PRT.14.10_1,PRT.16.10_1,1.0,0
PRT.14.10_1,PRT.6.3_1,1.0,0
PRT.14.10_1,PRT.16.20_1,1.0,0
PRT.14.10_1,PRT.6.1_1,1.0,0
PRT.14.10_1,PRT.16.17_1,1.0,0
PRT.14.10_1,PRT.11.9_1,1.0,0
PRT.14.10_1,PRT.12.7_1,2.0,0
PRT.14.11_1,PRT.14.8_1,778.0,0
PRT.14.11_1,PRT.14.2_1,256.0,0
PRT.14.11_1,PRT.14.7_1,361.0,0
PRT.14.11_1,PRT.14.14_1,45.0,0
PRT.14.11_1,PRT.8.3_1,16.0,0
PRT.14.11_1,PRT.8.4_1,23.0,0
PRT.14.11_1,PRT.14.15_1,5.0,0
PRT.14.11_1,PRT.14.1_1,4.0,0
PRT.14.11_1,PRT.8.14_1,8.0,0
PRT.14.11_1,PRT.14.6_1,3.0,0
PRT.14.11_1,PRT.14.3_1,1.0,0
PRT.14.11_1,PRT.14.5_1,1.0,0
PRT.14.11_1,PRT.8.1_1,3.0,0
