origin,destination,flow,time
QAT.1_1,QAT.7_1,6730.0,0
QAT.1_1,QAT.2_1,2678.0,0
QAT.1_1,QAT.5_1,30730.0,0
QAT.1_1,QAT.4_1,6701.0,0
QAT.1_1,QAT.3_1,5579.0,0
QAT.1_1,QAT.6_1,191.0,0
QAT.2_1,QAT.7_1,1320.0,0
QAT.2_1,QAT.1_1,485.0,0
QAT.2_1,QAT.3_1,16.0,0
QAT.2_1,QAT.5_1,13.0,0
QAT.2_1,QAT.4_1,5.0,0
QAT.3_1,QAT.6_1,607.0,0
QAT.3_1,QAT.2_1,1827.0,0
QAT.3_1,QAT.7_1,2768.0,0
QAT.3_1,QAT.1_1,8557.0,0
QAT.3_1,QAT.5_1,1128.0,0
QAT.3_1,QAT.4_1,269.0,0
QAT.4_1,QAT.5_1,10982.0,0
QAT.4_1,QAT.1_1,2319.0,0
QAT.4_1,QAT.7_1,76.0,0
QAT.4_1,QAT.2_1,32.0,0
QAT.4_1,QAT.3_1,238.0,0
QAT.4_1,QAT.6_1,7.0,0
QAT.5_1,QAT.7_1,5120.0,0
QAT.5_1,QAT.1_1,24808.0,0
QAT.5_1,QAT.4_1,2379.0,0
QAT.5_1,QAT.2_1,265.0,0
QAT.5_1,QAT.3_1,1907.0,0
QAT.5_1,QAT.6_1,53.0,0
QAT.6_1,QAT.3_1,550.0,0
QAT.6_1,QAT.2_1,3.0,0
QAT.6_1,QAT.7_1,5.0,0
QAT.6_1,QAT.1_1,10.0,0
QAT.6_1,QAT.5_1,4.0,0
QAT.7_1,QAT.2_1,1268.0,0
QAT.7_1,QAT.1_1,2673.0,0
QAT.7_1,QAT.3_1,68.0,0
QAT.7_1,QAT.5_1,69.0,0
QAT.7_1,QAT.6_1,2.0,0
QAT.7_1,QAT.4_1,18.0,0
QAT.1_1,QAT.1_1,999588.3429548524,0
QAT.2_1,QAT.2_1,34950.88241772653,0
QAT.3_1,QAT.3_1,287975.49712853384,0
QAT.4_1,QAT.4_1,259436.07245483896,0
QAT.5_1,QAT.5_1,656112.900416672,0
QAT.6_1,QAT.6_1,10886.876967382424,0
QAT.7_1,QAT.7_1,77868.75808105464,0
