origin,destination,flow,time
RUS.1_1,RUS.34_1,8982.0,0
RUS.1_1,RUS.25_1,104.0,0
RUS.1_1,RUS.65_1,197.0,0
RUS.1_1,RUS.20_1,44.0,0
RUS.1_1,RUS.58_1,145.0,0
RUS.1_1,RUS.48_1,6.0,0
RUS.1_1,RUS.17_1,8.0,0
RUS.1_1,RUS.22_1,2.0,0
RUS.1_1,RUS.10_1,31.0,0
RUS.1_1,RUS.15_1,48.0,0
RUS.1_1,RUS.5_1,9.0,0
RUS.1_1,RUS.77_1,19.0,0
RUS.1_1,RUS.7_1,11.0,0
RUS.1_1,RUS.79_1,15.0,0
RUS.1_1,RUS.37_1,6.0,0
RUS.1_1,RUS.39_1,9.0,0
RUS.1_1,RUS.67_1,5.0,0
RUS.1_1,RUS.63_1,13.0,0
RUS.1_1,RUS.52_1,2.0,0
RUS.1_1,RUS.54_1,5.0,0
RUS.1_1,RUS.8_1,5.0,0
RUS.1_1,RUS.70_1,4.0,0
RUS.1_1,RUS.59_1,6.0,0
RUS.1_1,RUS.42_1,4.0,0
RUS.1_1,RUS.23_1,3.0,0
RUS.1_1,RUS.75_1,3.0,0
RUS.1_1,RUS.62_1,4.0,0
RUS.1_1,RUS.44_1,24.0,0
RUS.1_1,RUS.43_1,16.0,0
RUS.1_1,RUS.64_1,1.0,0
RUS.1_1,RUS.76_1,1.0,0
RUS.1_1,RUS.13_1,1.0,0
RUS.1_1,RUS.47_1,4.0,0
RUS.1_1,RUS.68_1,2.0,0
RUS.1_1,RUS.72_1,1.0,0
RUS.1_1,RUS.81_1,1.0,0
RUS.1_1,RUS.6_1,2.0,0
RUS.1_1,RUS.31_1,1.0,0
RUS.1_1,RUS.78_1,1.0,0
RUS.1_1,RUS.21_1,2.0,0
RUS.1_1,RUS.38_1,1.0,0
RUS.1_1,RUS.14_1,3.0,0
RUS.1_1,RUS.11_1,3.0,0
RUS.1_1,RUS.55_1,2.0,0
RUS.1_1,RUS.73_1,2.0,0
RUS.1_1,RUS.4_1,1.0,0
RUS.1_1,RUS.50_1,2.0,0
RUS.1_1,RUS.2_1,1.0,0
RUS.1_1,RUS.27_1,2.0,0
RUS.1_1,RUS.35_1,2.0,0
RUS.1_1,RUS.18_1,2.0,0
RUS.1_1,RUS.3_1,1.0,0
RUS.1_1,RUS.28_1,1.0,0
RUS.1_1,RUS.56_1,1.0,0
RUS.2_1,RUS.50_1,24870.0,0
RUS.2_1,RUS.16_1,875.0,0
RUS.2_1,RUS.27_1,6680.0,0
RUS.2_1,RUS.29_1,659.0,0
RUS.2_1,RUS.69_1,1398.0,0
RUS.2_1,RUS.51_1,1855.0,0
RUS.2_1,RUS.71_1,249.0,0
RUS.2_1,RUS.73_1,987.0,0
RUS.2_1,RUS.36_1,466.0,0
RUS.2_1,RUS.30_1,830.0,0
RUS.2_1,RUS.66_1,1362.0,0
RUS.2_1,RUS.11_1,786.0,0
RUS.2_1,RUS.18_1,424.0,0
RUS.2_1,RUS.80_1,91.0,0
RUS.2_1,RUS.6_1,555.0,0
RUS.2_1,RUS.55_1,266.0,0
RUS.2_1,RUS.9_1,81.0,0
RUS.2_1,RUS.35_1,253.0,0
RUS.2_1,RUS.53_1,129.0,0
RUS.2_1,RUS.74_1,113.0,0
RUS.2_1,RUS.32_1,54.0,0
RUS.2_1,RUS.68_1,224.0,0
RUS.2_1,RUS.62_1,161.0,0
RUS.2_1,RUS.31_1,52.0,0
RUS.2_1,RUS.83_1,53.0,0
RUS.2_1,RUS.46_1,1.0,0
RUS.2_1,RUS.41_1,30.0,0
RUS.2_1,RUS.75_1,41.0,0
RUS.2_1,RUS.13_1,46.0,0
RUS.2_1,RUS.12_1,3.0,0
RUS.2_1,RUS.63_1,89.0,0
RUS.2_1,RUS.47_1,81.0,0
RUS.2_1,RUS.4_1,23.0,0
RUS.2_1,RUS.33_1,22.0,0
RUS.2_1,RUS.42_1,24.0,0
RUS.2_1,RUS.54_1,34.0,0
RUS.2_1,RUS.5_1,22.0,0
RUS.2_1,RUS.19_1,20.0,0
RUS.2_1,RUS.78_1,20.0,0
RUS.2_1,RUS.77_1,66.0,0
RUS.2_1,RUS.76_1,19.0,0
RUS.2_1,RUS.67_1,22.0,0
RUS.2_1,RUS.22_1,8.0,0
RUS.2_1,RUS.59_1,26.0,0
RUS.2_1,RUS.81_1,29.0,0
RUS.2_1,RUS.15_1,67.0,0
RUS.2_1,RUS.79_1,45.0,0
RUS.2_1,RUS.39_1,25.0,0
RUS.2_1,RUS.10_1,19.0,0
RUS.2_1,RUS.44_1,106.0,0
RUS.2_1,RUS.43_1,127.0,0
RUS.2_1,RUS.58_1,44.0,0
RUS.2_1,RUS.70_1,11.0,0
RUS.2_1,RUS.17_1,4.0,0
RUS.2_1,RUS.65_1,27.0,0
RUS.2_1,RUS.3_1,6.0,0
RUS.2_1,RUS.60_1,9.0,0
RUS.2_1,RUS.48_1,8.0,0
RUS.2_1,RUS.45_1,4.0,0
RUS.2_1,RUS.20_1,5.0,0
RUS.2_1,RUS.72_1,11.0,0
RUS.2_1,RUS.52_1,3.0,0
RUS.2_1,RUS.26_1,3.0,0
RUS.2_1,RUS.7_1,10.0,0
RUS.2_1,RUS.23_1,4.0,0
RUS.2_1,RUS.37_1,7.0,0
RUS.2_1,RUS.25_1,6.0,0
RUS.2_1,RUS.49_1,1.0,0
RUS.2_1,RUS.38_1,18.0,0
RUS.2_1,RUS.64_1,5.0,0
RUS.2_1,RUS.34_1,35.0,0
RUS.2_1,RUS.1_1,4.0,0
RUS.2_1,RUS.14_1,26.0,0
RUS.2_1,RUS.8_1,5.0,0
RUS.2_1,RUS.57_1,2.0,0
RUS.2_1,RUS.82_1,1.0,0
RUS.2_1,RUS.28_1,14.0,0
RUS.2_1,RUS.56_1,7.0,0
RUS.2_1,RUS.21_1,6.0,0
RUS.2_1,RUS.40_1,1.0,0
RUS.2_1,RUS.24_1,1.0,0
RUS.3_1,RUS.82_1,2592.0,0
RUS.3_1,RUS.28_1,7407.0,0
RUS.3_1,RUS.83_1,1716.0,0
RUS.3_1,RUS.56_1,1298.0,0
RUS.3_1,RUS.61_1,199.0,0
RUS.3_1,RUS.9_1,337.0,0
RUS.3_1,RUS.18_1,428.0,0
RUS.3_1,RUS.60_1,140.0,0
RUS.3_1,RUS.12_1,3.0,0
RUS.3_1,RUS.40_1,19.0,0
RUS.3_1,RUS.71_1,47.0,0
RUS.3_1,RUS.24_1,26.0,0
RUS.3_1,RUS.35_1,243.0,0
RUS.3_1,RUS.29_1,18.0,0
RUS.3_1,RUS.27_1,143.0,0
RUS.3_1,RUS.16_1,13.0,0
RUS.3_1,RUS.69_1,39.0,0
RUS.3_1,RUS.2_1,72.0,0
RUS.3_1,RUS.50_1,65.0,0
RUS.3_1,RUS.80_1,11.0,0
RUS.3_1,RUS.51_1,36.0,0
RUS.3_1,RUS.30_1,33.0,0
RUS.3_1,RUS.73_1,17.0,0
RUS.3_1,RUS.36_1,13.0,0
RUS.3_1,RUS.66_1,48.0,0
RUS.3_1,RUS.32_1,5.0,0
RUS.3_1,RUS.11_1,31.0,0
RUS.3_1,RUS.55_1,20.0,0
RUS.3_1,RUS.4_1,8.0,0
RUS.3_1,RUS.6_1,26.0,0
RUS.3_1,RUS.74_1,11.0,0
RUS.3_1,RUS.31_1,7.0,0
RUS.3_1,RUS.53_1,13.0,0
RUS.3_1,RUS.68_1,18.0,0
RUS.3_1,RUS.45_1,3.0,0
RUS.3_1,RUS.41_1,1.0,0
RUS.3_1,RUS.62_1,7.0,0
RUS.3_1,RUS.33_1,1.0,0
RUS.3_1,RUS.13_1,5.0,0
RUS.3_1,RUS.75_1,7.0,0
RUS.3_1,RUS.78_1,7.0,0
RUS.3_1,RUS.47_1,11.0,0
RUS.3_1,RUS.26_1,2.0,0
RUS.3_1,RUS.19_1,2.0,0
RUS.3_1,RUS.42_1,4.0,0
RUS.3_1,RUS.81_1,2.0,0
