origin,destination,flow,time
SAU.1_1,SAU.2_1,191162.0,0
SAU.1_1,SAU.10_1,364587.0,0
SAU.1_1,SAU.12_1,63422.0,0
SAU.1_1,SAU.11_1,292781.0,0
SAU.1_1,SAU.7_1,64252.0,0
SAU.1_1,SAU.5_1,8579.0,0
SAU.1_1,SAU.6_1,4773.0,0
SAU.1_1,SAU.8_1,14788.0,0
SAU.1_1,SAU.9_1,1617.0,0
SAU.1_1,SAU.13_1,1154.0,0
SAU.1_1,SAU.3_1,1115.0,0
SAU.1_1,SAU.4_1,1553.0,0
SAU.2_1,SAU.11_1,210749.0,0
SAU.2_1,SAU.1_1,1889.0,0
SAU.2_1,SAU.10_1,1089.0,0
SAU.2_1,SAU.12_1,352.0,0
SAU.2_1,SAU.7_1,2923.0,0
SAU.2_1,SAU.5_1,378.0,0
SAU.2_1,SAU.6_1,194.0,0
SAU.2_1,SAU.9_1,107.0,0
SAU.2_1,SAU.13_1,97.0,0
SAU.2_1,SAU.8_1,586.0,0
SAU.2_1,SAU.3_1,57.0,0
SAU.2_1,SAU.4_1,69.0,0
SAU.3_1,SAU.9_1,163279.0,0
SAU.3_1,SAU.4_1,44981.0,0
SAU.3_1,SAU.6_1,28105.0,0
SAU.3_1,SAU.13_1,5670.0,0
SAU.3_1,SAU.5_1,12345.0,0
SAU.3_1,SAU.7_1,13864.0,0
SAU.3_1,SAU.11_1,3537.0,0
SAU.3_1,SAU.2_1,110.0,0
SAU.3_1,SAU.8_1,1222.0,0
SAU.3_1,SAU.1_1,321.0,0
SAU.3_1,SAU.12_1,90.0,0
SAU.3_1,SAU.10_1,209.0,0
SAU.4_1,SAU.13_1,177812.0,0
SAU.4_1,SAU.3_1,71548.0,0
SAU.4_1,SAU.9_1,52598.0,0
SAU.4_1,SAU.5_1,59329.0,0
SAU.4_1,SAU.6_1,16921.0,0
SAU.4_1,SAU.11_1,33291.0,0
SAU.4_1,SAU.7_1,9244.0,0
SAU.4_1,SAU.2_1,249.0,0
SAU.4_1,SAU.1_1,1115.0,0
SAU.4_1,SAU.8_1,2479.0,0
SAU.4_1,SAU.10_1,581.0,0
SAU.4_1,SAU.12_1,176.0,0
SAU.5_1,SAU.9_1,305553.0,0
SAU.5_1,SAU.13_1,141573.0,0
SAU.5_1,SAU.6_1,210017.0,0
SAU.5_1,SAU.11_1,324086.0,0
SAU.5_1,SAU.4_1,10886.0,0
SAU.5_1,SAU.2_1,5103.0,0
SAU.5_1,SAU.3_1,5990.0,0
SAU.5_1,SAU.7_1,60906.0,0
SAU.5_1,SAU.1_1,7781.0,0
SAU.5_1,SAU.10_1,5911.0,0
SAU.5_1,SAU.12_1,1730.0,0
SAU.5_1,SAU.8_1,14479.0,0
SAU.6_1,SAU.9_1,263019.0,0
SAU.6_1,SAU.5_1,245284.0,0
SAU.6_1,SAU.7_1,169108.0,0
SAU.6_1,SAU.3_1,3186.0,0
SAU.6_1,SAU.11_1,30015.0,0
SAU.6_1,SAU.4_1,1760.0,0
SAU.6_1,SAU.13_1,1118.0,0
SAU.6_1,SAU.2_1,819.0,0
SAU.6_1,SAU.1_1,3374.0,0
SAU.6_1,SAU.8_1,7177.0,0
SAU.6_1,SAU.12_1,591.0,0
SAU.6_1,SAU.10_1,1630.0,0
SAU.7_1,SAU.6_1,850758.0,0
SAU.7_1,SAU.8_1,1848967.0,0
SAU.7_1,SAU.11_1,1205821.0,0
SAU.7_1,SAU.1_1,168701.0,0
SAU.7_1,SAU.12_1,44026.0,0
SAU.7_1,SAU.2_1,31937.0,0
