origin,destination,flow,time
SDN.1_1,SDN.7_1,59221.0,0
SDN.1_1,SDN.18_1,6701.0,0
SDN.1_1,SDN.13_1,3136.0,0
SDN.1_1,SDN.2_1,2396.0,0
SDN.1_1,SDN.6_1,2492.0,0
SDN.1_1,SDN.3_1,1074.0,0
SDN.1_1,SDN.9_1,2173.0,0
SDN.1_1,SDN.12_1,987.0,0
SDN.1_1,SDN.15_1,501.0,0
SDN.1_1,SDN.17_1,876.0,0
SDN.1_1,SDN.11_1,1024.0,0
SDN.1_1,SDN.10_1,387.0,0
SDN.1_1,SDN.5_1,836.0,0
SDN.1_1,SDN.8_1,1007.0,0
SDN.1_1,SDN.14_1,1100.0,0
SDN.1_1,SDN.4_1,190.0,0
SDN.1_1,SDN.16_1,185.0,0
SDN.2_1,SDN.13_1,19350.0,0
SDN.2_1,SDN.1_1,10073.0,0
SDN.2_1,SDN.6_1,1982.0,0
SDN.2_1,SDN.7_1,2843.0,0
SDN.2_1,SDN.18_1,549.0,0
SDN.2_1,SDN.3_1,163.0,0
SDN.2_1,SDN.12_1,248.0,0
SDN.2_1,SDN.15_1,113.0,0
SDN.2_1,SDN.9_1,345.0,0
SDN.2_1,SDN.11_1,222.0,0
SDN.2_1,SDN.17_1,133.0,0
SDN.2_1,SDN.10_1,80.0,0
SDN.2_1,SDN.5_1,134.0,0
SDN.2_1,SDN.8_1,160.0,0
SDN.2_1,SDN.14_1,201.0,0
SDN.2_1,SDN.4_1,29.0,0
SDN.2_1,SDN.16_1,28.0,0
SDN.3_1,SDN.13_1,15016.0,0
SDN.3_1,SDN.18_1,4557.0,0
SDN.3_1,SDN.2_1,1189.0,0
SDN.3_1,SDN.15_1,418.0,0
SDN.3_1,SDN.1_1,1093.0,0
SDN.3_1,SDN.7_1,804.0,0
SDN.3_1,SDN.6_1,148.0,0
SDN.3_1,SDN.9_1,128.0,0
SDN.3_1,SDN.17_1,63.0,0
SDN.3_1,SDN.12_1,57.0,0
SDN.3_1,SDN.5_1,70.0,0
SDN.3_1,SDN.11_1,61.0,0
SDN.3_1,SDN.10_1,25.0,0
SDN.3_1,SDN.14_1,78.0,0
SDN.3_1,SDN.8_1,59.0,0
SDN.3_1,SDN.4_1,17.0,0
SDN.3_1,SDN.16_1,12.0,0
SDN.4_1,SDN.16_1,9113.0,0
SDN.4_1,SDN.14_1,6401.0,0
SDN.4_1,SDN.5_1,728.0,0
SDN.4_1,SDN.8_1,502.0,0
SDN.4_1,SDN.17_1,169.0,0
SDN.4_1,SDN.9_1,203.0,0
SDN.4_1,SDN.15_1,55.0,0
SDN.4_1,SDN.18_1,124.0,0
SDN.4_1,SDN.10_1,31.0,0
SDN.4_1,SDN.7_1,198.0,0
SDN.4_1,SDN.1_1,67.0,0
SDN.4_1,SDN.13_1,27.0,0
SDN.4_1,SDN.3_1,8.0,0
SDN.4_1,SDN.12_1,18.0,0
SDN.4_1,SDN.2_1,21.0,0
SDN.4_1,SDN.6_1,18.0,0
SDN.4_1,SDN.11_1,21.0,0
SDN.5_1,SDN.14_1,33711.0,0
SDN.5_1,SDN.17_1,3828.0,0
SDN.5_1,SDN.4_1,1353.0,0
SDN.5_1,SDN.15_1,1167.0,0
SDN.5_1,SDN.16_1,930.0,0
SDN.5_1,SDN.9_1,2386.0,0
SDN.5_1,SDN.8_1,1668.0,0
SDN.5_1,SDN.18_1,946.0,0
SDN.5_1,SDN.3_1,328.0,0
SDN.5_1,SDN.1_1,856.0,0
SDN.5_1,SDN.13_1,322.0,0
SDN.5_1,SDN.7_1,919.0,0
SDN.5_1,SDN.10_1,99.0,0
SDN.5_1,SDN.2_1,145.0,0
SDN.5_1,SDN.12_1,132.0,0
SDN.5_1,SDN.6_1,190.0,0
SDN.5_1,SDN.11_1,161.0,0
SDN.6_1,SDN.2_1,21830.0,0
SDN.6_1,SDN.1_1,14366.0,0
SDN.6_1,SDN.7_1,6575.0,0
SDN.6_1,SDN.12_1,726.0,0
SDN.6_1,SDN.13_1,687.0,0
SDN.6_1,SDN.11_1,725.0,0
SDN.6_1,SDN.18_1,632.0,0
SDN.6_1,SDN.3_1,210.0,0
SDN.6_1,SDN.9_1,483.0,0
SDN.6_1,SDN.15_1,144.0,0
SDN.6_1,SDN.10_1,117.0,0
SDN.6_1,SDN.17_1,230.0,0
SDN.6_1,SDN.8_1,361.0,0
SDN.6_1,SDN.5_1,197.0,0
SDN.6_1,SDN.14_1,289.0,0
SDN.6_1,SDN.4_1,50.0,0
SDN.6_1,SDN.16_1,56.0,0
SDN.7_1,SDN.1_1,64287.0,0
SDN.7_1,SDN.18_1,22181.0,0
SDN.7_1,SDN.12_1,9523.0,0
SDN.7_1,SDN.6_1,10546.0,0
SDN.7_1,SDN.2_1,6468.0,0
SDN.7_1,SDN.9_1,8642.0,0
SDN.7_1,SDN.13_1,4215.0,0
SDN.7_1,SDN.3_1,2249.0,0
SDN.7_1,SDN.11_1,4495.0,0
SDN.7_1,SDN.15_1,1457.0,0
SDN.7_1,SDN.10_1,1480.0,0
SDN.7_1,SDN.17_1,2310.0,0
SDN.7_1,SDN.8_1,3775.0,0
SDN.7_1,SDN.5_1,2269.0,0
SDN.7_1,SDN.14_1,3587.0,0
SDN.7_1,SDN.4_1,601.0,0
SDN.7_1,SDN.16_1,592.0,0
SDN.8_1,SDN.16_1,15498.0,0
