origin,destination,flow,time
SEN.1.4_1,SEN.1.3_1,87397.0,0
SEN.1.4_1,SEN.1.2_1,5808.0,0
SEN.1.4_1,SEN.1.1_1,10132.0,0
SEN.1.4_1,SEN.13.2_1,3379.0,0
SEN.1.4_1,SEN.13.1_1,2350.0,0
SEN.1.4_1,SEN.13.3_1,1181.0,0
SEN.1.4_1,SEN.2.1_1,709.0,0
SEN.1.4_1,SEN.3.1_1,691.0,0
SEN.1.4_1,SEN.2.2_1,512.0,0
SEN.1.4_1,SEN.8.1_1,446.0,0
SEN.1.4_1,SEN.3.2_1,458.0,0
SEN.1.4_1,SEN.5.2_1,642.0,0
SEN.1.4_1,SEN.2.3_1,1020.0,0
SEN.1.4_1,SEN.3.3_1,102.0,0
SEN.1.4_1,SEN.5.1_1,111.0,0
SEN.1.4_1,SEN.10.3_1,237.0,0
SEN.1.4_1,SEN.8.3_1,280.0,0
SEN.1.4_1,SEN.4.1_1,89.0,0
SEN.1.4_1,SEN.5.3_1,253.0,0
SEN.1.4_1,SEN.4.2_1,157.0,0
SEN.1.4_1,SEN.4.4_1,65.0,0
SEN.1.4_1,SEN.10.1_1,156.0,0
SEN.1.4_1,SEN.8.2_1,168.0,0
SEN.1.4_1,SEN.14.1_1,143.0,0
SEN.1.4_1,SEN.11.1_1,90.0,0
SEN.1.4_1,SEN.4.3_1,84.0,0
SEN.1.4_1,SEN.14.2_1,25.0,0
SEN.1.4_1,SEN.14.3_1,116.0,0
SEN.1.4_1,SEN.11.3_1,78.0,0
SEN.1.4_1,SEN.11.2_1,63.0,0
SEN.1.4_1,SEN.7.2_1,53.0,0
SEN.1.4_1,SEN.12.3_1,55.0,0
SEN.1.4_1,SEN.10.2_1,161.0,0
SEN.1.4_1,SEN.9.3_1,22.0,0
SEN.1.4_1,SEN.7.1_1,71.0,0
SEN.1.4_1,SEN.9.2_1,101.0,0
SEN.1.4_1,SEN.7.3_1,102.0,0
SEN.1.4_1,SEN.12.4_1,101.0,0
SEN.1.4_1,SEN.9.1_1,94.0,0
SEN.1.4_1,SEN.12.2_1,50.0,0
SEN.1.4_1,SEN.6.2_1,3.0,0
SEN.1.4_1,SEN.12.1_1,41.0,0
SEN.1.4_1,SEN.6.1_1,21.0,0
SEN.1.4_1,SEN.6.3_1,15.0,0
SEN.2.1_1,SEN.2.2_1,38754.0,0
SEN.2.1_1,SEN.13.3_1,18141.0,0
SEN.2.1_1,SEN.13.2_1,9636.0,0
SEN.2.1_1,SEN.3.1_1,2532.0,0
SEN.2.1_1,SEN.13.1_1,2991.0,0
SEN.2.1_1,SEN.8.1_1,813.0,0
SEN.2.1_1,SEN.2.3_1,1990.0,0
SEN.2.1_1,SEN.3.3_1,190.0,0
SEN.2.1_1,SEN.1.4_1,667.0,0
SEN.2.1_1,SEN.5.1_1,141.0,0
SEN.2.1_1,SEN.1.3_1,1158.0,0
SEN.2.1_1,SEN.5.2_1,338.0,0
SEN.2.1_1,SEN.1.2_1,211.0,0
SEN.2.1_1,SEN.3.2_1,163.0,0
SEN.2.1_1,SEN.1.1_1,514.0,0
SEN.2.1_1,SEN.8.3_1,138.0,0
SEN.2.1_1,SEN.4.1_1,48.0,0
