origin,destination,flow,time
SLB.1_1,SLB.4_1,3970.0,0
SLB.1_1,SLB.3_1,881.0,0
SLB.1_1,SLB.7_1,200.0,0
SLB.1_1,SLB.5_1,32.0,0
SLB.1_1,SLB.6_1,43.0,0
SLB.1_1,SLB.8_1,3.0,0
SLB.1_1,SLB.10_1,39.0,0
SLB.1_1,SLB.2_1,18.0,0
SLB.1_1,SLB.9_1,4.0,0
SLB.2_1,SLB.10_1,4924.0,0
SLB.2_1,SLB.5_1,445.0,0
SLB.2_1,SLB.1_1,218.0,0
SLB.2_1,SLB.4_1,376.0,0
SLB.2_1,SLB.3_1,353.0,0
SLB.2_1,SLB.7_1,154.0,0
SLB.2_1,SLB.8_1,1.0,0
SLB.2_1,SLB.6_1,36.0,0
SLB.2_1,SLB.9_1,12.0,0
SLB.3_1,SLB.4_1,12720.0,0
SLB.3_1,SLB.1_1,2771.0,0
SLB.3_1,SLB.7_1,7924.0,0
SLB.3_1,SLB.6_1,1586.0,0
SLB.3_1,SLB.5_1,880.0,0
SLB.3_1,SLB.8_1,111.0,0
SLB.3_1,SLB.10_1,1753.0,0
SLB.3_1,SLB.2_1,569.0,0
SLB.3_1,SLB.9_1,315.0,0
SLB.4_1,SLB.3_1,10928.0,0
SLB.4_1,SLB.1_1,666.0,0
SLB.4_1,SLB.7_1,1771.0,0
SLB.4_1,SLB.5_1,239.0,0
SLB.4_1,SLB.6_1,337.0,0
SLB.4_1,SLB.8_1,21.0,0
SLB.4_1,SLB.10_1,385.0,0
SLB.4_1,SLB.2_1,150.0,0
SLB.4_1,SLB.9_1,56.0,0
SLB.5_1,SLB.1_1,3040.0,0
SLB.5_1,SLB.4_1,1976.0,0
SLB.5_1,SLB.10_1,557.0,0
SLB.5_1,SLB.3_1,386.0,0
SLB.5_1,SLB.7_1,165.0,0
SLB.5_1,SLB.2_1,30.0,0
SLB.5_1,SLB.6_1,38.0,0
SLB.5_1,SLB.8_1,2.0,0
SLB.5_1,SLB.9_1,17.0,0
SLB.6_1,SLB.7_1,7531.0,0
SLB.6_1,SLB.3_1,1198.0,0
SLB.6_1,SLB.8_1,15.0,0
SLB.6_1,SLB.4_1,295.0,0
SLB.6_1,SLB.1_1,90.0,0
SLB.6_1,SLB.5_1,83.0,0
SLB.6_1,SLB.9_1,46.0,0
SLB.6_1,SLB.10_1,182.0,0
SLB.6_1,SLB.2_1,52.0,0
SLB.7_1,SLB.3_1,17868.0,0
SLB.7_1,SLB.4_1,3511.0,0
SLB.7_1,SLB.1_1,964.0,0
SLB.7_1,SLB.6_1,1373.0,0
SLB.7_1,SLB.5_1,801.0,0
SLB.7_1,SLB.8_1,67.0,0
SLB.7_1,SLB.10_1,1560.0,0
SLB.7_1,SLB.2_1,491.0,0
SLB.7_1,SLB.9_1,332.0,0
SLB.8_1,SLB.6_1,645.0,0
SLB.8_1,SLB.3_1,45.0,0
SLB.8_1,SLB.4_1,4.0,0
SLB.8_1,SLB.7_1,5.0,0
SLB.8_1,SLB.5_1,1.0,0
SLB.9_1,SLB.6_1,2853.0,0
SLB.9_1,SLB.7_1,796.0,0
SLB.9_1,SLB.8_1,10.0,0
SLB.9_1,SLB.3_1,169.0,0
SLB.9_1,SLB.4_1,49.0,0
SLB.9_1,SLB.1_1,11.0,0
SLB.9_1,SLB.5_1,11.0,0
SLB.9_1,SLB.10_1,20.0,0
SLB.9_1,SLB.2_1,6.0,0
SLB.10_1,SLB.2_1,5419.0,0
SLB.10_1,SLB.5_1,2871.0,0
SLB.10_1,SLB.1_1,1654.0,0
SLB.10_1,SLB.4_1,2635.0,0
SLB.10_1,SLB.3_1,2305.0,0
SLB.10_1,SLB.7_1,988.0,0
SLB.10_1,SLB.8_1,21.0,0
SLB.10_1,SLB.6_1,231.0,0
SLB.10_1,SLB.9_1,93.0,0
SLB.1_1,SLB.1_1,20763.4805484772,0
SLB.2_1,SLB.2_1,26076.302806329764,0
SLB.3_1,SLB.3_1,114519.36559674722,0
SLB.4_1,SLB.4_1,58215.751782226565,0
SLB.5_1,SLB.5_1,24847.11150378584,0
SLB.6_1,SLB.6_1,37970.61695656025,0
SLB.7_1,SLB.7_1,107871.52285370801,0
SLB.8_1,SLB.8_1,2803.6658112861205,0
SLB.9_1,SLB.9_1,15700.06329231264,0
SLB.10_1,SLB.10_1,64869.0577676952,0
