origin,destination,flow,time
SLV.4.6_1,SLV.4.7_1,844.0,0
SLV.4.6_1,SLV.4.9_1,266.0,0
SLV.4.6_1,SLV.4.10_1,303.0,0
SLV.4.6_1,SLV.10.20_1,106.0,0
SLV.4.6_1,SLV.4.16_1,1.0,0
SLV.4.6_1,SLV.10.15_1,3.0,0
SLV.4.6_1,SLV.4.14_1,4.0,0
SLV.4.6_1,SLV.10.5_1,7.0,0
SLV.4.6_1,SLV.4.15_1,1.0,0
SLV.4.6_1,SLV.10.7_1,2.0,0
SLV.4.6_1,SLV.10.2_1,6.0,0
SLV.4.6_1,SLV.10.8_1,1.0,0
SLV.4.6_1,SLV.10.19_1,3.0,0
SLV.4.6_1,SLV.10.10_1,2.0,0
SLV.4.6_1,SLV.5.13_1,1.0,0
SLV.4.6_1,SLV.2.4_1,1.0,0
SLV.4.6_1,SLV.5.1_1,1.0,0
SLV.4.6_1,SLV.5.10_1,1.0,0
SLV.4.6_1,SLV.2.6_1,1.0,0
SLV.4.6_1,SLV.3.17_1,1.0,0
SLV.4.6_1,SLV.11.8_1,1.0,0
SLV.4.6_1,SLV.12.12_1,1.0,0
SLV.1.2_1,SLV.13.9_1,646.0,0
SLV.1.2_1,SLV.1.4_1,491.0,0
SLV.1.2_1,SLV.13.12_1,243.0,0
SLV.1.2_1,SLV.1.10_1,70.0,0
SLV.1.2_1,SLV.13.6_1,143.0,0
SLV.1.2_1,SLV.13.7_1,67.0,0
SLV.1.2_1,SLV.1.12_1,4.0,0
SLV.1.2_1,SLV.1.3_1,37.0,0
SLV.1.2_1,SLV.1.1_1,41.0,0
SLV.1.2_1,SLV.13.16_1,7.0,0
SLV.1.2_1,SLV.13.10_1,5.0,0
SLV.1.2_1,SLV.1.11_1,1.0,0
SLV.1.2_1,SLV.1.7_1,1.0,0
SLV.1.2_1,SLV.1.9_1,1.0,0
SLV.1.2_1,SLV.13.5_1,3.0,0
SLV.1.2_1,SLV.12.2_1,2.0,0
SLV.1.2_1,SLV.12.11_1,1.0,0
SLV.1.2_1,SLV.13.3_1,1.0,0
SLV.1.2_1,SLV.13.1_1,2.0,0
SLV.1.2_1,SLV.1.8_1,1.0,0
SLV.1.2_1,SLV.13.15_1,1.0,0
SLV.1.2_1,SLV.12.12_1,3.0,0
SLV.1.2_1,SLV.13.4_1,1.0,0
SLV.1.2_1,SLV.13.2_1,3.0,0
SLV.1.2_1,SLV.5.4_1,1.0,0
SLV.1.2_1,SLV.5.5_1,1.0,0
SLV.1.2_1,SLV.5.10_1,1.0,0
SLV.1.2_1,SLV.12.13_1,1.0,0
SLV.1.2_1,SLV.10.10_1,1.0,0
SLV.1.2_1,SLV.10.16_1,1.0,0
SLV.4.7_1,SLV.4.10_1,1648.0,0
SLV.4.7_1,SLV.10.15_1,121.0,0
SLV.4.7_1,SLV.4.6_1,2.0,0
SLV.4.7_1,SLV.10.20_1,62.0,0
SLV.4.7_1,SLV.4.9_1,2.0,0
SLV.4.7_1,SLV.4.16_1,2.0,0
SLV.4.7_1,SLV.4.5_1,2.0,0
SLV.4.7_1,SLV.10.8_1,4.0,0
SLV.4.7_1,SLV.10.5_1,7.0,0
SLV.4.7_1,SLV.10.19_1,4.0,0
SLV.4.7_1,SLV.10.4_1,3.0,0
SLV.4.7_1,SLV.10.2_1,3.0,0
SLV.4.7_1,SLV.4.4_1,1.0,0
SLV.4.7_1,SLV.10.7_1,1.0,0
SLV.4.7_1,SLV.10.10_1,2.0,0
SLV.4.7_1,SLV.10.16_1,2.0,0
SLV.4.7_1,SLV.10.11_1,1.0,0
SLV.4.7_1,SLV.5.6_1,1.0,0
SLV.4.7_1,SLV.3.4_1,1.0,0
SLV.4.7_1,SLV.12.3_1,1.0,0
SLV.4.7_1,SLV.14.16_1,1.0,0
SLV.8.18_1,SLV.8.11_1,159.0,0
SLV.8.18_1,SLV.8.24_1,8.0,0
SLV.8.18_1,SLV.8.16_1,8.0,0
SLV.8.18_1,SLV.8.7_1,2.0,0
SLV.8.18_1,SLV.8.1_1,1.0,0
SLV.8.18_1,SLV.8.20_1,1.0,0
SLV.8.18_1,SLV.8.14_1,3.0,0
SLV.8.18_1,SLV.8.8_1,1.0,0
SLV.8.18_1,SLV.8.13_1,1.0,0
SLV.8.18_1,SLV.8.25_1,1.0,0
SLV.4.11_1,SLV.4.3_1,1467.0,0
SLV.4.11_1,SLV.4.4_1,189.0,0
SLV.4.11_1,SLV.11.10_1,278.0,0
SLV.4.11_1,SLV.4.8_1,282.0,0
SLV.4.11_1,SLV.4.2_1,470.0,0
SLV.4.11_1,SLV.4.5_1,120.0,0
SLV.4.11_1,SLV.11.7_1,73.0,0
SLV.4.11_1,SLV.4.12_1,23.0,0
SLV.4.11_1,SLV.11.6_1,9.0,0
SLV.4.11_1,SLV.4.14_1,46.0,0
SLV.4.11_1,SLV.11.13_1,12.0,0
SLV.4.11_1,SLV.6.3_1,5.0,0
SLV.4.11_1,SLV.11.12_1,6.0,0
SLV.4.11_1,SLV.6.4_1,8.0,0
SLV.4.11_1,SLV.4.1_1,19.0,0
SLV.4.11_1,SLV.11.3_1,11.0,0
