origin,destination,flow,time
SMR.1_1,SMR.8_1,520.0,0
SMR.1_1,SMR.2_1,173.0,0
SMR.1_1,SMR.3_1,12.0,0
SMR.1_1,SMR.6_1,21.0,0
SMR.1_1,SMR.4_1,32.0,0
SMR.1_1,SMR.5_1,12.0,0
SMR.1_1,SMR.9_1,14.0,0
SMR.2_1,SMR.8_1,1292.0,0
SMR.2_1,SMR.4_1,1063.0,0
SMR.2_1,SMR.1_1,244.0,0
SMR.2_1,SMR.5_1,214.0,0
SMR.2_1,SMR.6_1,201.0,0
SMR.2_1,SMR.7_1,57.0,0
SMR.2_1,SMR.9_1,440.0,0
SMR.2_1,SMR.3_1,22.0,0
SMR.3_1,SMR.8_1,355.0,0
SMR.3_1,SMR.6_1,61.0,0
SMR.3_1,SMR.1_1,15.0,0
SMR.3_1,SMR.2_1,34.0,0
SMR.3_1,SMR.7_1,1.0,0
SMR.3_1,SMR.5_1,1.0,0
SMR.3_1,SMR.4_1,8.0,0
SMR.3_1,SMR.9_1,6.0,0
SMR.4_1,SMR.5_1,682.0,0
SMR.4_1,SMR.9_1,1132.0,0
SMR.4_1,SMR.2_1,221.0,0
SMR.4_1,SMR.8_1,53.0,0
SMR.4_1,SMR.7_1,8.0,0
SMR.4_1,SMR.1_1,31.0,0
SMR.4_1,SMR.6_1,39.0,0
SMR.4_1,SMR.3_1,7.0,0
SMR.5_1,SMR.4_1,621.0,0
SMR.5_1,SMR.2_1,139.0,0
SMR.5_1,SMR.7_1,1.0,0
SMR.5_1,SMR.6_1,14.0,0
SMR.5_1,SMR.9_1,33.0,0
SMR.5_1,SMR.8_1,10.0,0
SMR.5_1,SMR.1_1,1.0,0
SMR.5_1,SMR.3_1,2.0,0
SMR.6_1,SMR.7_1,303.0,0
SMR.6_1,SMR.8_1,474.0,0
SMR.6_1,SMR.3_1,87.0,0
SMR.6_1,SMR.2_1,241.0,0
SMR.6_1,SMR.5_1,21.0,0
SMR.6_1,SMR.1_1,15.0,0
SMR.6_1,SMR.4_1,50.0,0
SMR.6_1,SMR.9_1,43.0,0
SMR.7_1,SMR.6_1,285.0,0
SMR.7_1,SMR.5_1,28.0,0
SMR.7_1,SMR.8_1,33.0,0
SMR.7_1,SMR.2_1,15.0,0
SMR.7_1,SMR.4_1,4.0,0
SMR.7_1,SMR.1_1,2.0,0
SMR.7_1,SMR.9_1,6.0,0
SMR.8_1,SMR.3_1,395.0,0
SMR.8_1,SMR.2_1,709.0,0
SMR.8_1,SMR.1_1,49.0,0
SMR.8_1,SMR.6_1,53.0,0
SMR.8_1,SMR.7_1,24.0,0
SMR.8_1,SMR.5_1,19.0,0
SMR.8_1,SMR.4_1,62.0,0
SMR.8_1,SMR.9_1,50.0,0
SMR.9_1,SMR.4_1,2201.0,0
SMR.9_1,SMR.5_1,469.0,0
SMR.9_1,SMR.2_1,1240.0,0
SMR.9_1,SMR.1_1,170.0,0
SMR.9_1,SMR.8_1,258.0,0
SMR.9_1,SMR.7_1,66.0,0
SMR.9_1,SMR.6_1,194.0,0
SMR.9_1,SMR.3_1,61.0,0
SMR.1_1,SMR.1_1,784.536269187925,0
SMR.2_1,SMR.2_1,3533.41156768799,0
SMR.3_1,SMR.3_1,481.30556869506853,0
SMR.4_1,SMR.4_1,2173.8185119628897,0
SMR.5_1,SMR.5_1,821.67872238159,0
SMR.6_1,SMR.6_1,1234.5852355957052,0
SMR.7_1,SMR.7_1,373.98070526123047,0
SMR.8_1,SMR.8_1,1361.906929016115,0
SMR.9_1,SMR.9_1,4659.56295776367,0
