origin,destination,flow,time
SRB.3.2_1,SRB.3.9_1,545.0,0
SRB.3.2_1,SRB.3.10_1,138.0,0
SRB.3.2_1,SRB.3.6_1,265.0,0
SRB.3.2_1,SRB.3.14_1,168.0,0
SRB.3.2_1,SRB.3.15_1,11.0,0
SRB.3.2_1,SRB.3.12_1,22.0,0
SRB.3.2_1,SRB.3.13_1,46.0,0
SRB.3.2_1,SRB.3.17_1,71.0,0
SRB.3.2_1,SRB.3.1_1,14.0,0
SRB.3.2_1,SRB.3.16_1,63.0,0
SRB.3.2_1,SRB.3.7_1,8.0,0
SRB.3.2_1,SRB.3.3_1,19.0,0
SRB.3.2_1,SRB.3.11_1,7.0,0
SRB.3.2_1,SRB.3.8_1,62.0,0
SRB.3.2_1,SRB.20.3_1,1.0,0
SRB.3.2_1,SRB.6.6_1,11.0,0
SRB.3.2_1,SRB.20.7_1,8.0,0
SRB.3.2_1,SRB.3.4_1,3.0,0
SRB.3.2_1,SRB.7.5_1,1.0,0
SRB.3.2_1,SRB.3.5_1,1.0,0
SRB.3.2_1,SRB.7.1_1,1.0,0
SRB.3.2_1,SRB.6.5_1,1.0,0
SRB.3.2_1,SRB.20.4_1,5.0,0
SRB.3.2_1,SRB.13.1_1,7.0,0
SRB.3.2_1,SRB.20.1_1,3.0,0
SRB.3.2_1,SRB.6.3_1,2.0,0
SRB.3.2_1,SRB.6.4_1,2.0,0
SRB.3.2_1,SRB.13.2_1,3.0,0
SRB.3.2_1,SRB.8.2_1,1.0,0
SRB.3.2_1,SRB.7.2_1,2.0,0
SRB.3.2_1,SRB.21.7_1,1.0,0
SRB.3.2_1,SRB.8.7_1,2.0,0
SRB.3.2_1,SRB.5.10_1,1.0,0
SRB.3.2_1,SRB.5.8_1,1.0,0
SRB.3.2_1,SRB.2.5_1,3.0,0
SRB.3.2_1,SRB.7.6_1,2.0,0
SRB.3.2_1,SRB.13.3_1,1.0,0
SRB.3.2_1,SRB.19.5_1,2.0,0
SRB.3.2_1,SRB.20.6_1,3.0,0
SRB.3.2_1,SRB.2.7_1,1.0,0
SRB.3.2_1,SRB.5.6_1,9.0,0
SRB.3.2_1,SRB.19.3_1,1.0,0
SRB.3.2_1,SRB.6.2_1,1.0,0
SRB.3.2_1,SRB.6.8_1,3.0,0
SRB.3.2_1,SRB.21.4_1,2.0,0
SRB.3.2_1,SRB.2.6_1,1.0,0
SRB.3.2_1,SRB.14.6_1,1.0,0
SRB.3.2_1,SRB.9.1_1,1.0,0
SRB.3.2_1,SRB.2.4_1,1.0,0
SRB.3.2_1,SRB.19.4_1,1.0,0
SRB.3.2_1,SRB.20.5_1,1.0,0
SRB.3.2_1,SRB.8.6_1,1.0,0
SRB.3.2_1,SRB.5.2_1,1.0,0
