origin,destination,flow,time
SVK.1.1_1,SVK.1.13_1,4369.0,0
SVK.1.1_1,SVK.1.4_1,1040.0,0
SVK.1.1_1,SVK.8.9_1,456.0,0
SVK.1.1_1,SVK.8.8_1,1117.0,0
SVK.1.1_1,SVK.1.12_1,681.0,0
SVK.1.1_1,SVK.8.6_1,843.0,0
SVK.1.1_1,SVK.1.3_1,372.0,0
SVK.1.1_1,SVK.1.2_1,66.0,0
SVK.1.1_1,SVK.8.5_1,316.0,0
SVK.1.1_1,SVK.6.7_1,392.0,0
SVK.1.1_1,SVK.1.7_1,59.0,0
SVK.1.1_1,SVK.8.3_1,78.0,0
SVK.1.1_1,SVK.1.11_1,40.0,0
SVK.1.1_1,SVK.1.6_1,142.0,0
SVK.1.1_1,SVK.1.5_1,42.0,0
SVK.1.1_1,SVK.8.11_1,185.0,0
SVK.1.1_1,SVK.1.10_1,60.0,0
SVK.1.1_1,SVK.6.5_1,58.0,0
SVK.1.1_1,SVK.8.10_1,35.0,0
SVK.1.1_1,SVK.8.4_1,29.0,0
SVK.1.1_1,SVK.1.9_1,80.0,0
SVK.1.1_1,SVK.1.8_1,32.0,0
SVK.1.1_1,SVK.6.1_1,22.0,0
SVK.1.1_1,SVK.6.6_1,44.0,0
SVK.1.1_1,SVK.4.7_1,15.0,0
SVK.1.1_1,SVK.8.1_1,15.0,0
SVK.1.1_1,SVK.8.7_1,33.0,0
SVK.1.1_1,SVK.6.2_1,27.0,0
SVK.1.1_1,SVK.5.6_1,37.0,0
SVK.1.1_1,SVK.8.2_1,24.0,0
SVK.1.1_1,SVK.4.2_1,40.0,0
SVK.1.1_1,SVK.6.8_1,16.0,0
SVK.1.1_1,SVK.4.6_1,27.0,0
SVK.1.1_1,SVK.6.9_1,30.0,0
SVK.1.1_1,SVK.3.8_1,29.0,0
SVK.1.1_1,SVK.4.3_1,26.0,0
SVK.1.1_1,SVK.3.10_1,27.0,0
SVK.1.1_1,SVK.6.4_1,9.0,0
SVK.1.1_1,SVK.5.3_1,21.0,0
SVK.1.1_1,SVK.4.4_1,15.0,0
SVK.1.1_1,SVK.7.3_1,11.0,0
SVK.1.1_1,SVK.7.4_1,8.0,0
SVK.1.1_1,SVK.5.4_1,4.0,0
SVK.1.1_1,SVK.3.1_1,7.0,0
SVK.1.1_1,SVK.4.5_1,4.0,0
SVK.1.1_1,SVK.6.3_1,5.0,0
SVK.1.1_1,SVK.5.10_1,8.0,0
SVK.1.1_1,SVK.7.7_1,19.0,0
SVK.1.1_1,SVK.7.2_1,13.0,0
SVK.1.1_1,SVK.4.1_1,10.0,0
SVK.1.1_1,SVK.5.8_1,6.0,0
SVK.1.1_1,SVK.3.2_1,15.0,0
SVK.1.1_1,SVK.3.4_1,6.0,0
SVK.1.1_1,SVK.3.3_1,7.0,0
SVK.1.1_1,SVK.7.5_1,2.0,0
SVK.1.1_1,SVK.5.7_1,13.0,0
SVK.1.1_1,SVK.7.6_1,4.0,0
SVK.1.1_1,SVK.7.1_1,13.0,0
SVK.1.1_1,SVK.2.7_1,4.0,0
SVK.1.1_1,SVK.3.6_1,8.0,0
SVK.1.1_1,SVK.3.5_1,3.0,0
SVK.1.1_1,SVK.2.8_1,4.0,0
SVK.1.1_1,SVK.5.1_1,2.0,0
SVK.1.1_1,SVK.2.6_1,2.0,0
SVK.1.1_1,SVK.2.2_1,9.0,0
SVK.1.1_1,SVK.2.3_1,2.0,0
SVK.1.1_1,SVK.2.1_1,3.0,0
SVK.1.1_1,SVK.2.5_1,5.0,0
SVK.1.1_1,SVK.2.4_1,5.0,0
SVK.1.1_1,SVK.5.13_1,3.0,0
SVK.1.1_1,SVK.5.12_1,1.0,0
SVK.1.1_1,SVK.5.11_1,1.0,0
SVK.1.1_1,SVK.3.11_1,5.0,0
SVK.1.1_1,SVK.3.7_1,2.0,0
SVK.1.1_1,SVK.5.2_1,5.0,0
SVK.1.1_1,SVK.5.5_1,1.0,0
SVK.2.2_1,SVK.2.1_1,2307.0,0
SVK.2.2_1,SVK.2.5_1,3786.0,0
SVK.2.2_1,SVK.2.3_1,1306.0,0
SVK.2.2_1,SVK.2.8_1,1138.0,0
SVK.2.2_1,SVK.2.4_1,634.0,0
SVK.2.2_1,SVK.2.7_1,313.0,0
SVK.2.2_1,SVK.7.1_1,535.0,0
SVK.2.2_1,SVK.2.6_1,188.0,0
SVK.2.2_1,SVK.7.2_1,226.0,0
SVK.2.2_1,SVK.7.7_1,253.0,0
SVK.2.2_1,SVK.4.5_1,90.0,0
SVK.2.2_1,SVK.7.3_1,60.0,0
SVK.2.2_1,SVK.7.5_1,52.0,0
SVK.2.2_1,SVK.7.4_1,75.0,0
SVK.2.2_1,SVK.4.3_1,147.0,0
SVK.2.2_1,SVK.7.6_1,41.0,0
SVK.2.2_1,SVK.6.3_1,26.0,0
SVK.2.2_1,SVK.4.1_1,77.0,0
SVK.2.2_1,SVK.4.6_1,37.0,0
SVK.2.2_1,SVK.6.4_1,34.0,0
SVK.2.2_1,SVK.4.4_1,74.0,0
SVK.2.2_1,SVK.4.7_1,14.0,0
SVK.2.2_1,SVK.6.5_1,13.0,0
SVK.2.2_1,SVK.6.1_1,11.0,0
SVK.2.2_1,SVK.6.9_1,39.0,0
SVK.2.2_1,SVK.4.2_1,39.0,0
SVK.2.2_1,SVK.1.11_1,4.0,0
SVK.2.2_1,SVK.6.2_1,15.0,0
