origin,destination,flow,time
SVN.9.25_1,SVN.9.3_1,30.0,0
SVN.9.25_1,SVN.9.24_1,3.0,0
SVN.9.25_1,SVN.9.16_1,1.0,0
SVN.9.25_1,SVN.9.12_1,8.0,0
SVN.9.25_1,SVN.9.13_1,1.0,0
SVN.9.25_1,SVN.9.15_1,1.0,0
SVN.9.25_1,SVN.8.2_1,1.0,0
SVN.9.25_1,SVN.8.22_1,1.0,0
SVN.9.26_1,SVN.9.10_1,19.0,0
SVN.9.26_1,SVN.9.1_1,2.0,0
SVN.9.26_1,SVN.9.13_1,1.0,0
SVN.9.26_1,SVN.9.15_1,1.0,0
SVN.9.26_1,SVN.9.24_1,1.0,0
SVN.10.16_1,SVN.12.1_1,58.0,0
SVN.10.16_1,SVN.11.3_1,10.0,0
SVN.10.16_1,SVN.12.2_1,2.0,0
SVN.10.16_1,SVN.3.15_1,1.0,0
SVN.10.17_1,SVN.10.18_1,71.0,0
SVN.10.17_1,SVN.10.21_1,53.0,0
SVN.10.17_1,SVN.8.14_1,13.0,0
SVN.10.17_1,SVN.10.1_1,9.0,0
SVN.10.17_1,SVN.8.34_1,5.0,0
SVN.10.17_1,SVN.10.20_1,16.0,0
SVN.10.17_1,SVN.8.27_1,21.0,0
SVN.10.17_1,SVN.10.19_1,2.0,0
SVN.10.17_1,SVN.8.10_1,3.0,0
SVN.10.17_1,SVN.8.21_1,1.0,0
SVN.10.17_1,SVN.8.23_1,1.0,0
SVN.10.17_1,SVN.8.32_1,1.0,0
SVN.10.17_1,SVN.8.28_1,1.0,0
SVN.10.17_1,SVN.10.32_1,1.0,0
SVN.10.17_1,SVN.8.8_1,1.0,0
SVN.10.17_1,SVN.10.3_1,4.0,0
SVN.10.17_1,SVN.8.5_1,2.0,0
SVN.10.17_1,SVN.8.15_1,3.0,0
SVN.10.17_1,SVN.8.9_1,1.0,0
SVN.10.17_1,SVN.8.25_1,1.0,0
SVN.10.17_1,SVN.10.26_1,1.0,0
SVN.10.17_1,SVN.12.3_1,1.0,0
SVN.10.17_1,SVN.9.17_1,1.0,0
SVN.10.17_1,SVN.7.14_1,1.0,0
SVN.10.18_1,SVN.8.34_1,22.0,0
SVN.10.18_1,SVN.10.17_1,37.0,0
SVN.10.18_1,SVN.8.14_1,7.0,0
SVN.10.18_1,SVN.10.1_1,2.0,0
SVN.10.18_1,SVN.10.21_1,5.0,0
SVN.10.18_1,SVN.8.10_1,5.0,0
SVN.10.18_1,SVN.10.13_1,1.0,0
SVN.10.18_1,SVN.8.27_1,4.0,0
SVN.10.18_1,SVN.10.20_1,1.0,0
SVN.10.18_1,SVN.10.19_1,1.0,0
SVN.10.18_1,SVN.8.23_1,1.0,0
SVN.10.18_1,SVN.8.22_1,1.0,0
SVN.10.18_1,SVN.11.1_1,1.0,0
SVN.10.18_1,SVN.8.15_1,1.0,0
SVN.10.20_1,SVN.8.18_1,65.0,0
SVN.10.20_1,SVN.8.27_1,131.0,0
SVN.10.20_1,SVN.10.32_1,11.0,0
SVN.10.20_1,SVN.10.29_1,10.0,0
SVN.10.20_1,SVN.10.21_1,7.0,0
SVN.10.20_1,SVN.10.19_1,12.0,0
SVN.10.20_1,SVN.10.17_1,5.0,0
SVN.10.20_1,SVN.10.3_1,15.0,0
SVN.10.20_1,SVN.10.25_1,1.0,0
SVN.10.20_1,SVN.8.14_1,2.0,0
SVN.10.20_1,SVN.8.10_1,1.0,0
SVN.10.20_1,SVN.10.31_1,2.0,0
SVN.10.20_1,SVN.10.27_1,1.0,0
SVN.10.20_1,SVN.10.8_1,1.0,0
SVN.10.20_1,SVN.8.15_1,3.0,0
SVN.10.20_1,SVN.8.32_1,1.0,0
SVN.10.20_1,SVN.4.11_1,2.0,0
SVN.10.20_1,SVN.11.2_1,1.0,0
SVN.10.20_1,SVN.11.1_1,1.0,0
SVN.10.20_1,SVN.7.19_1,1.0,0
SVN.10.20_1,SVN.7.11_1,1.0,0
SVN.10.20_1,SVN.3.8_1,2.0,0
SVN.10.20_1,SVN.3.16_1,1.0,0
SVN.10.20_1,SVN.7.14_1,1.0,0
SVN.10.20_1,SVN.3.10_1,1.0,0
SVN.10.21_1,SVN.10.19_1,125.0,0
SVN.10.21_1,SVN.10.17_1,25.0,0
SVN.10.21_1,SVN.10.1_1,3.0,0
SVN.10.21_1,SVN.10.20_1,12.0,0
SVN.10.21_1,SVN.10.4_1,1.0,0
SVN.10.21_1,SVN.10.25_1,2.0,0
SVN.10.21_1,SVN.10.7_1,3.0,0
SVN.10.21_1,SVN.10.18_1,2.0,0
SVN.10.21_1,SVN.10.13_1,1.0,0
SVN.10.21_1,SVN.8.27_1,12.0,0
SVN.10.21_1,SVN.10.29_1,2.0,0
SVN.10.21_1,SVN.10.3_1,5.0,0
SVN.10.21_1,SVN.10.8_1,1.0,0
SVN.10.21_1,SVN.10.32_1,1.0,0
SVN.10.21_1,SVN.10.31_1,1.0,0
SVN.10.21_1,SVN.8.23_1,1.0,0
SVN.10.21_1,SVN.11.3_1,1.0,0
SVN.10.21_1,SVN.11.2_1,5.0,0
SVN.10.21_1,SVN.11.1_1,1.0,0
SVN.10.21_1,SVN.8.15_1,1.0,0
SVN.10.21_1,SVN.8.26_1,1.0,0
SVN.10.21_1,SVN.7.14_1,1.0,0
SVN.10.21_1,SVN.7.9_1,1.0,0
SVN.10.21_1,SVN.1.5_1,1.0,0
SVN.10.22_1,SVN.10.14_1,48.0,0
SVN.10.22_1,SVN.10.2_1,5.0,0
SVN.10.22_1,SVN.10.11_1,1.0,0
SVN.10.22_1,SVN.10.24_1,3.0,0
SVN.10.22_1,SVN.10.27_1,3.0,0
SVN.10.22_1,SVN.4.4_1,1.0,0
SVN.10.22_1,SVN.7.16_1,1.0,0
SVN.10.23_1,SVN.10.10_1,6.0,0
SVN.10.23_1,SVN.10.9_1,1.0,0
SVN.10.23_1,SVN.7.11_1,2.0,0
