origin,destination,flow,time
SWE.1_1,SWE.9_1,848.0,0
SWE.1_1,SWE.13_1,521.0,0
SWE.1_1,SWE.8_1,18.0,0
SWE.1_1,SWE.7_1,14.0,0
SWE.1_1,SWE.5_1,7.0,0
SWE.1_1,SWE.12_1,14.0,0
SWE.1_1,SWE.4_1,3.0,0
SWE.1_1,SWE.21_1,27.0,0
SWE.1_1,SWE.14_1,2.0,0
SWE.1_1,SWE.11_1,3.0,0
SWE.1_1,SWE.15_1,11.0,0
SWE.1_1,SWE.20_1,2.0,0
SWE.1_1,SWE.16_1,1.0,0
SWE.1_1,SWE.2_1,1.0,0
SWE.1_1,SWE.3_1,2.0,0
SWE.2_1,SWE.3_1,1427.0,0
SWE.2_1,SWE.17_1,498.0,0
SWE.2_1,SWE.20_1,232.0,0
SWE.2_1,SWE.11_1,146.0,0
SWE.2_1,SWE.16_1,94.0,0
SWE.2_1,SWE.14_1,65.0,0
SWE.2_1,SWE.6_1,11.0,0
SWE.2_1,SWE.15_1,213.0,0
SWE.2_1,SWE.19_1,10.0,0
SWE.2_1,SWE.12_1,15.0,0
SWE.2_1,SWE.21_1,34.0,0
SWE.2_1,SWE.7_1,4.0,0
SWE.2_1,SWE.4_1,2.0,0
SWE.2_1,SWE.5_1,4.0,0
SWE.2_1,SWE.9_1,2.0,0
SWE.2_1,SWE.18_1,2.0,0
SWE.2_1,SWE.1_1,2.0,0
SWE.2_1,SWE.13_1,12.0,0
SWE.2_1,SWE.10_1,2.0,0
SWE.3_1,SWE.2_1,1364.0,0
SWE.3_1,SWE.16_1,576.0,0
SWE.3_1,SWE.20_1,177.0,0
SWE.3_1,SWE.19_1,113.0,0
SWE.3_1,SWE.6_1,34.0,0
SWE.3_1,SWE.15_1,292.0,0
SWE.3_1,SWE.11_1,13.0,0
SWE.3_1,SWE.17_1,13.0,0
SWE.3_1,SWE.14_1,5.0,0
SWE.3_1,SWE.12_1,8.0,0
SWE.3_1,SWE.18_1,7.0,0
SWE.3_1,SWE.21_1,28.0,0
SWE.3_1,SWE.7_1,6.0,0
SWE.3_1,SWE.4_1,1.0,0
SWE.3_1,SWE.8_1,3.0,0
SWE.3_1,SWE.9_1,2.0,0
SWE.3_1,SWE.5_1,7.0,0
SWE.3_1,SWE.1_1,4.0,0
SWE.3_1,SWE.13_1,10.0,0
SWE.3_1,SWE.10_1,1.0,0
SWE.4_1,SWE.8_1,445.0,0
SWE.4_1,SWE.12_1,69.0,0
