origin,destination,flow,time
SWZ.3.7_1,SWZ.4.9_1,3904.0,0
SWZ.3.7_1,SWZ.3.16_1,3498.0,0
SWZ.3.7_1,SWZ.3.14_1,2449.0,0
SWZ.3.7_1,SWZ.4.3_1,301.0,0
SWZ.3.7_1,SWZ.3.15_1,615.0,0
SWZ.3.7_1,SWZ.4.1_1,364.0,0
SWZ.3.7_1,SWZ.4.7_1,311.0,0
SWZ.3.7_1,SWZ.3.3_1,183.0,0
SWZ.3.7_1,SWZ.3.4_1,282.0,0
SWZ.3.7_1,SWZ.3.2_1,322.0,0
SWZ.3.7_1,SWZ.4.6_1,198.0,0
SWZ.3.7_1,SWZ.3.10_1,65.0,0
SWZ.3.7_1,SWZ.3.13_1,108.0,0
SWZ.3.7_1,SWZ.3.9_1,140.0,0
SWZ.3.7_1,SWZ.4.10_1,36.0,0
SWZ.3.7_1,SWZ.1.2_1,69.0,0
SWZ.3.7_1,SWZ.3.8_1,24.0,0
SWZ.3.7_1,SWZ.4.4_1,51.0,0
SWZ.3.7_1,SWZ.4.8_1,21.0,0
SWZ.3.7_1,SWZ.3.5_1,87.0,0
SWZ.3.7_1,SWZ.3.11_1,23.0,0
SWZ.3.7_1,SWZ.2.11_1,57.0,0
SWZ.3.7_1,SWZ.2.10_1,38.0,0
SWZ.3.7_1,SWZ.3.6_1,26.0,0
SWZ.3.7_1,SWZ.3.1_1,31.0,0
SWZ.3.7_1,SWZ.4.14_1,20.0,0
SWZ.3.7_1,SWZ.1.6_1,14.0,0
SWZ.3.7_1,SWZ.1.1_1,13.0,0
SWZ.3.7_1,SWZ.1.5_1,33.0,0
SWZ.3.7_1,SWZ.4.2_1,4.0,0
SWZ.3.7_1,SWZ.4.12_1,7.0,0
SWZ.3.7_1,SWZ.1.8_1,16.0,0
SWZ.3.7_1,SWZ.4.11_1,9.0,0
SWZ.3.7_1,SWZ.3.12_1,12.0,0
SWZ.3.7_1,SWZ.2.1_1,21.0,0
SWZ.3.7_1,SWZ.1.9_1,18.0,0
SWZ.3.7_1,SWZ.2.9_1,9.0,0
SWZ.3.7_1,SWZ.2.8_1,9.0,0
SWZ.3.7_1,SWZ.4.5_1,7.0,0
SWZ.3.7_1,SWZ.2.4_1,4.0,0
SWZ.3.7_1,SWZ.1.11_1,8.0,0
SWZ.3.7_1,SWZ.2.2_1,4.0,0
SWZ.3.7_1,SWZ.1.3_1,9.0,0
SWZ.3.7_1,SWZ.4.13_1,2.0,0
SWZ.3.7_1,SWZ.2.6_1,3.0,0
SWZ.3.7_1,SWZ.1.10_1,3.0,0
SWZ.3.7_1,SWZ.1.13_1,1.0,0
SWZ.3.7_1,SWZ.2.5_1,5.0,0
SWZ.3.7_1,SWZ.2.7_1,7.0,0
SWZ.3.7_1,SWZ.1.7_1,7.0,0
SWZ.3.7_1,SWZ.1.4_1,5.0,0
SWZ.3.7_1,SWZ.1.12_1,5.0,0
SWZ.3.7_1,SWZ.2.3_1,2.0,0
SWZ.3.7_1,SWZ.1.14_1,3.0,0
SWZ.3.15_1,SWZ.3.13_1,5403.0,0
SWZ.3.15_1,SWZ.3.10_1,1163.0,0
SWZ.3.15_1,SWZ.3.16_1,913.0,0
SWZ.3.15_1,SWZ.3.9_1,1046.0,0
SWZ.3.15_1,SWZ.3.2_1,346.0,0
SWZ.3.15_1,SWZ.4.3_1,45.0,0
SWZ.3.15_1,SWZ.3.6_1,125.0,0
SWZ.3.15_1,SWZ.3.4_1,104.0,0
SWZ.3.15_1,SWZ.3.7_1,80.0,0
SWZ.3.15_1,SWZ.2.10_1,89.0,0
SWZ.3.15_1,SWZ.3.1_1,79.0,0
SWZ.3.15_1,SWZ.3.5_1,81.0,0
SWZ.3.15_1,SWZ.4.9_1,6.0,0
SWZ.3.15_1,SWZ.1.2_1,33.0,0
SWZ.3.15_1,SWZ.3.3_1,22.0,0
