origin,destination,flow,time
TCA.1_1,TCA.5_1,10.0,0
TCA.1_1,TCA.6_1,165.0,0
TCA.1_1,TCA.2_1,13.0,0
TCA.1_1,TCA.3_1,162.0,0
TCA.1_1,TCA.4_1,482.0,0
TCA.2_1,TCA.3_1,16.0,0
TCA.3_1,TCA.2_1,19.0,0
TCA.3_1,TCA.4_1,203.0,0
TCA.4_1,TCA.3_1,1242.0,0
TCA.4_1,TCA.2_1,90.0,0
TCA.4_1,TCA.6_1,772.0,0
TCA.4_1,TCA.1_1,3433.0,0
TCA.4_1,TCA.5_1,35.0,0
TCA.5_1,TCA.1_1,13.0,0
TCA.6_1,TCA.2_1,17.0,0
TCA.6_1,TCA.1_1,118.0,0
TCA.6_1,TCA.3_1,4.0,0
TCA.6_1,TCA.5_1,1.0,0
TCA.6_1,TCA.4_1,26.0,0
TCA.1_1,TCA.1_1,3331.2627738952638,0
TCA.2_1,TCA.2_1,67.62217196114361,0
TCA.3_1,TCA.3_1,890.955513095856,0
TCA.4_1,TCA.4_1,22291.667023468002,0
TCA.5_1,TCA.5_1,54.39264831542968,0
TCA.6_1,TCA.6_1,664.6834155917168,0
