origin,destination,flow,time
TCD.1_1,TCD.9_1,24956.0,0
TCD.1_1,TCD.2_1,8432.0,0
TCD.1_1,TCD.8_1,3844.0,0
TCD.1_1,TCD.10_1,1675.0,0
TCD.1_1,TCD.22_1,2026.0,0
TCD.1_1,TCD.4_1,687.0,0
TCD.1_1,TCD.7_1,499.0,0
TCD.1_1,TCD.3_1,151.0,0
TCD.1_1,TCD.17_1,525.0,0
TCD.1_1,TCD.23_1,301.0,0
TCD.1_1,TCD.14_1,273.0,0
TCD.1_1,TCD.20_1,186.0,0
TCD.1_1,TCD.19_1,117.0,0
TCD.1_1,TCD.18_1,66.0,0
TCD.1_1,TCD.16_1,115.0,0
TCD.1_1,TCD.15_1,105.0,0
TCD.1_1,TCD.6_1,10.0,0
TCD.1_1,TCD.11_1,96.0,0
TCD.1_1,TCD.13_1,93.0,0
TCD.1_1,TCD.12_1,110.0,0
TCD.1_1,TCD.21_1,2.0,0
TCD.1_1,TCD.5_1,24.0,0
TCD.2_1,TCD.1_1,28052.0,0
TCD.2_1,TCD.17_1,22464.0,0
TCD.2_1,TCD.7_1,5408.0,0
TCD.2_1,TCD.23_1,3973.0,0
TCD.2_1,TCD.8_1,1905.0,0
TCD.2_1,TCD.19_1,1153.0,0
TCD.2_1,TCD.18_1,668.0,0
TCD.2_1,TCD.9_1,728.0,0
TCD.2_1,TCD.4_1,890.0,0
TCD.2_1,TCD.22_1,1083.0,0
TCD.2_1,TCD.10_1,396.0,0
TCD.2_1,TCD.3_1,155.0,0
TCD.2_1,TCD.16_1,427.0,0
TCD.2_1,TCD.14_1,454.0,0
TCD.2_1,TCD.20_1,332.0,0
TCD.2_1,TCD.6_1,35.0,0
TCD.2_1,TCD.13_1,285.0,0
TCD.2_1,TCD.5_1,98.0,0
TCD.2_1,TCD.11_1,203.0,0
TCD.2_1,TCD.15_1,193.0,0
TCD.2_1,TCD.12_1,249.0,0
TCD.2_1,TCD.21_1,5.0,0
TCD.3_1,TCD.6_1,7182.0,0
TCD.3_1,TCD.21_1,2179.0,0
TCD.3_1,TCD.1_1,9604.0,0
TCD.3_1,TCD.23_1,4667.0,0
TCD.3_1,TCD.2_1,1139.0,0
TCD.3_1,TCD.5_1,301.0,0
TCD.3_1,TCD.9_1,427.0,0
TCD.3_1,TCD.17_1,577.0,0
TCD.3_1,TCD.10_1,186.0,0
TCD.3_1,TCD.8_1,213.0,0
TCD.3_1,TCD.19_1,119.0,0
TCD.3_1,TCD.7_1,124.0,0
TCD.3_1,TCD.22_1,170.0,0
TCD.3_1,TCD.4_1,71.0,0
TCD.3_1,TCD.18_1,34.0,0
TCD.3_1,TCD.14_1,77.0,0
TCD.3_1,TCD.16_1,35.0,0
TCD.3_1,TCD.20_1,40.0,0
TCD.3_1,TCD.13_1,35.0,0
TCD.3_1,TCD.15_1,24.0,0
TCD.3_1,TCD.11_1,39.0,0
TCD.3_1,TCD.12_1,37.0,0
TCD.4_1,TCD.14_1,48023.0,0
TCD.4_1,TCD.8_1,10570.0,0
TCD.4_1,TCD.22_1,8884.0,0
TCD.4_1,TCD.20_1,2847.0,0
TCD.4_1,TCD.7_1,1950.0,0
TCD.4_1,TCD.15_1,1401.0,0
TCD.4_1,TCD.11_1,1171.0,0
TCD.4_1,TCD.13_1,912.0,0
TCD.4_1,TCD.16_1,760.0,0
TCD.4_1,TCD.12_1,827.0,0
TCD.4_1,TCD.10_1,386.0,0
TCD.4_1,TCD.1_1,239.0,0
TCD.4_1,TCD.2_1,350.0,0
TCD.4_1,TCD.9_1,243.0,0
TCD.4_1,TCD.18_1,172.0,0
TCD.4_1,TCD.19_1,230.0,0
TCD.4_1,TCD.17_1,382.0,0
TCD.4_1,TCD.23_1,315.0,0
TCD.4_1,TCD.3_1,73.0,0
TCD.4_1,TCD.6_1,22.0,0
TCD.4_1,TCD.5_1,85.0,0
TCD.4_1,TCD.21_1,14.0,0
TCD.5_1,TCD.6_1,7343.0,0
TCD.5_1,TCD.23_1,16808.0,0
TCD.5_1,TCD.3_1,1068.0,0
TCD.5_1,TCD.17_1,2321.0,0
TCD.5_1,TCD.2_1,614.0,0
TCD.5_1,TCD.19_1,353.0,0
TCD.5_1,TCD.1_1,208.0,0
TCD.5_1,TCD.21_1,23.0,0
TCD.5_1,TCD.18_1,135.0,0
TCD.5_1,TCD.7_1,233.0,0
TCD.5_1,TCD.9_1,137.0,0
TCD.5_1,TCD.8_1,139.0,0
TCD.5_1,TCD.4_1,135.0,0
TCD.5_1,TCD.10_1,81.0,0
TCD.5_1,TCD.16_1,102.0,0
TCD.5_1,TCD.22_1,132.0,0
TCD.5_1,TCD.20_1,60.0,0
TCD.5_1,TCD.13_1,64.0,0
TCD.5_1,TCD.14_1,67.0,0
TCD.5_1,TCD.11_1,47.0,0
TCD.5_1,TCD.12_1,43.0,0
TCD.5_1,TCD.15_1,30.0,0
TCD.6_1,TCD.5_1,7278.0,0
TCD.6_1,TCD.3_1,939.0,0
TCD.6_1,TCD.23_1,846.0,0
TCD.6_1,TCD.17_1,241.0,0
TCD.6_1,TCD.2_1,50.0,0
TCD.6_1,TCD.21_1,4.0,0
TCD.6_1,TCD.1_1,26.0,0
TCD.6_1,TCD.19_1,28.0,0
TCD.6_1,TCD.9_1,13.0,0
TCD.6_1,TCD.7_1,31.0,0
TCD.6_1,TCD.18_1,12.0,0
TCD.6_1,TCD.8_1,19.0,0
TCD.6_1,TCD.10_1,7.0,0
TCD.6_1,TCD.4_1,17.0,0
TCD.6_1,TCD.22_1,14.0,0
TCD.6_1,TCD.16_1,10.0,0
TCD.6_1,TCD.14_1,9.0,0
TCD.6_1,TCD.20_1,6.0,0
