origin,destination,flow,time
TGO.1.2_1,TGO.1.3_1,2136.0,0
TGO.1.2_1,TGO.1.1_1,1087.0,0
TGO.1.2_1,TGO.2.1_1,96.0,0
TGO.1.2_1,TGO.2.6_1,249.0,0
TGO.1.2_1,TGO.4.4_1,364.0,0
TGO.1.2_1,TGO.2.3_1,28.0,0
TGO.1.2_1,TGO.2.2_1,86.0,0
TGO.1.2_1,TGO.2.4_1,20.0,0
TGO.1.2_1,TGO.4.1_1,22.0,0
TGO.1.2_1,TGO.4.5_1,31.0,0
TGO.1.2_1,TGO.2.5_1,12.0,0
TGO.1.2_1,TGO.4.2_1,52.0,0
TGO.1.2_1,TGO.5.1_1,38.0,0
TGO.1.2_1,TGO.4.3_1,38.0,0
TGO.1.2_1,TGO.3.4_1,20.0,0
TGO.1.2_1,TGO.3.5_1,50.0,0
TGO.1.2_1,TGO.5.2_1,25.0,0
TGO.1.2_1,TGO.3.2_1,6.0,0
TGO.1.2_1,TGO.3.3_1,6.0,0
TGO.1.2_1,TGO.3.1_1,44.0,0
TGO.1.1_1,TGO.1.3_1,2844.0,0
TGO.1.1_1,TGO.1.2_1,1321.0,0
TGO.1.1_1,TGO.4.5_1,648.0,0
TGO.1.1_1,TGO.4.4_1,1214.0,0
TGO.1.1_1,TGO.4.1_1,114.0,0
TGO.1.1_1,TGO.2.1_1,55.0,0
TGO.1.1_1,TGO.2.2_1,257.0,0
TGO.1.1_1,TGO.2.6_1,137.0,0
TGO.1.1_1,TGO.2.3_1,31.0,0
TGO.1.1_1,TGO.2.4_1,36.0,0
TGO.1.1_1,TGO.4.3_1,166.0,0
TGO.1.1_1,TGO.4.2_1,119.0,0
TGO.1.1_1,TGO.2.5_1,22.0,0
TGO.1.1_1,TGO.3.4_1,43.0,0
TGO.1.1_1,TGO.5.1_1,55.0,0
TGO.1.1_1,TGO.3.5_1,150.0,0
TGO.1.1_1,TGO.3.3_1,16.0,0
TGO.1.1_1,TGO.3.2_1,29.0,0
TGO.1.1_1,TGO.3.1_1,144.0,0
TGO.1.1_1,TGO.5.2_1,45.0,0
TGO.1.3_1,TGO.2.1_1,931.0,0
TGO.1.3_1,TGO.1.2_1,1551.0,0
TGO.1.3_1,TGO.2.6_1,596.0,0
TGO.1.3_1,TGO.1.1_1,440.0,0
TGO.1.3_1,TGO.2.2_1,214.0,0
TGO.1.3_1,TGO.2.3_1,23.0,0
TGO.1.3_1,TGO.2.4_1,33.0,0
TGO.1.3_1,TGO.2.5_1,36.0,0
TGO.1.3_1,TGO.4.4_1,162.0,0
TGO.1.3_1,TGO.4.5_1,28.0,0
TGO.1.3_1,TGO.5.1_1,39.0,0
TGO.1.3_1,TGO.4.1_1,11.0,0
TGO.1.3_1,TGO.4.2_1,45.0,0
TGO.1.3_1,TGO.5.2_1,70.0,0
TGO.1.3_1,TGO.4.3_1,21.0,0
TGO.1.3_1,TGO.3.4_1,7.0,0
TGO.1.3_1,TGO.3.5_1,31.0,0
TGO.1.3_1,TGO.3.3_1,7.0,0
TGO.1.3_1,TGO.3.2_1,9.0,0
TGO.1.3_1,TGO.3.1_1,30.0,0
TGO.2.1_1,TGO.2.6_1,928.0,0
TGO.2.1_1,TGO.1.3_1,105.0,0
TGO.2.1_1,TGO.2.3_1,16.0,0
TGO.2.1_1,TGO.2.4_1,16.0,0
TGO.2.1_1,TGO.2.2_1,45.0,0
TGO.2.1_1,TGO.1.2_1,14.0,0
TGO.2.1_1,TGO.2.5_1,6.0,0
TGO.2.1_1,TGO.1.1_1,9.0,0
TGO.2.1_1,TGO.5.1_1,8.0,0
TGO.2.1_1,TGO.4.4_1,6.0,0
TGO.2.1_1,TGO.5.2_1,6.0,0
TGO.2.1_1,TGO.4.5_1,1.0,0
TGO.2.1_1,TGO.4.1_1,1.0,0
TGO.2.1_1,TGO.4.2_1,1.0,0
TGO.2.1_1,TGO.4.3_1,1.0,0
TGO.2.1_1,TGO.3.4_1,1.0,0
TGO.2.1_1,TGO.3.5_1,2.0,0
TGO.2.1_1,TGO.3.3_1,1.0,0
TGO.2.1_1,TGO.3.1_1,5.0,0
TGO.2.2_1,TGO.2.6_1,2883.0,0
TGO.2.2_1,TGO.2.1_1,402.0,0
TGO.2.2_1,TGO.2.4_1,506.0,0
TGO.2.2_1,TGO.2.5_1,452.0,0
TGO.2.2_1,TGO.1.3_1,652.0,0
TGO.2.2_1,TGO.2.3_1,145.0,0
TGO.2.2_1,TGO.5.1_1,487.0,0
TGO.2.2_1,TGO.1.1_1,378.0,0
TGO.2.2_1,TGO.1.2_1,163.0,0
TGO.2.2_1,TGO.5.2_1,386.0,0
TGO.2.2_1,TGO.4.5_1,60.0,0
TGO.2.2_1,TGO.4.4_1,143.0,0
TGO.2.2_1,TGO.4.1_1,18.0,0
TGO.2.2_1,TGO.4.3_1,64.0,0
TGO.2.2_1,TGO.4.2_1,55.0,0
TGO.2.2_1,TGO.3.4_1,16.0,0
TGO.2.2_1,TGO.3.5_1,87.0,0
TGO.2.2_1,TGO.3.3_1,11.0,0
TGO.2.2_1,TGO.3.2_1,24.0,0
TGO.2.2_1,TGO.3.1_1,116.0,0
TGO.2.3_1,TGO.2.6_1,984.0,0
TGO.2.3_1,TGO.2.4_1,58.0,0
TGO.2.3_1,TGO.2.1_1,29.0,0
TGO.2.3_1,TGO.2.5_1,29.0,0
TGO.2.3_1,TGO.2.2_1,54.0,0
TGO.2.3_1,TGO.1.3_1,14.0,0
TGO.2.3_1,TGO.5.1_1,9.0,0
TGO.2.3_1,TGO.1.2_1,8.0,0
TGO.2.3_1,TGO.1.1_1,5.0,0
TGO.2.3_1,TGO.5.2_1,12.0,0
TGO.2.3_1,TGO.4.4_1,5.0,0
TGO.2.3_1,TGO.4.2_1,1.0,0
TGO.2.3_1,TGO.3.5_1,3.0,0
TGO.2.3_1,TGO.3.1_1,6.0,0
TGO.2.4_1,TGO.2.3_1,721.0,0
TGO.2.4_1,TGO.2.5_1,478.0,0
TGO.2.4_1,TGO.2.6_1,323.0,0
TGO.2.4_1,TGO.2.1_1,35.0,0
TGO.2.4_1,TGO.2.2_1,126.0,0
TGO.2.4_1,TGO.5.1_1,53.0,0
TGO.2.4_1,TGO.1.3_1,21.0,0
TGO.2.4_1,TGO.1.2_1,14.0,0
TGO.2.4_1,TGO.5.2_1,35.0,0
TGO.2.4_1,TGO.1.1_1,13.0,0
TGO.2.4_1,TGO.4.4_1,13.0,0
TGO.2.4_1,TGO.4.2_1,6.0,0
TGO.2.4_1,TGO.4.3_1,8.0,0
TGO.2.4_1,TGO.3.4_1,1.0,0
TGO.2.4_1,TGO.3.5_1,2.0,0
TGO.2.4_1,TGO.3.3_1,1.0,0
TGO.2.4_1,TGO.3.2_1,5.0,0
TGO.2.4_1,TGO.3.1_1,8.0,0
TGO.2.5_1,TGO.2.4_1,1015.0,0
TGO.2.5_1,TGO.5.1_1,676.0,0
TGO.2.5_1,TGO.2.3_1,51.0,0
TGO.2.5_1,TGO.2.6_1,134.0,0
TGO.2.5_1,TGO.2.2_1,78.0,0
TGO.2.5_1,TGO.2.1_1,12.0,0
TGO.2.5_1,TGO.5.2_1,72.0,0
TGO.2.5_1,TGO.1.3_1,14.0,0
TGO.2.5_1,TGO.1.2_1,8.0,0
TGO.2.5_1,TGO.1.1_1,10.0,0
TGO.2.5_1,TGO.4.4_1,8.0,0
TGO.2.5_1,TGO.4.5_1,3.0,0
TGO.2.5_1,TGO.4.2_1,9.0,0
TGO.2.5_1,TGO.4.3_1,2.0,0
TGO.2.5_1,TGO.3.4_1,2.0,0
TGO.2.5_1,TGO.3.5_1,10.0,0
TGO.2.5_1,TGO.3.3_1,1.0,0
TGO.2.5_1,TGO.3.2_1,9.0,0
TGO.2.5_1,TGO.3.1_1,10.0,0
TGO.2.6_1,TGO.2.3_1,972.0,0
TGO.2.6_1,TGO.2.1_1,633.0,0
TGO.2.6_1,TGO.2.4_1,639.0,0
TGO.2.6_1,TGO.2.2_1,1064.0,0
TGO.2.6_1,TGO.2.5_1,159.0,0
TGO.2.6_1,TGO.1.3_1,245.0,0
TGO.2.6_1,TGO.1.2_1,141.0,0
TGO.2.6_1,TGO.5.1_1,165.0,0
TGO.2.6_1,TGO.1.1_1,131.0,0
TGO.2.6_1,TGO.5.2_1,147.0,0
TGO.2.6_1,TGO.4.4_1,89.0,0
TGO.2.6_1,TGO.4.5_1,13.0,0
TGO.2.6_1,TGO.4.1_1,9.0,0
TGO.2.6_1,TGO.4.2_1,31.0,0
TGO.2.6_1,TGO.4.3_1,25.0,0
TGO.2.6_1,TGO.3.4_1,11.0,0
TGO.2.6_1,TGO.3.5_1,24.0,0
TGO.2.6_1,TGO.3.3_1,8.0,0
TGO.2.6_1,TGO.3.2_1,7.0,0
TGO.2.6_1,TGO.3.1_1,54.0,0
TGO.3.1_1,TGO.3.3_1,5080.0,0
