origin,destination,flow,time
TJK.3.2_1,TJK.3.22_1,67156.0,0
TJK.3.2_1,TJK.3.18_1,15929.0,0
TJK.3.2_1,TJK.3.6_1,21143.0,0
TJK.3.2_1,TJK.3.9_1,14025.0,0
TJK.3.2_1,TJK.3.8_1,6252.0,0
TJK.3.2_1,TJK.3.5_1,4670.0,0
TJK.3.2_1,TJK.5.7_1,17169.0,0
TJK.3.2_1,TJK.3.17_1,2150.0,0
TJK.3.2_1,TJK.3.24_1,2947.0,0
TJK.3.2_1,TJK.3.3_1,1642.0,0
TJK.3.2_1,TJK.3.4_1,1593.0,0
TJK.3.2_1,TJK.3.16_1,1441.0,0
TJK.3.2_1,TJK.3.15_1,785.0,0
TJK.3.2_1,TJK.3.19_1,857.0,0
TJK.3.2_1,TJK.3.23_1,1205.0,0
TJK.3.2_1,TJK.3.21_1,348.0,0
TJK.3.2_1,TJK.3.13_1,331.0,0
TJK.3.2_1,TJK.1.1_1,3384.0,0
TJK.3.2_1,TJK.3.14_1,150.0,0
TJK.3.2_1,TJK.3.10_1,700.0,0
TJK.3.2_1,TJK.3.11_1,396.0,0
TJK.3.2_1,TJK.5.2_1,739.0,0
TJK.3.2_1,TJK.5.8_1,324.0,0
TJK.3.2_1,TJK.5.11_1,669.0,0
TJK.3.2_1,TJK.5.1_1,204.0,0
TJK.3.2_1,TJK.5.13_1,167.0,0
TJK.3.2_1,TJK.3.20_1,114.0,0
TJK.3.2_1,TJK.5.12_1,556.0,0
TJK.3.2_1,TJK.3.1_1,42.0,0
TJK.3.2_1,TJK.3.12_1,153.0,0
TJK.3.2_1,TJK.5.6_1,92.0,0
TJK.3.2_1,TJK.3.7_1,117.0,0
TJK.3.2_1,TJK.4.2_1,125.0,0
TJK.3.2_1,TJK.5.4_1,111.0,0
TJK.3.2_1,TJK.4.11_1,458.0,0
TJK.3.2_1,TJK.2.1_1,31.0,0
TJK.3.2_1,TJK.4.9_1,43.0,0
TJK.3.2_1,TJK.4.12_1,53.0,0
TJK.3.2_1,TJK.5.5_1,180.0,0
TJK.3.2_1,TJK.4.4_1,233.0,0
TJK.3.2_1,TJK.5.10_1,47.0,0
TJK.3.2_1,TJK.5.9_1,39.0,0
TJK.3.2_1,TJK.4.6_1,304.0,0
TJK.3.2_1,TJK.4.13_1,162.0,0
TJK.3.2_1,TJK.4.14_1,89.0,0
TJK.3.2_1,TJK.4.7_1,116.0,0
TJK.3.2_1,TJK.2.7_1,33.0,0
TJK.3.2_1,TJK.5.3_1,60.0,0
TJK.3.2_1,TJK.2.5_1,26.0,0
TJK.3.2_1,TJK.2.2_1,41.0,0
TJK.3.2_1,TJK.2.4_1,32.0,0
TJK.3.2_1,TJK.4.3_1,564.0,0
TJK.3.2_1,TJK.4.5_1,215.0,0
TJK.3.2_1,TJK.2.6_1,38.0,0
TJK.3.2_1,TJK.4.8_1,165.0,0
TJK.3.2_1,TJK.4.10_1,95.0,0
TJK.3.2_1,TJK.4.1_1,124.0,0
TJK.3.2_1,TJK.2.3_1,12.0,0
TJK.1.1_1,TJK.5.2_1,121142.0,0
TJK.1.1_1,TJK.5.13_1,23552.0,0
TJK.1.1_1,TJK.5.8_1,27882.0,0
TJK.1.1_1,TJK.5.7_1,94564.0,0
TJK.1.1_1,TJK.3.24_1,19234.0,0
TJK.1.1_1,TJK.5.11_1,19166.0,0
TJK.1.1_1,TJK.3.13_1,3278.0,0
TJK.1.1_1,TJK.3.8_1,6166.0,0
TJK.1.1_1,TJK.5.12_1,13758.0,0
TJK.1.1_1,TJK.5.1_1,3613.0,0
TJK.1.1_1,TJK.3.6_1,6524.0,0
TJK.1.1_1,TJK.4.2_1,2655.0,0
TJK.1.1_1,TJK.3.3_1,4777.0,0
TJK.1.1_1,TJK.3.18_1,2563.0,0
TJK.1.1_1,TJK.5.6_1,1261.0,0
TJK.1.1_1,TJK.3.21_1,1837.0,0
TJK.1.1_1,TJK.3.2_1,7990.0,0
TJK.1.1_1,TJK.3.1_1,633.0,0
TJK.1.1_1,TJK.3.22_1,4154.0,0
TJK.1.1_1,TJK.3.23_1,3723.0,0
TJK.1.1_1,TJK.3.10_1,3670.0,0
TJK.1.1_1,TJK.4.11_1,4307.0,0
TJK.1.1_1,TJK.3.7_1,894.0,0
TJK.1.1_1,TJK.3.9_1,2643.0,0
TJK.1.1_1,TJK.5.4_1,1042.0,0
TJK.1.1_1,TJK.3.5_1,1319.0,0
TJK.1.1_1,TJK.4.12_1,529.0,0
TJK.1.1_1,TJK.3.4_1,1939.0,0
TJK.1.1_1,TJK.3.12_1,1012.0,0
TJK.1.1_1,TJK.4.9_1,298.0,0
TJK.1.1_1,TJK.4.4_1,1872.0,0
TJK.1.1_1,TJK.3.16_1,1761.0,0
TJK.1.1_1,TJK.3.19_1,1160.0,0
TJK.1.1_1,TJK.3.11_1,1280.0,0
TJK.1.1_1,TJK.3.17_1,1165.0,0
TJK.1.1_1,TJK.3.20_1,416.0,0
TJK.1.1_1,TJK.3.15_1,827.0,0
TJK.1.1_1,TJK.5.5_1,998.0,0
TJK.1.1_1,TJK.4.6_1,1916.0,0
TJK.1.1_1,TJK.3.14_1,319.0,0
TJK.1.1_1,TJK.2.1_1,146.0,0
TJK.1.1_1,TJK.4.14_1,474.0,0
TJK.1.1_1,TJK.4.13_1,891.0,0
TJK.1.1_1,TJK.4.7_1,866.0,0
TJK.1.1_1,TJK.5.10_1,295.0,0
TJK.1.1_1,TJK.5.9_1,188.0,0
TJK.1.1_1,TJK.4.3_1,3759.0,0
TJK.1.1_1,TJK.4.8_1,1025.0,0
TJK.1.1_1,TJK.4.10_1,620.0,0
TJK.1.1_1,TJK.4.5_1,1253.0,0
TJK.1.1_1,TJK.5.3_1,299.0,0
TJK.1.1_1,TJK.2.7_1,137.0,0
TJK.1.1_1,TJK.4.1_1,765.0,0
TJK.1.1_1,TJK.2.5_1,127.0,0
TJK.1.1_1,TJK.2.6_1,257.0,0
TJK.1.1_1,TJK.2.4_1,113.0,0
TJK.1.1_1,TJK.2.2_1,128.0,0
TJK.1.1_1,TJK.2.3_1,52.0,0
TJK.2.1_1,TJK.5.9_1,5898.0,0
TJK.2.1_1,TJK.3.7_1,2131.0,0
TJK.2.1_1,TJK.3.12_1,765.0,0
TJK.2.1_1,TJK.5.10_1,147.0,0
TJK.2.1_1,TJK.5.4_1,167.0,0
TJK.2.1_1,TJK.3.1_1,52.0,0
TJK.2.1_1,TJK.5.5_1,154.0,0
TJK.2.1_1,TJK.3.20_1,48.0,0
TJK.2.1_1,TJK.5.6_1,35.0,0
TJK.2.1_1,TJK.2.7_1,24.0,0
TJK.2.1_1,TJK.3.10_1,80.0,0
TJK.2.1_1,TJK.3.21_1,17.0,0
TJK.2.1_1,TJK.5.3_1,14.0,0
TJK.2.1_1,TJK.5.1_1,24.0,0
TJK.2.1_1,TJK.3.23_1,28.0,0
TJK.2.1_1,TJK.3.11_1,17.0,0
TJK.2.1_1,TJK.3.13_1,2.0,0
TJK.2.1_1,TJK.5.12_1,22.0,0
TJK.2.1_1,TJK.4.9_1,3.0,0
TJK.2.1_1,TJK.2.5_1,2.0,0
TJK.2.1_1,TJK.3.3_1,10.0,0
TJK.2.1_1,TJK.3.24_1,6.0,0
TJK.2.1_1,TJK.3.4_1,8.0,0
TJK.2.1_1,TJK.3.18_1,3.0,0
TJK.2.1_1,TJK.5.13_1,2.0,0
TJK.2.1_1,TJK.1.1_1,16.0,0
TJK.2.1_1,TJK.3.6_1,2.0,0
TJK.2.1_1,TJK.3.22_1,7.0,0
TJK.2.1_1,TJK.4.5_1,2.0,0
TJK.2.1_1,TJK.3.8_1,1.0,0
TJK.2.1_1,TJK.5.7_1,4.0,0
TJK.2.1_1,TJK.3.2_1,1.0,0
TJK.2.1_1,TJK.4.4_1,1.0,0
TJK.2.1_1,TJK.3.9_1,1.0,0
TJK.2.1_1,TJK.2.2_1,1.0,0
TJK.2.1_1,TJK.4.8_1,1.0,0
TJK.2.1_1,TJK.4.7_1,1.0,0
TJK.2.1_1,TJK.4.12_1,1.0,0
TJK.2.1_1,TJK.4.13_1,1.0,0
TJK.2.1_1,TJK.3.17_1,2.0,0
TJK.2.1_1,TJK.3.5_1,1.0,0
TJK.2.1_1,TJK.4.3_1,4.0,0
TJK.2.1_1,TJK.4.14_1,1.0,0
TJK.2.1_1,TJK.4.1_1,2.0,0
TJK.2.2_1,TJK.2.4_1,7168.0,0
TJK.2.2_1,TJK.2.6_1,4957.0,0
TJK.2.2_1,TJK.2.5_1,800.0,0
TJK.2.2_1,TJK.2.7_1,706.0,0
TJK.2.2_1,TJK.3.20_1,761.0,0
TJK.2.2_1,TJK.2.3_1,124.0,0
TJK.2.2_1,TJK.2.1_1,155.0,0
TJK.2.2_1,TJK.3.11_1,736.0,0
TJK.2.2_1,TJK.3.12_1,268.0,0
TJK.2.2_1,TJK.5.9_1,61.0,0
TJK.2.2_1,TJK.3.10_1,279.0,0
TJK.2.2_1,TJK.3.7_1,67.0,0
TJK.2.2_1,TJK.3.23_1,154.0,0
TJK.2.2_1,TJK.3.4_1,78.0,0
TJK.2.2_1,TJK.5.10_1,24.0,0
TJK.2.2_1,TJK.3.21_1,20.0,0
TJK.2.2_1,TJK.5.3_1,19.0,0
TJK.2.2_1,TJK.3.1_1,8.0,0
TJK.2.2_1,TJK.3.15_1,23.0,0
TJK.2.2_1,TJK.5.4_1,9.0,0
TJK.2.2_1,TJK.3.3_1,34.0,0
TJK.2.2_1,TJK.5.6_1,7.0,0
TJK.2.2_1,TJK.5.5_1,23.0,0
TJK.2.2_1,TJK.3.13_1,9.0,0
TJK.2.2_1,TJK.3.22_1,24.0,0
TJK.2.2_1,TJK.3.18_1,8.0,0
TJK.2.2_1,TJK.5.1_1,8.0,0
TJK.2.2_1,TJK.3.9_1,15.0,0
TJK.2.2_1,TJK.3.17_1,10.0,0
TJK.2.2_1,TJK.3.24_1,9.0,0
TJK.2.2_1,TJK.3.6_1,4.0,0
TJK.2.2_1,TJK.3.2_1,15.0,0
TJK.2.2_1,TJK.5.12_1,15.0,0
TJK.2.2_1,TJK.3.5_1,4.0,0
TJK.2.2_1,TJK.3.8_1,5.0,0
TJK.2.2_1,TJK.5.7_1,16.0,0
TJK.2.2_1,TJK.3.16_1,4.0,0
TJK.2.2_1,TJK.1.1_1,18.0,0
TJK.2.2_1,TJK.5.2_1,2.0,0
TJK.2.2_1,TJK.3.19_1,2.0,0
TJK.2.2_1,TJK.4.5_1,2.0,0
