origin,destination,flow,time
TON.1_1,TON.4_1,227.0,0
TON.1_1,TON.2_1,3.0,0
TON.1_1,TON.5_1,1.0,0
TON.2_1,TON.4_1,218.0,0
TON.2_1,TON.1_1,1.0,0
TON.3_1,TON.5_1,33.0,0
TON.3_1,TON.4_1,1.0,0
TON.4_1,TON.1_1,1015.0,0
TON.4_1,TON.2_1,883.0,0
TON.4_1,TON.5_1,1994.0,0
TON.4_1,TON.3_1,98.0,0
TON.5_1,TON.2_1,169.0,0
TON.5_1,TON.3_1,21.0,0
TON.5_1,TON.4_1,419.0,0
TON.5_1,TON.1_1,2.0,0
TON.1_1,TON.1_1,4390.042242527007,0
TON.2_1,TON.2_1,4165.315515673159,0
TON.3_1,TON.3_1,662.8092377185823,0
TON.4_1,TON.4_1,75816.86945266722,0
TON.5_1,TON.5_1,11614.843171826036,0
