origin,destination,flow,time
TTO.1_1,TTO.15_1,1433.0,0
TTO.1_1,TTO.2_1,57.0,0
TTO.1_1,TTO.11_1,57.0,0
TTO.1_1,TTO.12_1,14.0,0
TTO.1_1,TTO.3_1,27.0,0
TTO.1_1,TTO.8_1,5.0,0
TTO.1_1,TTO.4_1,10.0,0
TTO.1_1,TTO.10_1,4.0,0
TTO.1_1,TTO.5_1,3.0,0
TTO.1_1,TTO.9_1,8.0,0
TTO.1_1,TTO.6_1,6.0,0
TTO.1_1,TTO.7_1,1.0,0
TTO.1_1,TTO.13_1,4.0,0
TTO.2_1,TTO.3_1,3391.0,0
TTO.2_1,TTO.11_1,616.0,0
TTO.2_1,TTO.1_1,80.0,0
TTO.2_1,TTO.8_1,58.0,0
TTO.2_1,TTO.15_1,279.0,0
TTO.2_1,TTO.4_1,84.0,0
TTO.2_1,TTO.10_1,34.0,0
TTO.2_1,TTO.12_1,49.0,0
TTO.2_1,TTO.9_1,57.0,0
TTO.2_1,TTO.6_1,33.0,0
TTO.2_1,TTO.5_1,14.0,0
TTO.2_1,TTO.7_1,7.0,0
TTO.2_1,TTO.13_1,29.0,0
TTO.2_1,TTO.14_1,25.0,0
TTO.3_1,TTO.2_1,3716.0,0
TTO.3_1,TTO.10_1,919.0,0
TTO.3_1,TTO.1_1,600.0,0
TTO.3_1,TTO.9_1,1418.0,0
TTO.3_1,TTO.15_1,1454.0,0
TTO.3_1,TTO.11_1,548.0,0
TTO.3_1,TTO.5_1,118.0,0
TTO.3_1,TTO.8_1,65.0,0
TTO.3_1,TTO.6_1,220.0,0
TTO.3_1,TTO.12_1,173.0,0
TTO.3_1,TTO.4_1,203.0,0
TTO.3_1,TTO.7_1,31.0,0
TTO.3_1,TTO.13_1,117.0,0
TTO.3_1,TTO.14_1,81.0,0
TTO.4_1,TTO.8_1,1139.0,0
TTO.4_1,TTO.11_1,2439.0,0
TTO.4_1,TTO.2_1,532.0,0
TTO.4_1,TTO.15_1,573.0,0
TTO.4_1,TTO.1_1,46.0,0
TTO.4_1,TTO.3_1,258.0,0
TTO.4_1,TTO.10_1,40.0,0
TTO.4_1,TTO.12_1,54.0,0
TTO.4_1,TTO.7_1,18.0,0
TTO.4_1,TTO.6_1,49.0,0
TTO.4_1,TTO.13_1,50.0,0
TTO.4_1,TTO.9_1,45.0,0
TTO.4_1,TTO.5_1,12.0,0
TTO.4_1,TTO.14_1,25.0,0
TTO.5_1,TTO.9_1,1509.0,0
TTO.5_1,TTO.3_1,289.0,0
TTO.5_1,TTO.10_1,21.0,0
TTO.5_1,TTO.6_1,34.0,0
TTO.5_1,TTO.12_1,18.0,0
TTO.5_1,TTO.1_1,11.0,0
TTO.5_1,TTO.2_1,17.0,0
TTO.5_1,TTO.15_1,24.0,0
TTO.5_1,TTO.11_1,13.0,0
TTO.5_1,TTO.13_1,11.0,0
TTO.5_1,TTO.7_1,2.0,0
TTO.5_1,TTO.4_1,5.0,0
TTO.5_1,TTO.14_1,4.0,0
TTO.6_1,TTO.10_1,1456.0,0
TTO.6_1,TTO.9_1,1570.0,0
TTO.6_1,TTO.13_1,505.0,0
TTO.6_1,TTO.7_1,65.0,0
TTO.6_1,TTO.3_1,431.0,0
TTO.6_1,TTO.5_1,62.0,0
TTO.6_1,TTO.2_1,104.0,0
TTO.6_1,TTO.1_1,21.0,0
TTO.6_1,TTO.8_1,20.0,0
TTO.6_1,TTO.11_1,92.0,0
TTO.6_1,TTO.15_1,99.0,0
TTO.6_1,TTO.4_1,40.0,0
TTO.6_1,TTO.12_1,24.0,0
TTO.6_1,TTO.14_1,11.0,0
TTO.7_1,TTO.13_1,786.0,0
TTO.7_1,TTO.6_1,63.0,0
TTO.7_1,TTO.10_1,10.0,0
TTO.7_1,TTO.9_1,20.0,0
TTO.7_1,TTO.3_1,19.0,0
TTO.7_1,TTO.2_1,7.0,0
TTO.7_1,TTO.4_1,6.0,0
TTO.7_1,TTO.11_1,4.0,0
TTO.7_1,TTO.1_1,1.0,0
TTO.7_1,TTO.15_1,7.0,0
TTO.8_1,TTO.11_1,1153.0,0
TTO.8_1,TTO.4_1,72.0,0
TTO.8_1,TTO.2_1,26.0,0
TTO.8_1,TTO.15_1,36.0,0
TTO.8_1,TTO.1_1,1.0,0
TTO.8_1,TTO.3_1,13.0,0
TTO.8_1,TTO.10_1,2.0,0
TTO.8_1,TTO.12_1,3.0,0
TTO.8_1,TTO.6_1,2.0,0
TTO.8_1,TTO.9_1,3.0,0
TTO.8_1,TTO.13_1,2.0,0
TTO.8_1,TTO.14_1,2.0,0
TTO.9_1,TTO.6_1,2710.0,0
TTO.9_1,TTO.10_1,531.0,0
TTO.9_1,TTO.5_1,397.0,0
TTO.9_1,TTO.3_1,906.0,0
TTO.9_1,TTO.13_1,243.0,0
TTO.9_1,TTO.2_1,147.0,0
