origin,destination,flow,time
TUR.1_1,TUR.64_1,83499.0,0
TUR.1_1,TUR.62_1,38666.0,0
TUR.1_1,TUR.37_1,108995.0,0
TUR.1_1,TUR.42_1,33633.0,0
TUR.1_1,TUR.47_1,29588.0,0
TUR.1_1,TUR.48_1,2069.0,0
TUR.1_1,TUR.33_1,25324.0,0
TUR.1_1,TUR.61_1,2091.0,0
TUR.1_1,TUR.58_1,10292.0,0
TUR.1_1,TUR.5_1,2203.0,0
TUR.1_1,TUR.44_1,1307.0,0
TUR.1_1,TUR.51_1,1016.0,0
TUR.1_1,TUR.2_1,2739.0,0
TUR.1_1,TUR.80_1,1579.0,0
TUR.1_1,TUR.55_1,2866.0,0
TUR.1_1,TUR.53_1,7354.0,0
TUR.1_1,TUR.72_1,1782.0,0
TUR.1_1,TUR.49_1,586.0,0
TUR.1_1,TUR.68_1,4914.0,0
TUR.1_1,TUR.74_1,1047.0,0
TUR.1_1,TUR.24_1,975.0,0
TUR.1_1,TUR.6_1,596.0,0
TUR.1_1,TUR.29_1,1079.0,0
TUR.1_1,TUR.7_1,8416.0,0
TUR.1_1,TUR.76_1,56.0,0
TUR.1_1,TUR.23_1,136.0,0
TUR.1_1,TUR.30_1,191.0,0
TUR.1_1,TUR.63_1,642.0,0
TUR.1_1,TUR.39_1,493.0,0
TUR.1_1,TUR.67_1,1222.0,0
TUR.1_1,TUR.8_1,1759.0,0
TUR.1_1,TUR.26_1,1198.0,0
TUR.1_1,TUR.34_1,256.0,0
TUR.1_1,TUR.3_1,475.0,0
TUR.1_1,TUR.32_1,502.0,0
TUR.1_1,TUR.35_1,56.0,0
TUR.1_1,TUR.70_1,105.0,0
TUR.1_1,TUR.57_1,485.0,0
TUR.1_1,TUR.46_1,240.0,0
TUR.1_1,TUR.17_1,161.0,0
TUR.1_1,TUR.43_1,135.0,0
TUR.1_1,TUR.20_1,164.0,0
TUR.1_1,TUR.19_1,177.0,0
TUR.1_1,TUR.15_1,31.0,0
TUR.1_1,TUR.14_1,343.0,0
TUR.1_1,TUR.75_1,347.0,0
TUR.1_1,TUR.13_1,109.0,0
TUR.1_1,TUR.81_1,308.0,0
TUR.1_1,TUR.27_1,178.0,0
TUR.1_1,TUR.25_1,538.0,0
TUR.1_1,TUR.16_1,123.0,0
TUR.1_1,TUR.77_1,175.0,0
TUR.1_1,TUR.54_1,256.0,0
TUR.1_1,TUR.66_1,379.0,0
TUR.1_1,TUR.60_1,165.0,0
TUR.1_1,TUR.69_1,113.0,0
TUR.1_1,TUR.31_1,256.0,0
TUR.1_1,TUR.65_1,96.0,0
TUR.1_1,TUR.18_1,130.0,0
TUR.1_1,TUR.71_1,206.0,0
TUR.1_1,TUR.52_1,727.0,0
TUR.1_1,TUR.59_1,297.0,0
TUR.1_1,TUR.21_1,1079.0,0
TUR.1_1,TUR.79_1,58.0,0
TUR.1_1,TUR.56_1,443.0,0
TUR.1_1,TUR.11_1,288.0,0
TUR.1_1,TUR.10_1,32.0,0
TUR.1_1,TUR.4_1,144.0,0
TUR.1_1,TUR.40_1,3094.0,0
