origin,destination,flow,time
UKR.1_1,UKR.13_1,5295.0,0
UKR.1_1,UKR.12_1,2973.0,0
UKR.1_1,UKR.11_1,1717.0,0
UKR.1_1,UKR.18_1,377.0,0
UKR.1_1,UKR.24_1,324.0,0
UKR.1_1,UKR.16_1,159.0,0
UKR.1_1,UKR.2_1,118.0,0
UKR.1_1,UKR.27_1,116.0,0
UKR.1_1,UKR.5_1,234.0,0
UKR.1_1,UKR.21_1,52.0,0
UKR.1_1,UKR.17_1,100.0,0
UKR.1_1,UKR.10_1,55.0,0
UKR.1_1,UKR.9_1,38.0,0
UKR.1_1,UKR.8_1,66.0,0
UKR.1_1,UKR.26_1,37.0,0
UKR.1_1,UKR.19_1,18.0,0
UKR.1_1,UKR.3_1,21.0,0
UKR.1_1,UKR.22_1,20.0,0
UKR.1_1,UKR.6_1,58.0,0
UKR.1_1,UKR.4_1,26.0,0
UKR.1_1,UKR.7_1,20.0,0
UKR.1_1,UKR.25_1,10.0,0
UKR.1_1,UKR.14_1,25.0,0
UKR.1_1,UKR.20_1,6.0,0
UKR.1_1,UKR.15_1,22.0,0
UKR.1_1,UKR.23_1,8.0,0
UKR.2_1,UKR.11_1,7592.0,0
UKR.2_1,UKR.21_1,571.0,0
UKR.2_1,UKR.12_1,535.0,0
UKR.2_1,UKR.18_1,266.0,0
UKR.2_1,UKR.1_1,156.0,0
UKR.2_1,UKR.27_1,164.0,0
UKR.2_1,UKR.13_1,99.0,0
UKR.2_1,UKR.24_1,116.0,0
UKR.2_1,UKR.8_1,133.0,0
UKR.2_1,UKR.19_1,37.0,0
UKR.2_1,UKR.5_1,110.0,0
UKR.2_1,UKR.10_1,30.0,0
UKR.2_1,UKR.16_1,23.0,0
UKR.2_1,UKR.25_1,24.0,0
UKR.2_1,UKR.22_1,17.0,0
UKR.2_1,UKR.26_1,21.0,0
UKR.2_1,UKR.9_1,9.0,0
UKR.2_1,UKR.17_1,26.0,0
UKR.2_1,UKR.6_1,37.0,0
