origin,destination,flow,time
URY.5.7_1,URY.5.12_1,204.0,0
URY.5.7_1,URY.5.5_1,489.0,0
URY.5.7_1,URY.5.4_1,69.0,0
URY.5.7_1,URY.18.14_1,15.0,0
URY.5.7_1,URY.5.9_1,36.0,0
URY.5.7_1,URY.5.11_1,8.0,0
URY.5.7_1,URY.5.10_1,166.0,0
URY.5.7_1,URY.12.2_1,19.0,0
URY.5.7_1,URY.5.1_1,690.0,0
URY.5.7_1,URY.12.9_1,6.0,0
URY.5.7_1,URY.5.3_1,17.0,0
URY.5.7_1,URY.18.13_1,1.0,0
URY.5.7_1,URY.18.11_1,9.0,0
URY.5.7_1,URY.6.3_1,2.0,0
URY.5.7_1,URY.7.4_1,7.0,0
URY.5.7_1,URY.6.2_1,84.0,0
URY.5.7_1,URY.5.6_1,7.0,0
URY.5.7_1,URY.12.1_1,17.0,0
URY.5.7_1,URY.7.3_1,1.0,0
URY.5.7_1,URY.5.2_1,2.0,0
URY.5.7_1,URY.7.2_1,13.0,0
URY.5.7_1,URY.6.6_1,2.0,0
URY.5.7_1,URY.12.3_1,6.0,0
URY.5.7_1,URY.11.6_1,1.0,0
URY.5.7_1,URY.7.1_1,1.0,0
URY.5.7_1,URY.7.8_1,10.0,0
URY.5.7_1,URY.18.7_1,4.0,0
URY.5.7_1,URY.18.6_1,1.0,0
URY.5.7_1,URY.6.5_1,2.0,0
URY.5.7_1,URY.7.5_1,1.0,0
URY.5.7_1,URY.3.10_1,3.0,0
URY.5.7_1,URY.11.4_1,1.0,0
URY.5.7_1,URY.12.7_1,26.0,0
URY.5.7_1,URY.7.11_1,3.0,0
URY.5.7_1,URY.17.9_1,10.0,0
URY.5.7_1,URY.7.6_1,1.0,0
URY.5.7_1,URY.11.10_1,2.0,0
URY.5.7_1,URY.7.10_1,3.0,0
URY.5.7_1,URY.18.12_1,1.0,0
URY.5.7_1,URY.17.6_1,5.0,0
URY.5.7_1,URY.8.2_1,4.0,0
URY.5.7_1,URY.18.5_1,26.0,0
URY.5.7_1,URY.17.14_1,1.0,0
URY.5.7_1,URY.19.6_1,2.0,0
URY.5.7_1,URY.7.9_1,1.0,0
URY.5.7_1,URY.16.2_1,1.0,0
URY.5.7_1,URY.19.10_1,3.0,0
URY.5.7_1,URY.18.4_1,3.0,0
URY.5.7_1,URY.7.12_1,10.0,0
URY.5.7_1,URY.12.10_1,4.0,0
URY.5.7_1,URY.11.9_1,7.0,0
URY.5.7_1,URY.8.1_1,1.0,0
URY.5.7_1,URY.15.8_1,1.0,0
URY.5.7_1,URY.12.6_1,1.0,0
URY.5.7_1,URY.17.1_1,13.0,0
URY.5.7_1,URY.7.13_1,1.0,0
URY.5.7_1,URY.16.3_1,3.0,0
URY.5.7_1,URY.2.2_1,1.0,0
URY.5.7_1,URY.16.4_1,1.0,0
URY.5.7_1,URY.11.12_1,7.0,0
URY.5.7_1,URY.2.1_1,2.0,0
URY.5.7_1,URY.2.9_1,3.0,0
URY.5.7_1,URY.12.12_1,3.0,0
URY.5.7_1,URY.11.5_1,1.0,0
URY.5.7_1,URY.17.7_1,1.0,0
URY.5.7_1,URY.3.3_1,1.0,0
URY.5.7_1,URY.2.7_1,1.0,0
URY.5.7_1,URY.13.3_1,1.0,0
URY.5.7_1,URY.16.7_1,3.0,0
URY.5.7_1,URY.8.11_1,2.0,0
URY.5.7_1,URY.2.14_1,4.0,0
URY.5.7_1,URY.2.13_1,1.0,0
URY.5.7_1,URY.2.16_1,1.0,0
URY.5.7_1,URY.2.18_1,1.0,0
URY.5.7_1,URY.10.1_1,7.0,0
URY.7.5_1,URY.7.2_1,27.0,0
URY.2.1_1,URY.2.2_1,956.0,0
URY.2.1_1,URY.2.5_1,209.0,0
URY.2.1_1,URY.2.4_1,162.0,0
URY.2.1_1,URY.8.12_1,24.0,0
URY.2.1_1,URY.2.6_1,151.0,0
URY.2.1_1,URY.7.9_1,59.0,0
URY.2.1_1,URY.2.3_1,45.0,0
URY.2.1_1,URY.2.8_1,73.0,0
URY.2.1_1,URY.8.13_1,55.0,0
URY.2.1_1,URY.7.12_1,183.0,0
URY.2.1_1,URY.8.8_1,2.0,0
URY.2.1_1,URY.2.13_1,68.0,0
URY.2.1_1,URY.2.12_1,30.0,0
URY.2.1_1,URY.2.11_1,14.0,0
URY.2.1_1,URY.2.7_1,18.0,0
URY.2.1_1,URY.8.11_1,16.0,0
URY.2.1_1,URY.2.17_1,20.0,0
URY.2.1_1,URY.7.11_1,1.0,0
URY.2.1_1,URY.2.16_1,3.0,0
URY.2.1_1,URY.9.7_1,3.0,0
URY.2.1_1,URY.2.18_1,13.0,0
URY.2.1_1,URY.2.14_1,8.0,0
URY.2.1_1,URY.9.5_1,3.0,0
