origin,destination,flow,time
USA.1_1,USA.25_1,387127.0,0
USA.1_1,USA.11_1,371276.0,0
USA.1_1,USA.43_1,68855.0,0
USA.1_1,USA.19_1,28931.0,0
USA.1_1,USA.18_1,21484.0,0
USA.1_1,USA.41_1,18565.0,0
USA.1_1,USA.4_1,9045.0,0
USA.1_1,USA.10_1,38189.0,0
USA.1_1,USA.34_1,11296.0,0
USA.1_1,USA.15_1,5574.0,0
USA.1_1,USA.26_1,4284.0,0
USA.1_1,USA.14_1,7484.0,0
USA.1_1,USA.49_1,910.0,0
USA.1_1,USA.47_1,3921.0,0
USA.1_1,USA.36_1,4220.0,0
USA.1_1,USA.37_1,1286.0,0
USA.1_1,USA.9_1,161.0,0
USA.1_1,USA.21_1,1780.0,0
USA.1_1,USA.16_1,931.0,0
USA.1_1,USA.44_1,6679.0,0
USA.1_1,USA.39_1,2117.0,0
USA.1_1,USA.17_1,463.0,0
USA.1_1,USA.8_1,160.0,0
USA.1_1,USA.50_1,872.0,0
USA.1_1,USA.23_1,1355.0,0
USA.1_1,USA.31_1,1071.0,0
USA.1_1,USA.33_1,2080.0,0
USA.1_1,USA.28_1,173.0,0
USA.1_1,USA.7_1,347.0,0
USA.1_1,USA.24_1,571.0,0
USA.1_1,USA.40_1,92.0,0
USA.1_1,USA.22_1,572.0,0
USA.1_1,USA.42_1,60.0,0
USA.1_1,USA.46_1,44.0,0
USA.1_1,USA.32_1,172.0,0
USA.1_1,USA.30_1,109.0,0
USA.1_1,USA.6_1,470.0,0
USA.1_1,USA.35_1,52.0,0
USA.1_1,USA.20_1,97.0,0
USA.1_1,USA.51_1,43.0,0
USA.1_1,USA.3_1,553.0,0
USA.1_1,USA.45_1,247.0,0
USA.1_1,USA.27_1,60.0,0
USA.1_1,USA.13_1,140.0,0
USA.1_1,USA.29_1,213.0,0
USA.1_1,USA.5_1,2346.0,0
USA.1_1,USA.38_1,205.0,0
USA.1_1,USA.48_1,359.0,0
USA.1_1,USA.2_1,21.0,0
USA.1_1,USA.12_1,54.0,0
USA.2_1,USA.48_1,111181.0,0
USA.2_1,USA.38_1,3074.0,0
USA.2_1,USA.27_1,474.0,0
USA.2_1,USA.13_1,670.0,0
USA.2_1,USA.35_1,206.0,0
USA.2_1,USA.29_1,836.0,0
USA.2_1,USA.51_1,117.0,0
USA.2_1,USA.5_1,2345.0,0
USA.2_1,USA.45_1,55.0,0
USA.2_1,USA.42_1,13.0,0
USA.2_1,USA.24_1,83.0,0
USA.2_1,USA.6_1,72.0,0
USA.2_1,USA.28_1,19.0,0
USA.2_1,USA.3_1,98.0,0
USA.2_1,USA.50_1,54.0,0
USA.2_1,USA.16_1,27.0,0
USA.2_1,USA.17_1,25.0,0
USA.2_1,USA.23_1,70.0,0
USA.2_1,USA.32_1,7.0,0
USA.2_1,USA.14_1,67.0,0
