origin,destination,flow,time
UZB.1.1_1,UZB.1.7_1,6396.0,0
UZB.1.1_1,UZB.1.6_1,2694.0,0
UZB.1.1_1,UZB.1.10_1,1189.0,0
UZB.1.1_1,UZB.1.5_1,479.0,0
UZB.1.1_1,UZB.1.9_1,569.0,0
UZB.1.1_1,UZB.1.14_1,558.0,0
UZB.1.1_1,UZB.1.2_1,438.0,0
UZB.1.1_1,UZB.1.8_1,372.0,0
UZB.1.1_1,UZB.1.12_1,221.0,0
UZB.1.1_1,UZB.1.11_1,331.0,0
UZB.1.1_1,UZB.8.6_1,71.0,0
UZB.1.1_1,UZB.8.9_1,78.0,0
UZB.1.1_1,UZB.1.3_1,162.0,0
UZB.1.1_1,UZB.1.4_1,87.0,0
UZB.1.1_1,UZB.3.10_1,124.0,0
UZB.1.1_1,UZB.8.10_1,58.0,0
UZB.1.1_1,UZB.3.13_1,50.0,0
UZB.1.1_1,UZB.1.13_1,126.0,0
UZB.1.1_1,UZB.8.5_1,37.0,0
UZB.1.1_1,UZB.8.1_1,65.0,0
UZB.1.1_1,UZB.3.15_1,60.0,0
UZB.1.1_1,UZB.3.9_1,50.0,0
UZB.1.1_1,UZB.3.5_1,106.0,0
UZB.1.1_1,UZB.8.11_1,30.0,0
UZB.1.1_1,UZB.8.8_1,18.0,0
UZB.1.1_1,UZB.8.3_1,27.0,0
UZB.1.1_1,UZB.3.8_1,61.0,0
UZB.1.1_1,UZB.8.4_1,41.0,0
UZB.1.1_1,UZB.8.2_1,39.0,0
UZB.1.1_1,UZB.3.2_1,19.0,0
UZB.1.1_1,UZB.3.11_1,18.0,0
UZB.1.1_1,UZB.3.3_1,17.0,0
UZB.1.1_1,UZB.3.14_1,15.0,0
UZB.1.1_1,UZB.3.4_1,26.0,0
UZB.1.1_1,UZB.3.7_1,27.0,0
UZB.1.1_1,UZB.8.7_1,69.0,0
UZB.1.1_1,UZB.3.6_1,10.0,0
UZB.1.1_1,UZB.3.1_1,22.0,0
UZB.1.1_1,UZB.14.3_1,44.0,0
UZB.1.1_1,UZB.14.6_1,25.0,0
UZB.1.1_1,UZB.14.8_1,7.0,0
UZB.1.1_1,UZB.14.9_1,8.0,0
UZB.1.1_1,UZB.14.14_1,3.0,0
UZB.1.1_1,UZB.14.10_1,8.0,0
UZB.1.1_1,UZB.14.5_1,50.0,0
UZB.1.1_1,UZB.14.2_1,1.0,0
UZB.1.1_1,UZB.14.1_1,2.0,0
UZB.1.1_1,UZB.14.12_1,1.0,0
UZB.1.1_1,UZB.13.1_1,12.0,0
UZB.1.1_1,UZB.14.7_1,1.0,0
UZB.1.1_1,UZB.14.15_1,22.0,0
