origin,destination,flow,time
VCT.1_1,VCT.4_1,2990.0,0
VCT.1_1,VCT.6_1,2621.0,0
VCT.1_1,VCT.3_1,3365.0,0
VCT.1_1,VCT.5_1,3643.0,0
VCT.1_1,VCT.2_1,411.0,0
VCT.2_1,VCT.5_1,3760.0,0
VCT.2_1,VCT.3_1,177.0,0
VCT.2_1,VCT.6_1,59.0,0
VCT.2_1,VCT.1_1,128.0,0
VCT.2_1,VCT.4_1,20.0,0
VCT.3_1,VCT.6_1,2752.0,0
VCT.3_1,VCT.5_1,3832.0,0
VCT.3_1,VCT.1_1,603.0,0
VCT.3_1,VCT.4_1,73.0,0
VCT.3_1,VCT.2_1,99.0,0
VCT.4_1,VCT.1_1,2385.0,0
VCT.4_1,VCT.6_1,89.0,0
VCT.4_1,VCT.3_1,124.0,0
VCT.4_1,VCT.5_1,120.0,0
VCT.4_1,VCT.2_1,18.0,0
VCT.5_1,VCT.3_1,9138.0,0
VCT.5_1,VCT.6_1,2786.0,0
VCT.5_1,VCT.1_1,6533.0,0
VCT.5_1,VCT.4_1,887.0,0
VCT.5_1,VCT.2_1,1218.0,0
VCT.6_1,VCT.3_1,2535.0,0
VCT.6_1,VCT.4_1,256.0,0
VCT.6_1,VCT.1_1,472.0,0
VCT.6_1,VCT.5_1,221.0,0
VCT.6_1,VCT.2_1,27.0,0
VCT.1_1,VCT.1_1,13030.23587608335,0
VCT.2_1,VCT.2_1,4144.68287229538,0
VCT.3_1,VCT.3_1,7359.118236541751,0
VCT.4_1,VCT.4_1,2736.027411460875,0
VCT.5_1,VCT.5_1,20562.41638183595,0
VCT.6_1,VCT.6_1,3511.818145751955,0
