origin,destination,flow,time
VEN.4.17_1,VEN.4.2_1,119.0,0
VEN.4.17_1,VEN.13.6_1,52.0,0
VEN.4.17_1,VEN.13.8_1,38.0,0
VEN.4.17_1,VEN.4.11_1,3.0,0
VEN.4.17_1,VEN.13.2_1,6.0,0
VEN.4.17_1,VEN.16.12_1,14.0,0
VEN.4.17_1,VEN.13.11_1,5.0,0
VEN.4.17_1,VEN.4.12_1,2.0,0
VEN.4.17_1,VEN.16.20_1,5.0,0
VEN.4.17_1,VEN.16.11_1,2.0,0
VEN.4.17_1,VEN.16.8_1,1.0,0
VEN.4.17_1,VEN.16.10_1,2.0,0
VEN.4.17_1,VEN.16.1_1,1.0,0
VEN.4.17_1,VEN.4.6_1,2.0,0
VEN.1.3_1,VEN.1.4_1,115.0,0
VEN.1.3_1,VEN.3.5_1,282.0,0
VEN.1.3_1,VEN.6.3_1,293.0,0
VEN.1.3_1,VEN.1.5_1,15.0,0
VEN.1.3_1,VEN.3.7_1,294.0,0
VEN.1.3_1,VEN.3.1_1,51.0,0
VEN.1.3_1,VEN.3.2_1,32.0,0
VEN.1.3_1,VEN.1.2_1,6.0,0
VEN.1.3_1,VEN.13.12_1,14.0,0
VEN.1.3_1,VEN.3.6_1,16.0,0
VEN.1.3_1,VEN.13.1_1,13.0,0
VEN.1.3_1,VEN.5.4_1,25.0,0
VEN.1.3_1,VEN.3.3_1,7.0,0
VEN.1.3_1,VEN.13.5_1,18.0,0
VEN.1.3_1,VEN.13.7_1,30.0,0
VEN.1.3_1,VEN.5.12_1,3.0,0
VEN.1.3_1,VEN.13.4_1,19.0,0
VEN.1.3_1,VEN.6.11_1,5.0,0
VEN.1.3_1,VEN.19.5_1,6.0,0
VEN.1.3_1,VEN.8.4_1,3.0,0
VEN.1.3_1,VEN.13.3_1,6.0,0
VEN.1.3_1,VEN.13.14_1,2.0,0
VEN.1.3_1,VEN.2.17_1,3.0,0
VEN.1.3_1,VEN.5.11_1,3.0,0
VEN.1.3_1,VEN.19.12_1,2.0,0
VEN.1.3_1,VEN.19.9_1,4.0,0
VEN.1.3_1,VEN.13.6_1,4.0,0
VEN.1.3_1,VEN.5.9_1,5.0,0
VEN.1.3_1,VEN.5.5_1,32.0,0
VEN.1.3_1,VEN.8.6_1,1.0,0
