origin,destination,flow,time
VIR.1.6_1,VIR.1.4_1,653.0,0
VIR.1.6_1,VIR.1.9_1,1055.0,0
VIR.1.6_1,VIR.1.5_1,238.0,0
VIR.1.6_1,VIR.1.8_1,205.0,0
VIR.1.6_1,VIR.1.7_1,168.0,0
VIR.1.6_1,VIR.1.2_1,23.0,0
VIR.1.6_1,VIR.1.1_1,15.0,0
VIR.1.6_1,VIR.1.3_1,13.0,0
VIR.1.6_1,VIR.3.4_1,29.0,0
VIR.1.6_1,VIR.2.3_1,7.0,0
VIR.1.6_1,VIR.3.2_1,24.0,0
VIR.1.6_1,VIR.3.5_1,27.0,0
VIR.1.6_1,VIR.3.1_1,40.0,0
VIR.1.6_1,VIR.2.1_1,1.0,0
VIR.1.6_1,VIR.3.3_1,22.0,0
VIR.1.6_1,VIR.3.7_1,3.0,0
VIR.1.1_1,VIR.1.2_1,680.0,0
VIR.1.1_1,VIR.1.7_1,954.0,0
VIR.1.1_1,VIR.1.3_1,52.0,0
VIR.1.1_1,VIR.1.8_1,118.0,0
VIR.1.1_1,VIR.1.5_1,43.0,0
VIR.1.1_1,VIR.1.6_1,28.0,0
VIR.1.1_1,VIR.1.9_1,30.0,0
VIR.1.1_1,VIR.1.4_1,10.0,0
VIR.1.1_1,VIR.2.3_1,3.0,0
VIR.1.1_1,VIR.2.2_1,2.0,0
VIR.1.1_1,VIR.2.1_1,3.0,0
VIR.1.1_1,VIR.3.4_1,16.0,0
VIR.1.1_1,VIR.3.2_1,17.0,0
VIR.1.1_1,VIR.3.5_1,9.0,0
VIR.1.1_1,VIR.3.1_1,16.0,0
VIR.1.1_1,VIR.3.3_1,13.0,0
VIR.1.1_1,VIR.3.7_1,1.0,0
VIR.1.2_1,VIR.1.1_1,659.0,0
VIR.1.2_1,VIR.1.7_1,228.0,0
VIR.1.2_1,VIR.1.3_1,10.0,0
VIR.1.2_1,VIR.1.8_1,30.0,0
VIR.1.2_1,VIR.1.5_1,7.0,0
VIR.1.2_1,VIR.1.6_1,8.0,0
VIR.1.2_1,VIR.1.9_1,10.0,0
VIR.1.2_1,VIR.1.4_1,1.0,0
VIR.1.2_1,VIR.2.3_1,3.0,0
VIR.1.2_1,VIR.2.1_1,1.0,0
VIR.1.2_1,VIR.3.4_1,4.0,0
VIR.1.2_1,VIR.3.2_1,8.0,0
VIR.1.2_1,VIR.3.5_1,1.0,0
VIR.1.2_1,VIR.3.1_1,4.0,0
VIR.1.2_1,VIR.3.3_1,3.0,0
VIR.1.3_1,VIR.1.1_1,735.0,0
VIR.1.3_1,VIR.1.2_1,110.0,0
VIR.1.3_1,VIR.1.7_1,209.0,0
VIR.1.3_1,VIR.1.8_1,35.0,0
VIR.1.3_1,VIR.1.5_1,15.0,0
VIR.1.3_1,VIR.1.6_1,19.0,0
VIR.1.3_1,VIR.1.9_1,17.0,0
VIR.1.3_1,VIR.1.4_1,2.0,0
VIR.1.3_1,VIR.3.2_1,14.0,0
VIR.1.3_1,VIR.3.4_1,3.0,0
VIR.1.3_1,VIR.3.5_1,1.0,0
VIR.1.3_1,VIR.3.6_1,1.0,0
VIR.1.3_1,VIR.3.1_1,6.0,0
VIR.1.3_1,VIR.3.3_1,8.0,0
VIR.1.3_1,VIR.3.7_1,1.0,0
VIR.1.4_1,VIR.1.9_1,689.0,0
VIR.1.4_1,VIR.1.6_1,78.0,0
VIR.1.4_1,VIR.1.5_1,31.0,0
VIR.1.4_1,VIR.1.8_1,26.0,0
VIR.1.4_1,VIR.1.7_1,14.0,0
VIR.1.4_1,VIR.1.2_1,1.0,0
VIR.1.4_1,VIR.1.1_1,3.0,0
VIR.1.4_1,VIR.3.4_1,2.0,0
VIR.1.4_1,VIR.3.2_1,4.0,0
VIR.1.4_1,VIR.3.5_1,2.0,0
VIR.1.4_1,VIR.3.1_1,5.0,0
VIR.1.4_1,VIR.3.3_1,1.0,0
VIR.1.4_1,VIR.3.7_1,1.0,0
VIR.1.5_1,VIR.1.7_1,1745.0,0
VIR.1.5_1,VIR.1.8_1,207.0,0
VIR.1.5_1,VIR.1.6_1,69.0,0
VIR.1.5_1,VIR.1.2_1,26.0,0
VIR.1.5_1,VIR.1.9_1,77.0,0
VIR.1.5_1,VIR.1.4_1,7.0,0
VIR.1.5_1,VIR.1.1_1,23.0,0
VIR.1.5_1,VIR.1.3_1,14.0,0
VIR.1.5_1,VIR.2.3_1,9.0,0
VIR.1.5_1,VIR.3.4_1,22.0,0
VIR.1.5_1,VIR.3.2_1,19.0,0
VIR.1.5_1,VIR.2.2_1,1.0,0
VIR.1.5_1,VIR.2.1_1,5.0,0
VIR.1.5_1,VIR.3.5_1,10.0,0
VIR.1.5_1,VIR.3.1_1,19.0,0
VIR.1.5_1,VIR.3.3_1,20.0,0
VIR.1.5_1,VIR.3.7_1,1.0,0
VIR.1.7_1,VIR.1.2_1,906.0,0
VIR.1.7_1,VIR.1.5_1,1501.0,0
VIR.1.7_1,VIR.1.8_1,1366.0,0
VIR.1.7_1,VIR.1.1_1,420.0,0
VIR.1.7_1,VIR.1.6_1,430.0,0
VIR.1.7_1,VIR.1.3_1,130.0,0
VIR.1.7_1,VIR.1.9_1,402.0,0
VIR.1.7_1,VIR.1.4_1,74.0,0
VIR.1.7_1,VIR.2.3_1,67.0,0
VIR.1.7_1,VIR.2.2_1,10.0,0
VIR.1.7_1,VIR.3.4_1,163.0,0
VIR.1.7_1,VIR.2.1_1,40.0,0
VIR.1.7_1,VIR.3.2_1,190.0,0
VIR.1.7_1,VIR.2.4_1,1.0,0
VIR.1.7_1,VIR.3.6_1,2.0,0
VIR.1.7_1,VIR.3.5_1,116.0,0
VIR.1.7_1,VIR.3.1_1,195.0,0
VIR.1.7_1,VIR.3.3_1,150.0,0
VIR.1.7_1,VIR.3.7_1,16.0,0
VIR.1.8_1,VIR.1.5_1,1553.0,0
VIR.1.8_1,VIR.1.7_1,1255.0,0
VIR.1.8_1,VIR.1.2_1,100.0,0
VIR.1.8_1,VIR.1.1_1,178.0,0
VIR.1.8_1,VIR.1.9_1,205.0,0
VIR.1.8_1,VIR.1.6_1,90.0,0
VIR.1.8_1,VIR.1.4_1,22.0,0
VIR.1.8_1,VIR.1.3_1,40.0,0
VIR.1.8_1,VIR.2.3_1,24.0,0
VIR.1.8_1,VIR.3.4_1,60.0,0
VIR.1.8_1,VIR.3.2_1,69.0,0
VIR.1.8_1,VIR.2.2_1,2.0,0
VIR.1.8_1,VIR.3.6_1,1.0,0
VIR.1.8_1,VIR.2.1_1,11.0,0
VIR.1.8_1,VIR.2.4_1,1.0,0
VIR.1.8_1,VIR.3.5_1,46.0,0
VIR.1.8_1,VIR.3.1_1,82.0,0
VIR.1.8_1,VIR.3.3_1,44.0,0
VIR.1.8_1,VIR.3.7_1,5.0,0
VIR.1.9_1,VIR.1.4_1,767.0,0
VIR.1.9_1,VIR.1.6_1,1156.0,0
VIR.1.9_1,VIR.1.8_1,726.0,0
VIR.1.9_1,VIR.1.5_1,228.0,0
VIR.1.9_1,VIR.1.7_1,380.0,0
VIR.1.9_1,VIR.1.2_1,34.0,0
VIR.1.9_1,VIR.1.1_1,81.0,0
VIR.1.9_1,VIR.1.3_1,44.0,0
VIR.1.9_1,VIR.3.4_1,61.0,0
VIR.1.9_1,VIR.3.6_1,2.0,0
VIR.1.9_1,VIR.2.3_1,16.0,0
VIR.1.9_1,VIR.3.2_1,64.0,0
VIR.1.9_1,VIR.3.5_1,63.0,0
VIR.1.9_1,VIR.3.1_1,74.0,0
VIR.1.9_1,VIR.2.2_1,1.0,0
VIR.1.9_1,VIR.2.1_1,4.0,0
VIR.1.9_1,VIR.3.3_1,52.0,0
VIR.1.9_1,VIR.3.7_1,6.0,0
VIR.2.1_1,VIR.2.2_1,119.0,0
VIR.2.1_1,VIR.2.3_1,273.0,0
VIR.2.1_1,VIR.3.2_1,137.0,0
VIR.2.1_1,VIR.3.5_1,17.0,0
VIR.2.1_1,VIR.3.4_1,7.0,0
VIR.2.1_1,VIR.3.3_1,17.0,0
VIR.2.1_1,VIR.3.1_1,7.0,0
VIR.2.1_1,VIR.1.5_1,2.0,0
VIR.2.1_1,VIR.1.7_1,1.0,0
VIR.2.1_1,VIR.1.8_1,1.0,0
VIR.2.1_1,VIR.1.9_1,1.0,0
VIR.2.2_1,VIR.2.1_1,138.0,0
VIR.2.2_1,VIR.2.3_1,22.0,0
VIR.2.2_1,VIR.3.2_1,12.0,0
VIR.2.2_1,VIR.3.5_1,1.0,0
VIR.2.2_1,VIR.3.4_1,2.0,0
VIR.2.2_1,VIR.3.3_1,2.0,0
VIR.2.3_1,VIR.2.1_1,343.0,0
VIR.2.3_1,VIR.2.2_1,59.0,0
VIR.2.3_1,VIR.3.2_1,339.0,0
VIR.2.3_1,VIR.2.4_1,1.0,0
VIR.2.3_1,VIR.3.5_1,67.0,0
VIR.2.3_1,VIR.3.4_1,21.0,0
VIR.2.3_1,VIR.3.3_1,28.0,0
VIR.2.3_1,VIR.3.1_1,13.0,0
VIR.2.3_1,VIR.3.7_1,3.0,0
VIR.2.3_1,VIR.1.5_1,2.0,0
VIR.2.3_1,VIR.1.7_1,1.0,0
VIR.2.3_1,VIR.1.6_1,1.0,0
VIR.2.3_1,VIR.1.3_1,1.0,0
VIR.2.3_1,VIR.1.1_1,1.0,0
VIR.2.3_1,VIR.1.9_1,1.0,0
VIR.2.4_1,VIR.2.2_1,14.0,0
VIR.2.4_1,VIR.2.1_1,2.0,0
VIR.3.1_1,VIR.3.6_1,67.0,0
VIR.3.1_1,VIR.3.3_1,3725.0,0
VIR.3.1_1,VIR.3.4_1,645.0,0
VIR.3.1_1,VIR.3.5_1,551.0,0
VIR.3.1_1,VIR.3.7_1,121.0,0
VIR.3.1_1,VIR.3.2_1,421.0,0
VIR.3.1_1,VIR.2.3_1,85.0,0
VIR.3.1_1,VIR.2.1_1,50.0,0
VIR.3.1_1,VIR.2.2_1,17.0,0
VIR.3.1_1,VIR.2.4_1,1.0,0
VIR.3.1_1,VIR.1.5_1,184.0,0
VIR.3.1_1,VIR.1.6_1,142.0,0
VIR.3.1_1,VIR.1.7_1,334.0,0
VIR.3.1_1,VIR.1.4_1,33.0,0
VIR.3.1_1,VIR.1.2_1,47.0,0
VIR.3.1_1,VIR.1.8_1,137.0,0
VIR.3.1_1,VIR.1.9_1,106.0,0
VIR.3.1_1,VIR.1.1_1,47.0,0
VIR.3.1_1,VIR.1.3_1,20.0,0
VIR.3.6_1,VIR.3.1_1,66.0,0
VIR.3.6_1,VIR.3.3_1,1.0,0
VIR.3.2_1,VIR.3.5_1,1707.0,0
VIR.3.2_1,VIR.3.4_1,562.0,0
VIR.3.2_1,VIR.2.3_1,147.0,0
VIR.3.2_1,VIR.3.3_1,539.0,0
VIR.3.2_1,VIR.3.6_1,4.0,0
VIR.3.2_1,VIR.3.1_1,256.0,0
VIR.3.2_1,VIR.2.1_1,15.0,0
VIR.3.2_1,VIR.2.2_1,4.0,0
VIR.3.2_1,VIR.3.7_1,21.0,0
VIR.3.2_1,VIR.2.4_1,3.0,0
VIR.3.2_1,VIR.1.5_1,47.0,0
VIR.3.2_1,VIR.1.7_1,93.0,0
VIR.3.2_1,VIR.1.6_1,30.0,0
VIR.3.2_1,VIR.1.2_1,11.0,0
VIR.3.2_1,VIR.1.3_1,18.0,0
VIR.3.2_1,VIR.1.4_1,8.0,0
VIR.3.2_1,VIR.1.1_1,12.0,0
VIR.3.2_1,VIR.1.8_1,26.0,0
VIR.3.2_1,VIR.1.9_1,30.0,0
VIR.3.3_1,VIR.3.1_1,3772.0,0
VIR.3.3_1,VIR.3.6_1,15.0,0
VIR.3.3_1,VIR.3.5_1,616.0,0
VIR.3.3_1,VIR.3.4_1,357.0,0
VIR.3.3_1,VIR.3.7_1,113.0,0
VIR.3.3_1,VIR.3.2_1,353.0,0
VIR.3.3_1,VIR.2.3_1,54.0,0
VIR.3.3_1,VIR.2.1_1,36.0,0
VIR.3.3_1,VIR.2.2_1,16.0,0
VIR.3.3_1,VIR.1.5_1,138.0,0
VIR.3.3_1,VIR.1.6_1,148.0,0
VIR.3.3_1,VIR.1.7_1,259.0,0
VIR.3.3_1,VIR.1.2_1,25.0,0
VIR.3.3_1,VIR.1.4_1,28.0,0
VIR.3.3_1,VIR.1.8_1,111.0,0
VIR.3.3_1,VIR.1.9_1,96.0,0
VIR.3.3_1,VIR.1.1_1,46.0,0
VIR.3.3_1,VIR.1.3_1,21.0,0
VIR.3.4_1,VIR.3.5_1,1388.0,0
VIR.3.4_1,VIR.3.2_1,444.0,0
VIR.3.4_1,VIR.3.6_1,6.0,0
VIR.3.4_1,VIR.3.1_1,318.0,0
VIR.3.4_1,VIR.3.3_1,109.0,0
VIR.3.4_1,VIR.2.3_1,17.0,0
VIR.3.4_1,VIR.3.7_1,12.0,0
VIR.3.4_1,VIR.2.1_1,6.0,0
VIR.3.4_1,VIR.2.2_1,3.0,0
VIR.3.4_1,VIR.1.5_1,24.0,0
VIR.3.4_1,VIR.1.6_1,20.0,0
VIR.3.4_1,VIR.1.7_1,54.0,0
VIR.3.4_1,VIR.1.2_1,9.0,0
VIR.3.4_1,VIR.1.4_1,5.0,0
VIR.3.4_1,VIR.1.8_1,16.0,0
VIR.3.4_1,VIR.1.3_1,1.0,0
VIR.3.4_1,VIR.1.1_1,7.0,0
VIR.3.4_1,VIR.1.9_1,8.0,0
VIR.3.5_1,VIR.3.4_1,1384.0,0
VIR.3.5_1,VIR.3.2_1,678.0,0
VIR.3.5_1,VIR.3.3_1,434.0,0
VIR.3.5_1,VIR.3.1_1,214.0,0
VIR.3.5_1,VIR.3.6_1,1.0,0
VIR.3.5_1,VIR.2.3_1,16.0,0
VIR.3.5_1,VIR.3.7_1,14.0,0
VIR.3.5_1,VIR.2.1_1,15.0,0
VIR.3.5_1,VIR.2.2_1,1.0,0
VIR.3.5_1,VIR.1.5_1,35.0,0
VIR.3.5_1,VIR.1.6_1,34.0,0
VIR.3.5_1,VIR.1.7_1,58.0,0
VIR.3.5_1,VIR.1.2_1,7.0,0
VIR.3.5_1,VIR.1.4_1,9.0,0
VIR.3.5_1,VIR.1.8_1,25.0,0
VIR.3.5_1,VIR.1.3_1,6.0,0
VIR.3.5_1,VIR.1.1_1,9.0,0
VIR.3.5_1,VIR.1.9_1,8.0,0
VIR.3.7_1,VIR.3.1_1,863.0,0
VIR.3.7_1,VIR.3.3_1,51.0,0
VIR.3.7_1,VIR.3.4_1,10.0,0
VIR.3.7_1,VIR.3.5_1,6.0,0
VIR.3.7_1,VIR.3.2_1,3.0,0
VIR.3.7_1,VIR.2.3_1,1.0,0
VIR.3.7_1,VIR.2.2_1,3.0,0
VIR.3.7_1,VIR.1.6_1,3.0,0
