origin,destination,flow,time
VNM.1_1,VNM.18_1,200850.0,0
VNM.1_1,VNM.12_1,68157.0,0
VNM.1_1,VNM.33_1,45957.0,0
VNM.1_1,VNM.24_1,11627.0,0
VNM.1_1,VNM.61_1,14349.0,0
VNM.1_1,VNM.39_1,16821.0,0
VNM.1_1,VNM.58_1,13524.0,0
VNM.1_1,VNM.51_1,8619.0,0
VNM.1_1,VNM.2_1,4936.0,0
VNM.1_1,VNM.53_1,5122.0,0
VNM.1_1,VNM.6_1,4380.0,0
VNM.1_1,VNM.59_1,3475.0,0
VNM.1_1,VNM.13_1,3728.0,0
VNM.1_1,VNM.25_1,18137.0,0
VNM.1_1,VNM.9_1,3280.0,0
VNM.1_1,VNM.17_1,2652.0,0
VNM.1_1,VNM.7_1,907.0,0
VNM.1_1,VNM.10_1,779.0,0
VNM.1_1,VNM.11_1,873.0,0
VNM.1_1,VNM.16_1,471.0,0
VNM.1_1,VNM.37_1,805.0,0
VNM.1_1,VNM.15_1,1149.0,0
VNM.1_1,VNM.43_1,323.0,0
VNM.1_1,VNM.32_1,667.0,0
VNM.1_1,VNM.21_1,714.0,0
VNM.1_1,VNM.45_1,413.0,0
VNM.1_1,VNM.34_1,266.0,0
VNM.1_1,VNM.8_1,586.0,0
VNM.1_1,VNM.48_1,414.0,0
VNM.1_1,VNM.47_1,476.0,0
VNM.1_1,VNM.19_1,367.0,0
VNM.1_1,VNM.54_1,347.0,0
VNM.1_1,VNM.50_1,204.0,0
VNM.1_1,VNM.46_1,280.0,0
VNM.1_1,VNM.29_1,379.0,0
VNM.1_1,VNM.41_1,821.0,0
VNM.1_1,VNM.57_1,836.0,0
VNM.1_1,VNM.42_1,211.0,0
VNM.1_1,VNM.40_1,395.0,0
VNM.1_1,VNM.28_1,184.0,0
VNM.1_1,VNM.55_1,355.0,0
VNM.1_1,VNM.30_1,158.0,0
VNM.1_1,VNM.31_1,222.0,0
VNM.1_1,VNM.23_1,407.0,0
VNM.1_1,VNM.22_1,336.0,0
VNM.1_1,VNM.27_1,1298.0,0
VNM.1_1,VNM.5_1,149.0,0
VNM.1_1,VNM.52_1,159.0,0
VNM.1_1,VNM.44_1,93.0,0
VNM.1_1,VNM.62_1,118.0,0
VNM.1_1,VNM.3_1,193.0,0
VNM.1_1,VNM.49_1,165.0,0
VNM.1_1,VNM.56_1,134.0,0
VNM.1_1,VNM.63_1,86.0,0
VNM.1_1,VNM.20_1,66.0,0
