origin,destination,flow,time
XKO.1_1,XKO.4_1,2118.0,0
XKO.1_1,XKO.6_1,1079.0,0
XKO.1_1,XKO.3_1,234.0,0
XKO.1_1,XKO.7_1,139.0,0
XKO.1_1,XKO.5_1,226.0,0
XKO.1_1,XKO.2_1,47.0,0
XKO.2_1,XKO.7_1,2259.0,0
XKO.2_1,XKO.5_1,1195.0,0
XKO.2_1,XKO.6_1,254.0,0
XKO.2_1,XKO.3_1,84.0,0
XKO.2_1,XKO.1_1,68.0,0
XKO.2_1,XKO.4_1,43.0,0
XKO.3_1,XKO.5_1,3831.0,0
XKO.3_1,XKO.4_1,296.0,0
XKO.3_1,XKO.1_1,224.0,0
XKO.3_1,XKO.7_1,163.0,0
XKO.3_1,XKO.2_1,129.0,0
XKO.3_1,XKO.6_1,174.0,0
XKO.4_1,XKO.1_1,2161.0,0
XKO.4_1,XKO.3_1,792.0,0
XKO.4_1,XKO.6_1,475.0,0
XKO.4_1,XKO.5_1,325.0,0
XKO.4_1,XKO.7_1,68.0,0
XKO.4_1,XKO.2_1,48.0,0
XKO.5_1,XKO.3_1,4725.0,0
XKO.5_1,XKO.2_1,2137.0,0
XKO.5_1,XKO.7_1,1608.0,0
XKO.5_1,XKO.4_1,1028.0,0
XKO.5_1,XKO.6_1,1414.0,0
XKO.5_1,XKO.1_1,508.0,0
XKO.6_1,XKO.7_1,3395.0,0
XKO.6_1,XKO.1_1,1542.0,0
XKO.6_1,XKO.4_1,894.0,0
XKO.6_1,XKO.5_1,1363.0,0
XKO.6_1,XKO.2_1,266.0,0
XKO.6_1,XKO.3_1,240.0,0
XKO.7_1,XKO.6_1,3073.0,0
XKO.7_1,XKO.2_1,417.0,0
XKO.7_1,XKO.5_1,519.0,0
XKO.7_1,XKO.1_1,97.0,0
XKO.7_1,XKO.3_1,96.0,0
XKO.7_1,XKO.4_1,55.0,0
XKO.1_1,XKO.1_1,188312.9824018768,0
XKO.2_1,XKO.2_1,191280.2058245953,0
XKO.3_1,XKO.3_1,236040.21424773635,0
XKO.4_1,XKO.4_1,189590.5624861524,0
XKO.5_1,XKO.5_1,559625.8381453891,0
XKO.6_1,XKO.6_1,377320.09234210977,0
XKO.7_1,XKO.7_1,208605.1227297971,0
