origin,destination,flow,time
XNC.1_1,XNC.5_1,1168.0,0
XNC.1_1,XNC.4_1,327.0,0
XNC.1_1,XNC.2_1,137.0,0
XNC.1_1,XNC.3_1,46.0,0
XNC.2_1,XNC.5_1,918.0,0
XNC.2_1,XNC.3_1,83.0,0
XNC.2_1,XNC.1_1,159.0,0
XNC.2_1,XNC.4_1,68.0,0
XNC.3_1,XNC.2_1,433.0,0
XNC.3_1,XNC.5_1,124.0,0
XNC.3_1,XNC.1_1,43.0,0
XNC.3_1,XNC.4_1,18.0,0
XNC.4_1,XNC.1_1,1028.0,0
XNC.4_1,XNC.5_1,345.0,0
XNC.4_1,XNC.2_1,107.0,0
XNC.4_1,XNC.3_1,46.0,0
XNC.5_1,XNC.2_1,1022.0,0
XNC.5_1,XNC.1_1,579.0,0
XNC.5_1,XNC.3_1,99.0,0
XNC.5_1,XNC.4_1,205.0,0
XNC.1_1,XNC.1_1,82244.23952302936,0
XNC.2_1,XNC.2_1,60191.425376377105,0
XNC.3_1,XNC.3_1,30312.0163650563,0
XNC.4_1,XNC.4_1,74791.70266124724,0
XNC.5_1,XNC.5_1,93359.14933164303,0
