origin,destination,flow,time
YEM.21.19_1,YEM.21.20_1,1132.0,0
YEM.21.19_1,YEM.21.16_1,165.0,0
YEM.21.19_1,YEM.21.4_1,111.0,0
YEM.21.19_1,YEM.21.6_1,121.0,0
YEM.21.19_1,YEM.21.5_1,71.0,0
YEM.21.19_1,YEM.21.10_1,43.0,0
YEM.21.19_1,YEM.21.21_1,12.0,0
YEM.21.19_1,YEM.21.14_1,5.0,0
YEM.21.19_1,YEM.21.12_1,11.0,0
YEM.21.19_1,YEM.21.2_1,18.0,0
YEM.21.19_1,YEM.21.8_1,18.0,0
YEM.21.19_1,YEM.21.3_1,13.0,0
YEM.21.19_1,YEM.21.17_1,13.0,0
YEM.21.19_1,YEM.14.13_1,14.0,0
YEM.21.19_1,YEM.21.23_1,11.0,0
YEM.21.19_1,YEM.14.10_1,4.0,0
YEM.21.19_1,YEM.14.19_1,5.0,0
YEM.21.19_1,YEM.21.13_1,5.0,0
YEM.21.19_1,YEM.21.9_1,1.0,0
YEM.21.19_1,YEM.21.22_1,7.0,0
YEM.21.19_1,YEM.14.18_1,3.0,0
YEM.21.19_1,YEM.21.15_1,2.0,0
YEM.21.19_1,YEM.14.8_1,2.0,0
YEM.21.19_1,YEM.15.5_1,2.0,0
YEM.21.19_1,YEM.14.3_1,4.0,0
YEM.21.19_1,YEM.14.1_1,3.0,0
YEM.21.19_1,YEM.14.5_1,2.0,0
YEM.21.19_1,YEM.4.3_1,3.0,0
YEM.21.19_1,YEM.21.18_1,3.0,0
YEM.21.19_1,YEM.14.17_1,3.0,0
YEM.21.19_1,YEM.21.7_1,1.0,0
YEM.21.19_1,YEM.15.8_1,3.0,0
YEM.21.19_1,YEM.15.7_1,2.0,0
YEM.21.19_1,YEM.14.16_1,1.0,0
YEM.21.19_1,YEM.14.11_1,1.0,0
YEM.21.19_1,YEM.14.2_1,3.0,0
YEM.21.19_1,YEM.5.24_1,1.0,0
YEM.21.19_1,YEM.15.3_1,1.0,0
YEM.21.19_1,YEM.4.9_1,2.0,0
YEM.21.19_1,YEM.21.11_1,2.0,0
YEM.21.19_1,YEM.14.4_1,2.0,0
YEM.21.19_1,YEM.14.20_1,1.0,0
YEM.21.19_1,YEM.1.3_1,1.0,0
YEM.21.19_1,YEM.4.6_1,3.0,0
YEM.21.19_1,YEM.5.26_1,2.0,0
YEM.21.19_1,YEM.4.8_1,1.0,0
YEM.21.19_1,YEM.11.5_1,1.0,0
YEM.21.19_1,YEM.11.9_1,1.0,0
YEM.21.19_1,YEM.1.4_1,1.0,0
YEM.21.19_1,YEM.1.5_1,1.0,0
YEM.21.19_1,YEM.5.21_1,2.0,0
YEM.21.19_1,YEM.3.11_1,1.0,0
YEM.21.19_1,YEM.5.2_1,1.0,0
YEM.21.19_1,YEM.5.9_1,1.0,0
YEM.21.19_1,YEM.5.6_1,1.0,0
YEM.21.19_1,YEM.5.5_1,2.0,0
YEM.21.19_1,YEM.19.8_1,2.0,0
YEM.21.19_1,YEM.19.12_1,1.0,0
YEM.21.19_1,YEM.8.8_1,2.0,0
YEM.21.19_1,YEM.19.10_1,1.0,0
YEM.21.19_1,YEM.5.13_1,1.0,0
YEM.21.19_1,YEM.13.6_1,1.0,0
YEM.21.19_1,YEM.12.12_1,1.0,0
YEM.21.20_1,YEM.21.6_1,1251.0,0
YEM.21.20_1,YEM.21.5_1,479.0,0
YEM.21.20_1,YEM.21.19_1,221.0,0
YEM.21.20_1,YEM.21.16_1,122.0,0
YEM.21.20_1,YEM.21.10_1,111.0,0
YEM.21.20_1,YEM.21.4_1,81.0,0
YEM.21.20_1,YEM.21.14_1,12.0,0
YEM.21.20_1,YEM.21.21_1,19.0,0
YEM.21.20_1,YEM.21.12_1,19.0,0
YEM.21.20_1,YEM.14.13_1,63.0,0
YEM.21.20_1,YEM.21.2_1,33.0,0
YEM.21.20_1,YEM.21.23_1,42.0,0
YEM.21.20_1,YEM.21.17_1,31.0,0
YEM.21.20_1,YEM.14.19_1,16.0,0
YEM.21.20_1,YEM.21.8_1,24.0,0
YEM.21.20_1,YEM.21.3_1,10.0,0
YEM.21.20_1,YEM.14.10_1,15.0,0
YEM.21.20_1,YEM.21.22_1,23.0,0
YEM.21.20_1,YEM.14.18_1,8.0,0
YEM.21.20_1,YEM.21.15_1,3.0,0
YEM.21.20_1,YEM.14.8_1,10.0,0
YEM.21.20_1,YEM.21.13_1,10.0,0
YEM.21.20_1,YEM.14.3_1,9.0,0
YEM.21.20_1,YEM.21.9_1,1.0,0
YEM.21.20_1,YEM.14.5_1,8.0,0
YEM.21.20_1,YEM.14.1_1,6.0,0
YEM.21.20_1,YEM.14.17_1,11.0,0
YEM.21.20_1,YEM.14.14_1,1.0,0
YEM.21.20_1,YEM.4.3_1,1.0,0
YEM.21.20_1,YEM.21.18_1,5.0,0
YEM.21.20_1,YEM.15.5_1,2.0,0
YEM.21.20_1,YEM.14.12_1,9.0,0
YEM.21.20_1,YEM.21.7_1,3.0,0
YEM.21.20_1,YEM.15.8_1,3.0,0
YEM.21.20_1,YEM.14.16_1,2.0,0
YEM.21.20_1,YEM.14.15_1,3.0,0
YEM.21.20_1,YEM.14.11_1,3.0,0
YEM.21.20_1,YEM.15.7_1,1.0,0
YEM.21.20_1,YEM.14.2_1,6.0,0
YEM.21.20_1,YEM.5.24_1,1.0,0
YEM.21.20_1,YEM.5.23_1,2.0,0
YEM.21.20_1,YEM.14.6_1,2.0,0
YEM.21.20_1,YEM.4.1_1,2.0,0
YEM.21.20_1,YEM.14.9_1,2.0,0
YEM.21.20_1,YEM.4.9_1,4.0,0
YEM.21.20_1,YEM.14.4_1,2.0,0
YEM.21.20_1,YEM.15.3_1,1.0,0
YEM.21.20_1,YEM.14.20_1,3.0,0
YEM.21.20_1,YEM.11.12_1,3.0,0
YEM.21.20_1,YEM.5.7_1,2.0,0
YEM.21.20_1,YEM.11.11_1,3.0,0
YEM.21.20_1,YEM.5.3_1,3.0,0
YEM.21.20_1,YEM.14.7_1,1.0,0
YEM.21.20_1,YEM.4.6_1,1.0,0
YEM.21.20_1,YEM.11.8_1,3.0,0
YEM.21.20_1,YEM.11.10_1,2.0,0
YEM.21.20_1,YEM.4.5_1,1.0,0
YEM.21.20_1,YEM.11.3_1,2.0,0
YEM.21.20_1,YEM.3.19_1,1.0,0
YEM.21.20_1,YEM.15.6_1,1.0,0
YEM.21.20_1,YEM.15.12_1,1.0,0
YEM.21.20_1,YEM.5.26_1,1.0,0
YEM.21.20_1,YEM.3.6_1,1.0,0
YEM.21.20_1,YEM.5.17_1,1.0,0
YEM.21.20_1,YEM.17.5_1,2.0,0
YEM.21.20_1,YEM.17.2_1,2.0,0
YEM.21.20_1,YEM.3.1_1,1.0,0
YEM.21.20_1,YEM.11.5_1,3.0,0
YEM.21.20_1,YEM.11.9_1,1.0,0
YEM.21.20_1,YEM.17.3_1,1.0,0
YEM.21.20_1,YEM.5.21_1,1.0,0
YEM.21.20_1,YEM.11.6_1,2.0,0
YEM.21.20_1,YEM.15.14_1,2.0,0
YEM.21.20_1,YEM.1.4_1,1.0,0
YEM.21.20_1,YEM.11.7_1,1.0,0
YEM.21.20_1,YEM.11.1_1,2.0,0
YEM.21.20_1,YEM.5.2_1,1.0,0
YEM.21.20_1,YEM.3.10_1,1.0,0
YEM.21.20_1,YEM.3.18_1,1.0,0
YEM.21.20_1,YEM.5.9_1,2.0,0
YEM.21.20_1,YEM.3.2_1,1.0,0
YEM.21.20_1,YEM.5.6_1,2.0,0
YEM.21.20_1,YEM.2.5_1,1.0,0
YEM.21.20_1,YEM.19.11_1,1.0,0
YEM.21.20_1,YEM.19.16_1,1.0,0
YEM.21.20_1,YEM.9.2_1,4.0,0
YEM.21.20_1,YEM.9.9_1,1.0,0
YEM.21.20_1,YEM.9.6_1,1.0,0
YEM.21.20_1,YEM.3.8_1,1.0,0
YEM.21.20_1,YEM.5.1_1,1.0,0
YEM.21.20_1,YEM.5.18_1,1.0,0
YEM.21.20_1,YEM.10.13_1,1.0,0
YEM.21.20_1,YEM.10.6_1,1.0,0
YEM.21.20_1,YEM.10.7_1,1.0,0
YEM.21.20_1,YEM.13.18_1,1.0,0
YEM.21.20_1,YEM.6.6_1,1.0,0
YEM.21.20_1,YEM.10.11_1,1.0,0
YEM.21.20_1,YEM.20.3_1,1.0,0
YEM.21.20_1,YEM.18.8_1,1.0,0
YEM.21.20_1,YEM.12.5_1,1.0,0
YEM.21.21_1,YEM.21.8_1,486.0,0
YEM.21.21_1,YEM.21.3_1,57.0,0
YEM.21.21_1,YEM.21.4_1,25.0,0
YEM.21.21_1,YEM.21.12_1,10.0,0
YEM.21.21_1,YEM.21.19_1,13.0,0
YEM.21.21_1,YEM.21.13_1,12.0,0
YEM.21.21_1,YEM.21.2_1,3.0,0
YEM.21.21_1,YEM.21.16_1,7.0,0
YEM.21.21_1,YEM.21.20_1,3.0,0
YEM.21.21_1,YEM.21.6_1,3.0,0
YEM.21.21_1,YEM.21.5_1,3.0,0
YEM.21.21_1,YEM.21.14_1,1.0,0
YEM.21.21_1,YEM.15.5_1,1.0,0
YEM.21.21_1,YEM.21.17_1,1.0,0
YEM.21.21_1,YEM.21.23_1,2.0,0
YEM.21.21_1,YEM.14.8_1,1.0,0
YEM.21.21_1,YEM.21.22_1,1.0,0
YEM.21.21_1,YEM.21.15_1,1.0,0
YEM.21.21_1,YEM.14.18_1,1.0,0
YEM.21.21_1,YEM.19.2_1,1.0,0
YEM.21.21_1,YEM.9.8_1,1.0,0
YEM.21.21_1,YEM.13.15_1,1.0,0
YEM.21.21_1,YEM.12.14_1,2.0,0
YEM.21.22_1,YEM.21.23_1,1258.0,0
YEM.21.22_1,YEM.21.15_1,271.0,0
YEM.21.22_1,YEM.14.14_1,217.0,0
YEM.21.22_1,YEM.14.19_1,175.0,0
YEM.21.22_1,YEM.21.10_1,179.0,0
YEM.21.22_1,YEM.21.5_1,120.0,0
YEM.21.22_1,YEM.14.5_1,87.0,0
YEM.21.22_1,YEM.21.6_1,72.0,0
YEM.21.22_1,YEM.14.13_1,62.0,0
YEM.21.22_1,YEM.21.14_1,8.0,0
YEM.21.22_1,YEM.21.16_1,32.0,0
YEM.21.22_1,YEM.21.20_1,46.0,0
YEM.21.22_1,YEM.5.24_1,10.0,0
YEM.21.22_1,YEM.5.23_1,14.0,0
YEM.21.22_1,YEM.21.19_1,17.0,0
YEM.21.22_1,YEM.14.18_1,14.0,0
YEM.21.22_1,YEM.21.4_1,12.0,0
YEM.21.22_1,YEM.14.15_1,8.0,0
YEM.21.22_1,YEM.21.18_1,6.0,0
YEM.21.22_1,YEM.14.10_1,15.0,0
YEM.21.22_1,YEM.21.2_1,11.0,0
YEM.21.22_1,YEM.14.1_1,13.0,0
YEM.21.22_1,YEM.14.3_1,8.0,0
YEM.21.22_1,YEM.21.1_1,2.0,0
YEM.21.22_1,YEM.14.17_1,12.0,0
YEM.21.22_1,YEM.14.16_1,6.0,0
YEM.21.22_1,YEM.5.3_1,7.0,0
YEM.21.22_1,YEM.5.7_1,2.0,0
YEM.21.22_1,YEM.21.21_1,3.0,0
YEM.21.22_1,YEM.11.12_1,3.0,0
YEM.21.22_1,YEM.14.8_1,3.0,0
YEM.21.22_1,YEM.21.12_1,2.0,0
YEM.21.22_1,YEM.21.17_1,7.0,0
YEM.21.22_1,YEM.21.3_1,2.0,0
YEM.21.22_1,YEM.14.2_1,3.0,0
YEM.21.22_1,YEM.21.8_1,6.0,0
YEM.21.22_1,YEM.14.12_1,5.0,0
YEM.21.22_1,YEM.11.11_1,2.0,0
YEM.21.22_1,YEM.21.9_1,1.0,0
YEM.21.22_1,YEM.21.7_1,1.0,0
YEM.21.22_1,YEM.14.4_1,1.0,0
YEM.21.22_1,YEM.14.11_1,1.0,0
YEM.21.22_1,YEM.5.26_1,3.0,0
YEM.21.22_1,YEM.4.3_1,4.0,0
YEM.21.22_1,YEM.21.13_1,3.0,0
YEM.21.22_1,YEM.5.17_1,1.0,0
YEM.21.22_1,YEM.15.5_1,1.0,0
YEM.21.22_1,YEM.11.10_1,1.0,0
YEM.21.22_1,YEM.14.20_1,5.0,0
YEM.21.22_1,YEM.14.6_1,3.0,0
YEM.21.22_1,YEM.17.2_1,1.0,0
YEM.21.22_1,YEM.11.8_1,1.0,0
YEM.21.22_1,YEM.15.8_1,5.0,0
YEM.21.22_1,YEM.5.21_1,4.0,0
YEM.21.22_1,YEM.14.7_1,1.0,0
YEM.21.22_1,YEM.4.1_1,2.0,0
YEM.21.22_1,YEM.15.3_1,1.0,0
YEM.21.22_1,YEM.11.2_1,1.0,0
YEM.21.22_1,YEM.17.1_1,1.0,0
YEM.21.22_1,YEM.4.4_1,1.0,0
YEM.21.22_1,YEM.11.5_1,4.0,0
YEM.21.22_1,YEM.5.16_1,1.0,0
YEM.21.22_1,YEM.5.2_1,1.0,0
YEM.21.22_1,YEM.11.4_1,3.0,0
YEM.21.22_1,YEM.4.5_1,1.0,0
YEM.21.22_1,YEM.4.8_1,1.0,0
