origin,destination,flow,time
ZAF.9.3_1,ZAF.9.1_1,167886.0,0
ZAF.9.3_1,ZAF.9.5_1,42206.0,0
ZAF.9.3_1,ZAF.9.6_1,60724.0,0
ZAF.9.3_1,ZAF.9.4_1,69325.0,0
ZAF.9.3_1,ZAF.9.2_1,7698.0,0
ZAF.9.3_1,ZAF.8.3_1,10197.0,0
ZAF.9.3_1,ZAF.1.4_1,39648.0,0
ZAF.9.3_1,ZAF.8.4_1,14494.0,0
ZAF.9.3_1,ZAF.1.7_1,74736.0,0
ZAF.9.3_1,ZAF.8.5_1,13348.0,0
ZAF.9.3_1,ZAF.1.5_1,34268.0,0
ZAF.9.3_1,ZAF.2.5_1,5383.0,0
ZAF.9.3_1,ZAF.8.1_1,16773.0,0
ZAF.9.3_1,ZAF.1.2_1,27787.0,0
ZAF.9.3_1,ZAF.1.3_1,23358.0,0
ZAF.9.3_1,ZAF.1.6_1,9288.0,0
ZAF.9.3_1,ZAF.8.2_1,7934.0,0
ZAF.9.3_1,ZAF.2.3_1,19833.0,0
ZAF.9.3_1,ZAF.2.2_1,12830.0,0
ZAF.9.3_1,ZAF.7.3_1,9716.0,0
ZAF.9.3_1,ZAF.1.8_1,24735.0,0
ZAF.9.3_1,ZAF.1.1_1,12576.0,0
ZAF.9.3_1,ZAF.7.2_1,10878.0,0
ZAF.9.3_1,ZAF.2.4_1,9082.0,0
ZAF.9.3_1,ZAF.7.4_1,10766.0,0
ZAF.9.3_1,ZAF.4.4_1,5059.0,0
ZAF.9.3_1,ZAF.2.1_1,5485.0,0
ZAF.9.3_1,ZAF.4.5_1,7112.0,0
ZAF.9.3_1,ZAF.4.9_1,6335.0,0
ZAF.9.3_1,ZAF.4.6_1,9371.0,0
ZAF.9.3_1,ZAF.3.5_1,7114.0,0
ZAF.9.3_1,ZAF.3.4_1,6728.0,0
ZAF.9.3_1,ZAF.4.2_1,22432.0,0
ZAF.9.3_1,ZAF.3.1_1,25505.0,0
ZAF.9.3_1,ZAF.7.1_1,6614.0,0
ZAF.9.3_1,ZAF.3.3_1,12148.0,0
ZAF.9.3_1,ZAF.4.8_1,1444.0,0
ZAF.9.3_1,ZAF.4.3_1,1744.0,0
ZAF.9.3_1,ZAF.4.1_1,1378.0,0
ZAF.9.3_1,ZAF.3.2_1,8614.0,0
ZAF.9.3_1,ZAF.6.2_1,2397.0,0
ZAF.9.3_1,ZAF.4.10_1,1791.0,0
ZAF.9.3_1,ZAF.6.3_1,2994.0,0
ZAF.9.3_1,ZAF.4.11_1,1455.0,0
ZAF.9.3_1,ZAF.5.5_1,1261.0,0
ZAF.9.3_1,ZAF.4.7_1,1105.0,0
ZAF.9.3_1,ZAF.5.3_1,1841.0,0
ZAF.9.3_1,ZAF.5.1_1,2067.0,0
ZAF.9.3_1,ZAF.6.1_1,2780.0,0
ZAF.9.3_1,ZAF.5.2_1,1559.0,0
ZAF.9.3_1,ZAF.5.4_1,1783.0,0
ZAF.9.4_1,ZAF.9.2_1,15514.0,0
ZAF.9.4_1,ZAF.9.5_1,34691.0,0
ZAF.9.4_1,ZAF.9.1_1,41414.0,0
ZAF.9.4_1,ZAF.1.4_1,9543.0,0
ZAF.9.4_1,ZAF.9.3_1,24763.0,0
ZAF.9.4_1,ZAF.1.7_1,2186.0,0
