origin,destination,flow,time
ZWE.4.7_1,ZWE.4.1_1,49531.0,0
ZWE.4.7_1,ZWE.5.8_1,10243.0,0
ZWE.4.7_1,ZWE.4.5_1,8816.0,0
ZWE.4.7_1,ZWE.5.6_1,3185.0,0
ZWE.4.7_1,ZWE.4.4_1,3313.0,0
ZWE.4.7_1,ZWE.5.5_1,1695.0,0
ZWE.4.7_1,ZWE.5.2_1,1689.0,0
ZWE.4.7_1,ZWE.4.6_1,317.0,0
ZWE.4.7_1,ZWE.4.2_1,479.0,0
ZWE.4.7_1,ZWE.2.1_1,3341.0,0
ZWE.4.7_1,ZWE.5.4_1,109.0,0
ZWE.4.7_1,ZWE.5.3_1,106.0,0
ZWE.4.7_1,ZWE.6.6_1,175.0,0
ZWE.4.7_1,ZWE.4.3_1,100.0,0
ZWE.4.7_1,ZWE.5.7_1,50.0,0
ZWE.4.7_1,ZWE.3.7_1,61.0,0
ZWE.4.7_1,ZWE.3.4_1,111.0,0
ZWE.4.7_1,ZWE.6.5_1,95.0,0
ZWE.4.7_1,ZWE.6.1_1,105.0,0
ZWE.4.7_1,ZWE.5.9_1,28.0,0
ZWE.4.7_1,ZWE.3.6_1,55.0,0
ZWE.4.7_1,ZWE.5.1_1,37.0,0
ZWE.4.7_1,ZWE.6.3_1,92.0,0
ZWE.4.7_1,ZWE.6.2_1,80.0,0
ZWE.4.7_1,ZWE.3.5_1,75.0,0
ZWE.4.7_1,ZWE.3.1_1,48.0,0
ZWE.4.7_1,ZWE.10.1_1,10.0,0
ZWE.4.7_1,ZWE.7.4_1,38.0,0
ZWE.4.7_1,ZWE.10.5_1,41.0,0
ZWE.4.7_1,ZWE.10.2_1,40.0,0
ZWE.4.7_1,ZWE.3.2_1,12.0,0
ZWE.4.7_1,ZWE.6.4_1,5.0,0
ZWE.4.7_1,ZWE.10.7_1,24.0,0
ZWE.4.7_1,ZWE.10.4_1,31.0,0
ZWE.4.7_1,ZWE.7.1_1,28.0,0
ZWE.4.7_1,ZWE.10.3_1,45.0,0
ZWE.4.7_1,ZWE.7.5_1,45.0,0
ZWE.4.7_1,ZWE.7.7_1,17.0,0
ZWE.4.7_1,ZWE.8.5_1,12.0,0
ZWE.4.7_1,ZWE.3.3_1,30.0,0
ZWE.4.7_1,ZWE.10.8_1,16.0,0
ZWE.4.7_1,ZWE.7.3_1,16.0,0
ZWE.4.7_1,ZWE.8.2_1,8.0,0
ZWE.4.7_1,ZWE.9.4_1,11.0,0
ZWE.4.7_1,ZWE.8.1_1,11.0,0
ZWE.4.7_1,ZWE.8.4_1,15.0,0
ZWE.4.7_1,ZWE.10.6_1,17.0,0
ZWE.4.7_1,ZWE.8.7_1,8.0,0
ZWE.4.7_1,ZWE.1.1_1,36.0,0
ZWE.4.7_1,ZWE.7.2_1,10.0,0
ZWE.4.7_1,ZWE.7.6_1,10.0,0
ZWE.4.7_1,ZWE.8.6_1,15.0,0
ZWE.4.7_1,ZWE.9.3_1,4.0,0
ZWE.4.7_1,ZWE.9.6_1,9.0,0
ZWE.4.7_1,ZWE.9.2_1,9.0,0
ZWE.4.7_1,ZWE.9.1_1,11.0,0
ZWE.4.7_1,ZWE.8.3_1,11.0,0
ZWE.4.7_1,ZWE.9.5_1,2.0,0
ZWE.1.1_1,ZWE.8.7_1,59615.0,0
ZWE.1.1_1,ZWE.9.7_1,27414.0,0
ZWE.1.1_1,ZWE.8.2_1,23217.0,0
ZWE.1.1_1,ZWE.9.4_1,30817.0,0
ZWE.1.1_1,ZWE.9.6_1,23321.0,0
ZWE.1.1_1,ZWE.9.2_1,18022.0,0
ZWE.1.1_1,ZWE.9.5_1,14144.0,0
ZWE.1.1_1,ZWE.8.6_1,17263.0,0
ZWE.1.1_1,ZWE.8.5_1,13852.0,0
ZWE.1.1_1,ZWE.9.3_1,14470.0,0
ZWE.1.1_1,ZWE.10.4_1,21502.0,0
ZWE.1.1_1,ZWE.8.4_1,5460.0,0
ZWE.1.1_1,ZWE.10.8_1,7741.0,0
ZWE.1.1_1,ZWE.10.6_1,9867.0,0
ZWE.1.1_1,ZWE.10.7_1,4857.0,0
ZWE.1.1_1,ZWE.10.5_1,12657.0,0
ZWE.1.1_1,ZWE.10.3_1,10050.0,0
ZWE.1.1_1,ZWE.7.3_1,4172.0,0
ZWE.1.1_1,ZWE.10.1_1,1943.0,0
ZWE.1.1_1,ZWE.7.5_1,6260.0,0
ZWE.1.1_1,ZWE.6.3_1,5911.0,0
ZWE.1.1_1,ZWE.9.1_1,1788.0,0
ZWE.1.1_1,ZWE.7.6_1,2458.0,0
ZWE.1.1_1,ZWE.8.3_1,2102.0,0
ZWE.1.1_1,ZWE.8.1_1,1644.0,0
ZWE.1.1_1,ZWE.10.2_1,2600.0,0
ZWE.1.1_1,ZWE.7.4_1,2132.0,0
ZWE.1.1_1,ZWE.6.1_1,2646.0,0
ZWE.1.1_1,ZWE.5.1_1,1126.0,0
ZWE.1.1_1,ZWE.7.7_1,1413.0,0
ZWE.1.1_1,ZWE.5.7_1,887.0,0
ZWE.1.1_1,ZWE.7.1_1,1216.0,0
ZWE.1.1_1,ZWE.7.2_1,2069.0,0
ZWE.1.1_1,ZWE.6.6_1,1661.0,0
ZWE.1.1_1,ZWE.3.1_1,1311.0,0
ZWE.1.1_1,ZWE.5.9_1,401.0,0
ZWE.1.1_1,ZWE.6.4_1,372.0,0
ZWE.1.1_1,ZWE.2.1_1,8056.0,0
ZWE.1.1_1,ZWE.6.5_1,712.0,0
ZWE.1.1_1,ZWE.5.3_1,542.0,0
ZWE.1.1_1,ZWE.5.2_1,839.0,0
ZWE.1.1_1,ZWE.4.4_1,662.0,0
ZWE.1.1_1,ZWE.3.3_1,747.0,0
ZWE.1.1_1,ZWE.3.5_1,965.0,0
ZWE.1.1_1,ZWE.6.2_1,736.0,0
ZWE.1.1_1,ZWE.3.4_1,537.0,0
ZWE.1.1_1,ZWE.5.5_1,345.0,0
ZWE.1.1_1,ZWE.4.1_1,290.0,0
ZWE.1.1_1,ZWE.3.2_1,217.0,0
ZWE.1.1_1,ZWE.3.6_1,255.0,0
ZWE.1.1_1,ZWE.4.7_1,187.0,0
ZWE.1.1_1,ZWE.4.3_1,322.0,0
ZWE.1.1_1,ZWE.5.6_1,240.0,0
ZWE.1.1_1,ZWE.4.2_1,169.0,0
ZWE.1.1_1,ZWE.5.8_1,170.0,0
